tconst,primaryTitle,averageRating,numVotes,ranking
tt0944947,Game of Thrones,9.2,2173292,1
tt0417299,Avatar: The Last Airbender,9.3,334513,2
tt2861424,Rick and Morty,9.1,555867,3
tt2560140,Attack on Titan,9.1,415760,4
tt0303461,Firefly,9.0,272707,5
tt1355642,Fullmetal Alchemist: Brotherhood,9.1,180182,6
tt11126994,Arcane,9.0,232084,7
tt3581920,The Last of Us,8.8,426808,8
tt8111088,The Mandalorian,8.7,549396,9
tt0388629,One Piece,8.9,148184,10
tt1831164,Leyla and Mecnun,9.1,94980,11
tt2098220,Hunter x Hunter,9.0,112990,12
tt0103359,Batman: The Animated Series,9.0,109229,13
tt0213338,Cowboy Bebop,8.9,127744,14
tt1865718,Gravity Falls,8.9,120174,15
tt0214341,Dragon Ball Z,8.8,137759,16
tt2306299,Vikings,8.5,553851,17
tt0407362,Battlestar Galactica,8.7,170574,18
tt0436992,Doctor Who,8.6,232143,19
tt6741278,Invincible,8.7,155358,20
tt11198330,House of the Dragon,8.5,331075,21
tt0988824,Naruto: Shippuden,8.7,138767,22
tt0092455,Star Trek: The Next Generation,8.7,128301,23
tt9335498,Demon Slayer: Kimetsu no Yaiba,8.7,123881,24
tt1442449,Spartacus,8.5,248318,25
tt1628033,Top Gear,8.7,122541,26
tt0149460,Futurama,8.5,247127,27
tt0121220,Dragon Ball Z,8.8,83227,28
tt0411008,Lost,8.3,570335,29
tt1758429,Spartacus: Gods of the Arena,8.5,141337,30
tt1305826,Adventure Time,8.6,102245,31
tt9561862,Love， Death & Robots,8.4,180938,32
tt3718778,Over the Garden Wall,8.8,62146,33
tt9253284,Andor,8.4,141185,34
tt1695360,The Legend of Korra,8.4,127678,35
tt9140554,Loki,8.2,343632,36
tt10233448,Vinland Saga,8.8,53075,37
tt0409591,Naruto,8.4,112416,38
tt0458290,Star Wars: The Clone Wars,8.4,107968,39
tt5180504,The Witcher,8.1,522346,40
tt0314979,Battlestar Galactica,8.5,77957,41
tt0118480,Stargate SG-1,8.4,97337,42
tt0280249,Dragon Ball,8.6,62249,43
tt12343534,Jujutsu Kaisen,8.5,73988,44
tt0421357,Fullmetal Alchemist,8.5,73896,45
tt0088509,Dragon Ball,8.6,61312,46
tt13146488,Peacemaker,8.3,122461,47
tt0374463,The Pacific,8.3,117565,48
tt0060028,Star Trek: The Original Series,8.4,88047,49
tt0423731,Samurai Champloo,8.6,51843,50
tt0318871,Berserk,8.7,44848,51
tt0275137,Justice League,8.6,48857,52
tt0278238,Samurai Jack,8.5,56379,53
tt2375692,Black Sails,8.2,108515,54
tt1710308,Regular Show,8.5,50923,55
tt1641384,Young Justice,8.6,43342,56
tt6517102,Castlevania,8.3,71394,57
tt5626028,My Hero Academia,8.3,70432,58
tt7016936,Killing Eve,8.1,125212,59
tt6257970,The End of the F***ing World,8.0,204288,60
tt10850932,Crash Landing on You,8.7,34223,61
tt12590266,Cyberpunk: Edgerunners,8.3,60933,62
tt1312171,The Umbrella Academy,7.9,259149,63
tt0103584,X-Men: The Animated Series,8.4,45147,64
tt13616990,Chainsaw Man,8.5,38752,65
tt0268093,Ramayan,9.0,22194,66
tt14986406,Bleach: Thousand-Year Blood War,9.1,20081,67
tt0434665,Bleach,8.2,61241,68
tt0220880,Courage the Cowardly Dog,8.3,48040,69
tt0158417,Mahabharat,9.0,20854,70
tt7658402,Harley Quinn,8.5,33583,71
tt0056751,Doctor Who,8.4,38215,72
tt4047038,Dirk Gently's Holistic Detective Agency,8.2,54349,73
tt0374455,Stargate: Atlantis,8.1,69223,74
tt5691552,The Orville,8.0,94014,75
tt0106145,Star Trek: Deep Space Nine,8.1,66871,76
tt8788458,The Promised Neverland,8.3,42190,77
