tconst,primaryTitle,averageRating,numVotes,ranking
tt0417299,Avatar: The Last Airbender,9.3,334123,1
tt2861424,Rick and Morty,9.1,555301,2
tt2560140,Attack on Titan,9.1,415264,3
tt1355642,Fullmetal Alchemist: Brotherhood,9.1,180006,4
tt11126994,Arcane,9.0,231633,5
tt0877057,Death Note,8.9,345759,6
tt2098220,Hunter x Hunter,9.0,112813,7
tt0103359,Batman: The Animated Series,9.0,109143,8
tt0388629,One Piece,8.9,147765,9
tt0213338,Cowboy Bebop,8.9,127633,10
tt1865718,Gravity Falls,8.9,119951,11
tt3398228,BoJack Horseman,8.8,170961,12
tt0096697,The Simpsons,8.7,419190,13
tt0121955,South Park,8.7,389759,14
tt0214341,Dragon Ball Z,8.8,137651,15
tt4508902,One Punch Man,8.7,171544,16
tt6741278,Invincible,8.7,155076,17
tt0988824,Naruto: Shippuden,8.7,138593,18
tt0121220,Dragon Ball Z,8.8,83180,19
tt9335498,Demon Slayer: Kimetsu no Yaiba,8.7,123395,20
tt1486217,Archer,8.6,159689,21
tt1910272,Steins;Gate,8.8,67034,22
tt3718778,Over the Garden Wall,8.8,62047,23
tt0149460,Futurama,8.5,246985,24
tt0994314,Code Geass,8.7,73268,25
tt1305826,Adventure Time,8.6,102128,26
tt10233448,Vinland Saga,8.8,52731,27
tt9561862,"Love, Death & Robots",8.4,180704,28
tt7657124,The Heroes,8.4,166722,29
tt7678620,Bluey,9.5,16617,30
tt0280249,Dragon Ball,8.6,62212,31
tt0088509,Dragon Ball,8.6,61264,32
tt0318871,Berserk,8.7,44785,33
tt1695360,The Legend of Korra,8.4,127594,34
tt0112159,Neon Genesis Evangelion,8.5,76327,35
tt0421357,Fullmetal Alchemist,8.5,73866,36
tt12343534,Jujutsu Kaisen,8.5,73789,37
tt0409591,Naruto,8.4,112273,38
tt0423731,Samurai Champloo,8.6,51801,39
tt0458290,Star Wars: The Clone Wars,8.4,107847,40
tt0275137,Justice League,8.6,48818,41
tt0434706,Monster,8.7,36282,42
tt1641384,Young Justice,8.6,43320,43
tt0278238,Samurai Jack,8.5,56339,44
tt14986406,Bleach: Thousand-Year Blood War,9.1,20008,45
tt5249462,Erased,8.5,52342,46
tt0182576,Family Guy,8.2,351592,47
tt1710308,Regular Show,8.5,50845,48
tt5897304,Mob Psycho 100,8.6,38353,49
tt3398540,Haikyu!!,8.7,29598,50
tt0053488,The Bugs Bunny Show,8.6,34721,51
tt3895150,Your Lie in April,8.6,33495,52
tt6517102,Castlevania,8.3,71324,53
tt13616990,Chainsaw Man,8.5,38546,54
tt5626028,My Hero Academia,8.3,70336,55
tt0206512,SpongeBob SquarePants,8.2,104567,56
tt0103584,X-Men: The Animated Series,8.4,45124,57
tt12590266,Cyberpunk: Edgerunners,8.3,60789,58
tt7658402,Harley Quinn,8.5,33547,59
tt1561755,Bob's Burgers,8.2,86443,60
tt0373732,The Boondocks,8.5,33012,61
tt0417373,The Venture Bros.,8.6,26854,62
tt0220880,Courage the Cowardly Dog,8.3,48010,63
tt2359704,JoJo's Bizarre Adventure,8.5,28863,64
tt11247158,The Legend of Vox Machina,8.4,35396,65
tt0434665,Bleach,8.2,61178,66
tt3358020,Parasyte: The Maxim,8.3,42743,67
tt0112175,Spider-Man: The Animated Series,8.4,33353,68
tt8788458,The Promised Neverland,8.3,42125,69
tt13706018,Spy x Family,8.4,30028,70
tt1942683,The Amazing World of Gumball,8.3,36462,71
tt6025022,Justice League Unlimited,8.7,18098,72
tt4057372,Sugarland,8.3,35701,73
tt6317068,Final Space,8.2,46134,74
tt10332508,Primal,8.7,17315,75
tt4644488,Dragon Ball Super,8.3,32473,76
tt6905542,The Dark Crystal: Age of Resistance,8.4,26023,77
tt7078180,Violet Evergarden,8.4,25710,78
tt0852863,Phineas and Ferb,8.1,51552,79
tt0346314,Ghost in the Shell: Stand Alone Complex,8.5,20304,80
tt3061046,Steven Universe,8.2,36601,81
tt0182629,Rurouni Kenshin,8.5,19882,82
tt7441658,Black Clover,8.3,28282,83
tt0235923,Invader ZIM,8.4,22032,84
tt13854248,The Legend of Hanuman,9.1,10079,85
tt8688814,The Dragon Prince,8.3,25185,86
tt0203082,Rurouni Kenshin: Trust and Betrayal,8.6,15457,87
tt1409055,Dragon Ball Z Kai,8.3,23590,88
tt20723374,Tales of the Jedi,8.2,28557,89
tt9522300,Kaguya-sama: Love is War,8.5,16830,90
tt0988818,Gintama,8.7,13032,91
tt6524350,Big Mouth,7.9,84244,92
tt2930604,Star Wars: Rebels,8.0,49670,93
tt8050756,The Owl House,8.5,15893,94
tt0118266,The New Batman Adventures,8.4,18097,95
tt11070216,Dirin Dirin,8.4,18071,96
tt1734135,Trollhunters: Tales of Arcadia,8.4,17958,97
tt0495212,Hellsing Ultimate,8.2,24910,98
tt0088491,The Bugs Bunny/Looney Tunes Comedy Hour,8.4,17105,99
tt1553644,The Ricky Gervais Show,8.4,16888,100
tt0948103,Gurren Lagann,8.3,19587,101
tt0185133,Yu Yu Hakusho: Ghost Files,8.5,14530,102
tt4326894,F Is for Family,8.0,39452,103
tt0147746,Batman Beyond,8.1,29041,104
tt0251439,Trigun,8.2,23017,105
tt0131179,Detective Conan,8.5,14108,106
tt0807832,Mushi-Shi,8.5,14058,107
tt0179552,The Adventures of Tintin,8.3,18645,108
tt11639414,The Midnight Gospel,8.2,22267,109
tt8101850,Undone,8.2,21990,110
tt0115157,Dexter's Laboratory,7.9,51284,111
tt0118298,Daria,8.1,26228,112
tt0976192,The Spectacular Spider-Man,8.3,17487,113
tt0839188,Metalocalypse,8.3,17481,114
tt0092345,DuckTales,8.0,33589,115
tt1298820,Clannad: After Story,8.6,11794,116
tt2379308,Psycho-Pass,8.2,20635,117
tt9458304,Dororo,8.3,16507,118
tt13293588,Mushoku Tensei: Jobless Reincarnation,8.4,14152,119
tt9679542,Dr. Stone,8.1,23619,120
tt1626038,The Avengers: Earth's Mightiest Heroes,8.3,15650,121
tt6385540,Hilda,8.5,11972,122
tt0063950,"Scooby Doo, Where Are You!",7.9,38454,123
tt7222086,Made in Abyss,8.4,13177,124
tt8910922,Solar Opposites,8.0,26956,125
tt5607616,"Re: Zero, Starting Life in Another World",8.1,21061,126
tt15614372,Tear Along the Dotted Line,8.6,10242,127
tt12074628,Smiling Friends,8.5,11403,128
tt0131613,Teenage Mutant Ninja Turtles,7.9,35668,129
tt0343314,Teen Titans,7.9,35130,130
tt0480489,Elfen Lied,7.9,35059,131
tt0481256,Fighting Spirit,8.8,8064,132
tt0161952,Knights of the Zodiac,8.5,10618,133
tt0279077,FLCL,8.1,18697,134
tt0983983,Shaun the Sheep,8.2,15630,135
tt13409432,Ranking of Kings,8.5,10484,136
tt12708542,Star Wars: The Bad Batch,7.8,44470,137
tt0086817,The Transformers,8.0,22800,138
tt0062550,The Bugs Bunny/Road Runner Hour,8.5,10255,139
tt0315008,Great Teacher Onizuka,8.5,10115,140
tt1913273,Anohana: The Flower We Saw That Day,8.2,14907,141
tt7745956,She-Ra and the Princesses of Power,8.1,17611,142
tt0108783,Gargoyles,8.1,17468,143
tt0426719,Hunter x Hunter,8.6,8841,144
tt0126170,Recess,7.9,26836,145
tt0115378,Superman: The Animated Series,8.1,16690,146
tt1528406,Fairy Tail,7.9,26196,147
tt2051178,Fate/Zero,8.2,13920,148
tt10324164,Prehistoric Planet,8.5,9492,149
tt3741634,Tokyo Ghoul,7.7,58579,150
tt3909224,The Seven Deadly Sins,7.8,34839,151
tt0105941,Animaniacs,7.9,24831,152
tt5514358,Steins;Gate 0,8.4,10237,153
tt0500092,Serial Experiments Lain,8.1,15412,154
tt1660055,Scooby-Doo! Mystery Incorporated,8.1,15273,155
tt3837246,Assassination Classroom,8.0,18392,156
tt0112123,Pinky and the Brain,7.8,31616,157
tt5531466,DuckTales,8.3,10972,158
tt0063951,Sesame Street,8.1,14630,159
tt0401747,Red vs. Blue,8.4,9614,160
tt1334722,Baccano!,8.2,12265,161
tt0965547,Slam Dunk,8.8,6509,162
tt0437745,Robot Chicken,7.7,44787,163
tt8993398,Rascal Does Not Dream of Bunny Girl Senpai,8.1,14243,164
tt1279024,Toradora!,8.0,17151,165
tt0106115,Rocko's Modern Life,7.9,21113,166
tt2758770,Star vs. the Forces of Evil,8.0,16814,167
tt9304350,Fruits Basket,8.6,7552,168
tt13196080,Tokyo Revengers,7.9,20804,169
tt0361243,Star Wars: Clone Wars,7.8,27621,170
tt3742982,Akame ga Kill!,7.8,26719,171
tt12063450,To Your Eternity,8.4,8768,172
tt8146754,Infinity Train,8.4,8695,173
tt9054364,That Time I Got Reincarnated as a Slime,8.1,12699,174
tt0816397,Ouran High School Host Club,8.2,10892,175
tt0088631,Thundercats,7.9,18380,176
tt0197159,Home Movies,8.2,10685,177
tt4279012,Death Parade,7.9,18125,178
tt1773185,Puella Magi Madoka Magica,8.2,10491,179
tt0985344,Claymore,8.0,14427,180
tt6112556,Yuri!!! On Ice,8.3,9221,181
tt4839610,We Bare Bears,7.9,17396,182
tt15222080,Blue Lock,8.3,9075,183
tt3225270,Noragami,7.9,17314,184
tt6354518,The Disastrous Life of Saiki K.,8.3,9031,185
tt13103134,Horimiya,8.1,11784,186
tt0290223,Inuyasha,7.9,17093,187
tt2348803,Kuroko's Basketball,8.2,10077,188
tt11165358,Adventure Time: Distant Lands,8.7,5946,189
tt0962826,Black Lagoon,7.9,16413,190
tt4731072,Food Wars,8.1,11215,191
tt14069590,Dota: Dragon's Blood,7.8,20572,192
tt0433722,Paranoia Agent,8.0,13085,193
tt3114390,KILL la KILL,7.9,15573,194
tt9529546,The Rising of the Shield Hero,7.9,15266,195
tt0791205,Ergo Proxy,7.9,15249,196
tt0297494,Aqua Teen Hunger Force,7.7,26049,197
tt0214382,Walking with Dinosaurs,8.5,6571,198
tt0112047,Life with Louie,8.3,8077,199
tt10231312,Inside Job,7.7,25859,200
tt0292800,The Grim Adventures of Billy & Mandy,7.7,25088,201
tt0234355,"Well, Just You Wait!",8.6,5845,202
tt0294097,"Harvey Birdman, Attorney at Law",8.0,11880,203
tt11147852,Dorohedoro,8.1,9990,204
tt1812523,Tron: Uprising,8.2,8594,205
tt8050740,Amphibia,8.3,7625,206
tt0772145,Wolverine and the X-Men,8.0,11436,207
tt0325547,Hellsing,7.8,17253,208
tt0115200,Hey Arnold!,7.6,35146,209
tt0305011,Clone High,8.2,8421,210
tt0857297,Welcome to the N.H.K.,8.3,7368,211
tt0118475,Spawn,8.1,9430,212
tt1751105,My Little Pony: Friendship Is Magic,7.7,21815,213
tt15765670,My Dress-Up Darling,8.0,10877,214
tt5580664,Voltron: Legendary Defender,8.1,9315,215
tt0077013,Future Boy Conan,8.8,4617,216
tt0096633,Legend of the Galactic Heroes,9.0,4029,217
tt1621748,Ugly Americans,8.0,10655,218
tt1877889,Teenage Mutant Ninja Turtles,7.9,12640,219
tt2325846,DreamWorks Dragons,7.9,12426,220
tt0118375,King of the Hill,7.5,55555,221
tt0060019,The Road Runner Show,7.9,12350,222
tt1178180,The Marvelous Misadventures of Flapjack,7.8,15186,223
tt0865409,Frisky Dingo,8.2,7513,224
tt0950701,The Life & Times of Tim,8.3,6698,225
tt2250192,Sword Art Online,7.5,48836,226
tt0115108,Beast Wars: Transformers,8.1,8389,227
tt4816058,Dragons: Race to the Edge,8.2,7311,228
tt10482560,Kipo and the Age of Wonderbeasts,8.3,6524,229
tt0168366,Pokémon,7.5,45254,230
tt1214085,Soul Eater,7.8,13699,231
tt8515016,Banana Fish,8.2,7119,232
tt6660498,Devilman: Crybaby,7.6,24420,233
tt0397306,American Dad!,7.4,131742,234
tt10168312,What If...?,7.4,125852,235
tt0419326,Foster's Home for Imaginary Friends,7.6,23637,236
tt0184111,"Ed, Edd n Eddy",7.5,39340,237
tt0053502,The Flintstones,7.5,38986,238
tt5370118,Konosuba: God's Blessing on This Wonderful World!,7.8,12899,239
tt0361201,Megas XLR,8.3,6049,240
tt6994156,Close Enough,7.8,12559,241
tt0247827,X-Men: Evolution,7.8,12464,242
tt3613454,Terror in Resonance,7.8,12360,243
tt0122356,The Mysterious Cities of Gold,8.7,4116,244
tt3621796,Fate/stay night [Unlimited Blade Works],8.0,8424,245
tt5034326,Adam Ruins Everything,8.1,7238,246
tt0105950,Beavis and Butt-Head,7.5,33123,247
tt0096557,Chip 'n Dale: Rescue Rangers,7.6,20696,248
tt0810705,Nana,8.5,4739,249
tt14932528,Don't Hug Me I'm Scared,8.7,4034,250
tt8019790,Apple & Onion,6.2,2011,9727
tt0476918,Loonatics Unleashed,5.6,1087,9728
tt10431262,Isekai Cheat Magician,5.4,945,9729
tt6357658,Baki,6.7,7336,9730
tt9073898,Duncanville,6.3,2384,9731
tt2059031,Scaredy Squirrel,4.2,525,9732
tt0457146,Squidbillies,6.7,7395,9733
tt13676300,Platinum End,6.1,1794,9734
tt13352232,High-Rise Invasion,6.5,3637,9735
tt7940468,Fate/Extra Last Encore,5.3,900,9736
tt0246734,Kite,6.6,4955,9737
tt5621544,Pinky Malinky,5.7,1212,9738
tt0318895,Hamtaro,6.3,2456,9739
tt0837143,Iron Man: Armored Adventures,6.5,3842,9740
tt1295036,Seth MacFarlane's Cavalcade of Cartoon Comedy,6.4,3066,9741
tt0122355,Mortal Kombat: Defenders of the Realm,5.8,1386,9742
tt0158522,The Brothers Grunt,3.1,399,9743
tt0065307,Josie and the Pussycats,6.2,2214,9744
tt13464340,Alien Worlds,6.5,3942,9745
tt0329829,Fireman Sam,6.1,1936,9746
tt1743880,Napoleon Dynamite,6.4,3151,9747
tt0450208,The Buzz on Maggie,5.6,1190,9748
tt6538106,Hajimete No Gal,6.1,1950,9749
tt0086802,Snorks,6.4,3170,9750
tt1118131,Chop Socky Chooks,4.1,552,9751
tt1388589,The Super Hero Squad Show,6.1,1971,9752
tt3910690,Inspector Gadget,4.6,679,9753
tt7741824,The Boss Baby: Back in Business,6.5,4048,9754
tt3857708,Fleabag Monkeyface,1.4,286,9755
tt21031054,Dragon Age: Absolution,6.4,3253,9756
tt12031040,Japan Sinks: 2020,6.4,3280,9757
tt0883625,El Chavo,5.5,1145,9758
tt2782214,Monsters vs. Aliens,5.7,1349,9759
tt8322592,Fast & Furious Spy Racers,5.9,1625,9760
tt24244206,Three-Body,3.2,437,9761
tt9165462,The Casagrandes,5.8,1500,9762
tt0896084,Charm School,5.4,1102,9763
tt0203247,Avengers: United They Stand,5.3,1033,9764
tt8235236,Paradise PD,6.8,20899,9765
tt0286347,Braceface,6.4,3468,9766
tt7492014,Fairfax,5.3,1055,9767
tt0832330,The Legend of Zelda,6.0,1924,9768
tt0437018,Krypto the Superdog,5.5,1225,9769
tt11948642,Mulligan,4.8,817,9770
tt0465327,The Emperor's New School,6.6,6203,9771
tt0149509,Postman Pat,6.3,2968,9772
tt5711138,Imaginary Mary,5.5,1242,9773
tt2363624,Yu-Gi-Oh! Zexal,5.2,1037,9774
tt2392179,Pac-Man and the Ghostly Adventures,4.6,765,9775
tt9359796,Blade Runner: Black Lotus,6.3,3044,9776
tt0187635,Fantastic Four: The Animated Series,6.4,3711,9777
tt0127569,Ghostbusters,6.3,3071,9778
tt0815744,DumbLand,6.3,3076,9779
tt8861916,Shiva,1.4,321,9780
tt2492366,Camp Lakebottom,5.0,939,9781
tt0172049,Rolie Polie Olie,6.3,3092,9782
tt18783984,Kung Fu Panda: The Dragon Knight,6.0,2029,9783
tt0423621,Brandy & Mr. Whiskers,6.3,3123,9784
tt0103562,Taz-Mania,6.7,10506,9785
tt0184761,My Little Pony,5.5,1305,9786
tt0284712,Captain Caveman and the Teen Angels,6.4,3849,9787
tt1429551,Casper's Scare School,4.3,705,9788
tt2170392,Rocket Monkeys,3.4,526,9789
tt1733734,The Adventures of Paddy the Pelican,1.5,340,9790
tt1232266,"Sit Down, Shut Up",5.9,1895,9791
tt0139774,Dragon Ball GT,6.8,27819,9792
tt0088515,Ewoks,6.0,2120,9793
tt0293725,Butt-Ugly Martians,3.4,531,9794
tt0103559,Street Sharks,6.2,2768,9795
tt0934701,"Ni Hao, Kai-Lan",5.2,1110,9796
tt13370404,Redo of Healer,6.4,4007,9797
tt0369171,Stripperella,5.6,1476,9798
tt0233041,Clifford the Big Red Dog,6.5,5197,9799
tt6874502,Unikitty!,5.5,1390,9800
tt1634209,Kiss x sis,6.0,2204,9801
tt0470105,Captain Flamingo,4.4,773,9802
tt6135682,Spider-Man,6.2,2895,9803
tt0149447,Donkey Kong Country,5.4,1312,9804
tt6412478,Billy Dilley's Super-Duper Subterranean Summer,3.3,542,9805
tt0088510,Star Wars: Droids,5.9,2017,9806
tt0098763,Captain Planet and the Planeteers,6.7,12226,9807
tt12427840,Cocomelon,4.4,794,9808
tt0243061,Dragon Tales,6.4,4320,9809
tt11465278,He-Man and the Masters of the Universe,5.9,2074,9810
tt0230804,Sonic Underground,6.2,3064,9811
tt0086815,Thomas & Friends,6.5,5786,9812
tt1885560,Crash Canyon,4.3,800,9813
tt0207120,Spider-Man Unlimited,6.3,3697,9814
tt0218769,I Am Weasel,6.5,5797,9815
tt0328795,Super Duper Sumos,3.6,629,9816
tt0199253,Noddy,5.6,1641,9817
tt0367367,Max & Ruby,6.1,2734,9818
tt6783056,Eromanga Sensei,5.5,1524,9819
tt0362350,Jay Jay the Jet Plane,3.7,663,9820
tt4552562,Gen Zed,1.0,358,9821
tt0198254,Tom & Jerry Kids Show,6.2,3227,9822
tt14770480,We the People,4.3,822,9823
tt0318959,Crank Yankers,6.2,3229,9824
tt10011298,Dragon's Dogma,6.3,3832,9825
tt6433606,Bunsen Is a Beast,4.0,753,9826
