tconst,primaryTitle,averageRating,numVotes,ranking
tt2861424,Rick and Morty,9.1,555301,1
tt0386676,The Office,9.0,646480,2
tt0108778,Friends,8.9,1030373,3
tt0098904,Seinfeld,8.9,332739,4
tt1831164,Leyla and Mecnun,9.1,94965,5
tt7660850,Succession,8.9,211822,6
tt10986410,Ted Lasso,8.8,283564,7
tt0472954,It's Always Sunny in Philadelphia,8.8,237195,8
tt4742876,TVF Pitchers,9.1,70280,9
tt1865718,Gravity Falls,8.9,119951,10
tt1190634,The Boys,8.7,558968,11
tt0096697,The Simpsons,8.7,419190,12
tt3398228,BoJack Horseman,8.8,170961,13
tt0121955,South Park,8.7,389759,14
tt9432978,Kota Factory,9.0,75223,15
tt0367279,Arrested Development,8.7,313766,16
tt0193676,Freaks and Geeks,8.8,147560,17
tt3530232,Last Week Tonight with John Oliver,8.9,92194,18
tt0264235,Curb Your Enthusiasm,8.8,134914,19
tt14650074,Dhindora,8.8,119582,20
tt5687612,Fleabag,8.7,175410,21
tt4508902,One Punch Man,8.7,171544,22
tt12004706,Panchayat,8.9,75405,23
tt5555260,This Is Us,8.7,150202,24
tt0072500,Fawlty Towers,8.8,96564,25
tt0248654,Six Feet Under,8.7,139350,26
tt1266020,Parks and Recreation,8.6,271818,27
tt0081912,Only Fools and Horses,9.0,54042,28
tt1586680,Shameless,8.6,257118,29
tt5788792,The Marvelous Mrs. Maisel,8.7,130895,30
tt1628033,Top Gear,8.7,122490,31
tt0063929,Monty Python's Flying Circus,8.8,76538,32
tt10541088,Clarkson's Farm,9.0,48508,33
tt1442437,Modern Family,8.5,452846,34
tt1486217,Archer,8.6,159689,35
tt0353049,Chappelle's Show,8.8,68238,36
tt4202274,The Filthy Frank Show,9.2,33144,37
tt9544034,The Family Man,8.7,91698,38
tt1910272,Steins;Gate,8.8,67034,39
tt1439629,Community,8.5,277946,40
tt0096657,Mr. Bean,8.6,125811,41
tt0149460,Futurama,8.5,246985,42
tt3718778,Over the Garden Wall,8.8,62047,43
tt5712554,The Grand Tour,8.7,78923,44
tt7221388,Cobra Kai,8.5,194403,45
tt0387199,Entourage,8.5,173015,46
tt0096548,Blackadder Goes Forth,8.8,54730,47
tt0487831,The IT Crowd,8.5,158317,48
tt2575988,Silicon Valley,8.5,157382,49
tt1632701,Suits,8.4,427814,50
tt2467372,Brooklyn Nine-Nine,8.4,334872,51
tt0387764,Peep Show,8.7,63188,52
tt7908628,What We Do in the Shadows,8.6,85388,53
tt3526078,Schitt's Creek,8.5,131117,54
tt0285403,Scrubs,8.4,262624,55
tt4288182,Atlanta,8.6,81006,56
tt0290978,The Office,8.5,117578,57
tt0460649,How I Met Your Mother,8.3,702852,58
tt0863046,Flight of the Conchords,8.6,63630,59
tt8398600,After Life,8.4,143885,60
tt2297757,Nathan for You,8.9,34286,61
tt7767422,Sex Education,8.3,302408,62
tt1492966,Louie,8.5,80480,63
tt7927936,Flames,8.9,31281,64
tt5348176,Barry,8.4,105746,65
tt0491738,Psych,8.4,101527,66
