tconst,primaryTitle,averageRating,numVotes,ranking
tt0903747,Breaking Bad,9.5,1989209,1
tt0306414,The Wire,9.3,354433,2
tt1475582,Sherlock,9.1,953586,3
tt0141842,The Sopranos,9.2,426453,4
tt3032476,Better Call Saul,9.0,581876,5
tt12392504,Scam 1992: The Harshad Mehta Story,9.3,148778,6
tt2356777,True Detective,8.9,597660,7
tt2802850,Fargo,8.9,384479,8
tt0877057,Death Note,8.9,345468,9
tt2442560,Peaky Blinders,8.8,585027,10
tt2707408,Narcos,8.8,443996,11
tt0773262,Dexter,8.7,740214,12
tt1190634,The Boys,8.7,558305,13
tt5753856,Dark,8.7,411225,14
tt0098936,Twin Peaks,8.8,204818,15
tt3322312,Daredevil,8.6,454559,16
tt7137906,When They See Us,8.9,128498,17
tt1124373,Sons of Anarchy,8.6,307999,18
tt5290382,Mindhunter,8.6,307573,19
tt4158110,Mr. Robot,8.5,399921,20
tt0106179,The X-Files,8.6,235184,21
tt5071412,Ozark,8.5,328078,22
tt0979432,Boardwalk Empire,8.6,195526,23
tt2243973,Hannibal,8.5,262977,24
tt5675620,The Punisher,8.5,248713,25
tt3920596,Big Little Lies,8.5,211011,26
tt2467372,Brooklyn Nine-Nine,8.4,334669,27
tt1839578,Person of Interest,8.5,181759,28
tt0455275,Prison Break,8.3,553560,29
tt0118421,Oz,8.7,102622,30
tt1796960,Homeland,8.3,350253,31
tt0348914,Deadwood,8.6,111767,32
tt0285331,24,8.4,191686,33
tt1489428,Justified,8.6,106238,34
tt0286486,The Shield,8.7,83657,35
tt10155688,Mare of Easttown,8.4,169202,36
tt5189670,Making a Murderer,8.6,99091,37
tt6468322,Money Heist,8.2,498183,38
tt2401256,The Night Of,8.4,160267,39
tt1474684,Luther,8.4,148532,40
tt2249364,Broadchurch,8.4,118887,41
tt2303687,Line of Duty,8.7,64263,42
tt6077448,Sacred Games,8.5,90180,43
tt2017109,Banshee,8.4,110800,44
tt7909970,Unbelievable,8.4,109865,45
tt7920978,Persona,9.0,43529,46
tt1733785,The Bridge,8.6,72591,47
tt5348176,Barry,8.4,105228,48
tt2149175,The Americans,8.4,104974,49
tt0491738,Psych,8.4,101483,50
tt1196946,The Mentalist,8.2,191605,51
tt4052886,Lucifer,8.1,337560,52
tt13443470,Wednesday,8.1,322154,53
tt2788432,American Crime Story,8.4,96957,54
tt2372162,Orange Is the New Black,8.1,310401,55
tt6473300,Mirzapur,8.5,76627,56
tt3502248,Bosch,8.5,76235,57
tt1637727,The Killing,8.3,116712,58
tt8714904,Narcos: Mexico,8.4,88256,59
tt4093826,Twin Peaks,8.5,71190,60
tt0452046,Criminal Minds,8.1,208331,61
tt1358522,White Collar,8.2,135665,62
tt1442462,The Good Wife,8.4,79016,63
tt7049682,Watchmen,8.2,126785,64
tt0412253,Veronica Mars,8.4,75727,65
tt2249007,Ray Donovan,8.3,90055,66
tt1219024,Castle,8.1,167714,67
