tconst,primaryTitle,averageRating,numVotes,ranking
tt5491994,Planet Earth II,9.5,150935,1
tt0795176,Planet Earth,9.4,214127,2
tt2395695,Cosmos: A Spacetime Odyssey,9.3,124640,3
tt9253866,Our Planet,9.3,46398,4
tt6769208,Blue Planet II,9.3,43356,5
tt8420184,The Last Dance,9.1,136113,6
tt0081846,Cosmos,9.3,42268,7
tt1533395,Life,9.1,41726,8
tt0071075,The World at War,9.2,26952,9
tt10541088,Clarkson's Farm,9.0,48446,10
tt0296310,The Blue Planet,9.0,41028,11
tt1877514,The Vietnam War,9.1,26137,12
tt2092588,Frozen Planet,9.0,31709,13
tt1806234,Human Planet,9.0,27020,14
tt9735318,The Beatles: Get Back,9.0,25104,15
tt2297757,Nathan for You,8.9,34243,16
tt0098769,The Civil War,9.1,17329,17
tt5189670,Making a Murderer,8.6,99091,18
tt2571774,Africa,9.0,16527,19
tt4299972,The Jinx: The Life and Deaths of Robert Durst,8.6,48594,20
tt8289930,Formula 1: Drive to Survive,8.6,45784,21
tt1508238,Apocalypse: The Second World War,9.0,13304,22
tt0111893,The Beatles Anthology,9.1,9251,23
tt10802170,The Rehearsal,8.6,22033,24
tt1513168,Through the Wormhole,8.6,18077,25
tt11170862,Cosmos: Possible Worlds,9.1,7151,26
tt0383795,The Joy of Painting,9.3,5763,27
tt9805708,Seven Worlds One Planet,9.3,5731,28
tt0403778,Long Way Round,8.6,14665,29
tt0383126,MythBusters,8.3,53703,30
tt6205862,Inside Look: The People v. O.J. Simpson - American Crime Story,8.4,26759,31
tt0163503,Top Gear,8.4,25064,32
tt4295140,Chef's Table,8.5,16250,33
tt10801534,How to with John Wilson,8.7,9963,34
tt6958022,The Defiant Ones,8.5,15382,35
tt1702042,An Idiot Abroad,8.3,33426,36
tt9103932,Greatest Events of WWII in Colour,8.7,9619,37
tt1832668,How the Universe Works,8.9,7019,38
tt6244192,Leah Remini: Scientology and the Aftermath,8.9,6253,39
tt0108700,Baseball,9.2,4494,40
tt0996994,The War,9.0,5465,41
tt7651892,One Strange Rock,8.7,8082,42
tt9130692,Dynasties,9.1,4901,43
tt0247882,Forensic Files,8.8,6850,44
tt1494191,The Untold History of the United States,8.6,9364,45
tt2845786,Anthony Bourdain: Parts Unknown,8.8,6559,46
tt5167198,The Hunt,9.2,4229,47
tt20779822,Bandon Mein Tha Dum!,8.8,6297,48
tt2069688,World War II in Colour,8.7,7223,49
tt0432232,The Century of the Self,8.8,6149,50
tt14734548,9/11: One Day in America,9.3,3698,51
tt10324164,Prehistoric Planet,8.5,9461,52
tt0364174,The Life of Mammals,9.1,4168,53
tt2360717,Satyamev Jayate,8.6,7527,54
tt0386950,Air Crash Investigation,8.8,5395,55
tt1408430,30 for 30,8.8,5279,56
tt1051155,The Universe,8.7,5865,57
tt7768848,Wild Wild Country,8.1,32986,58
tt11904786,Love on the Spectrum,8.6,6538,59
tt1611787,Wonders of the Solar System,8.8,4664,60
tt0760222,Life in the Undergrowth,9.0,3780,61
tt11318602,Don't F**k with Cats: Hunting an Internet Killer,8.0,57917,62
tt14674086,Welcome to Wrexham,8.2,14458,63
tt10394800,The Planets,9.0,3628,64
tt0430484,The Power of Nightmares,8.8,4427,65
tt2782710,Vice,8.8,4349,66
tt0214382,Walking with Dinosaurs,8.5,6567,67
tt1854226,Wonders of the Universe,8.8,4272,68
tt1655078,Into the Universe with Stephen Hawking,8.6,5471,69
tt0135095,Life on Earth,9.1,3132,70
tt5863126,Last Chance U,8.4,7235,71
tt0346369,Penn & Teller: Bullshit!,8.2,11843,72
tt0344651,Good Eats,8.8,3859,73
tt1380596,Nature's Great Events,8.9,3325,74
tt0175394,The Life of Birds,9.0,2986,75
tt4803766,Alone,8.4,6311,76
tt0446610,Auschwitz: Inside the Nazi State,8.6,4575,77
tt4130418,Hip-Hop Evolution,8.4,6251,78
tt6792200,The Keepers,8.0,23823,79
tt1181716,Life in Cold Blood,9.0,2914,80
tt9331982,The Imagineering Story,8.9,3157,81
tt0369131,Madventures,9.1,2630,82
tt1934673,Homicide Hunter,8.8,3457,83
tt2167393,The Men Who Built America,8.6,4367,84
tt10219322,A Perfect Planet,9.0,2828,85
tt11347692,The Test: A New Era for Australia's Team,8.8,3401,86
tt0123360,The Private Life of Plants,9.0,2810,87
tt11822998,The Trials of Gabriel Fernandez,8.1,12630,88
tt3893538,Sonic Highways,8.7,3710,89
tt0783612,When the Levees Broke: A Requiem in Four Acts,8.5,4685,90
tt8139230,BTS: Burn the Stage,9.0,2658,91
tt11302324,James May: Our Man in...,8.2,8218,92
tt0173528,Bill Nye the Science Guy,8.2,8143,93
tt0959858,Long Way Down,8.3,6442,94
tt0094574,Unsolved Mysteries,8.3,6294,95
tt7752034,Somebody Feed Phil,8.3,6125,96
tt9159144,Dark Side of the Ring,8.7,3275,97
tt7889220,Dirty Money,8.1,9776,98
tt13679628,"McCartney 3,2,1",8.7,3252,99
tt3638584,Apocalypse la 1ère Guerre mondiale,8.8,2908,100
tt9244578,Rise of Empires: Ottoman,7.9,28532,101
tt6333098,Abstract: The Art of Design,8.3,5729,102
tt15012798,All or Nothing: Arsenal,8.3,5574,103
tt16986646,The Green Planet,9.1,2160,104
tt2044056,The Story of Film: An Odyssey,8.4,4624,105
tt27713897,Arnold,8.2,6670,106
tt8914684,Sunderland 'Til I Die,8.1,8764,107
tt0770659,Survivorman,8.2,6610,108
tt4150884,Life Story,9.0,2268,109
tt6963504,Dave Chappelle,8.7,2977,110
tt0206501,Nova,8.7,2916,111
