tconst,primaryTitle,averageRating,numVotes,ranking
tt0903747,Breaking Bad,9.5,1993973,1
tt7366338,Chernobyl,9.4,803626,2
tt0185906,Band of Brothers,9.4,487432,3
tt0944947,Game of Thrones,9.2,2174575,4
tt0306414,The Wire,9.3,355124,5
tt0141842,The Sopranos,9.2,427764,6
tt1475582,Sherlock,9.1,954923,7
tt14392248,Aspirants,9.2,300224,8
tt3032476,Better Call Saul,9.0,584335,9
tt12392504,Scam 1992: The Harshad Mehta Story,9.3,149025,10
tt2356777,True Detective,8.9,598813,11
tt0303461,Firefly,9.0,272819,12
tt2802850,Fargo,8.9,384959,13
tt0877057,Death Note,8.9,346520,14
tt2085059,Black Mirror,8.8,590990,15
tt2442560,Peaky Blinders,8.8,586619,16
tt2707408,Narcos,8.8,444870,17
tt3581920,The Last of Us,8.8,428388,18
tt4574334,Stranger Things,8.7,1252323,19
tt7660850,Succession,8.9,214784,20
tt0773262,Dexter,8.7,740911,21
tt10986410,Ted Lasso,8.8,286467,22
tt1856010,House of Cards,8.7,516203,23
tt0412142,House,8.7,482372,24
tt5753856,Dark,8.7,412249,25
tt1831164,Leyla and Mecnun,9.1,94994,26
tt0098936,Twin Peaks,8.8,205106,27
tt0052520,The Twilight Zone,9.1,87776,28
tt7137906,When They See Us,8.9,128814,29
tt3398228,BoJack Horseman,8.8,171427,30
tt10048342,The Queen's Gambit,8.6,495233,31
tt0804503,Mad Men,8.7,248762,32
tt3322312,Daredevil,8.6,455249,33
tt1606375,Downton Abbey,8.7,214262,34
tt0193676,Freaks and Geeks,8.8,147741,35
tt1124373,Sons of Anarchy,8.6,308478,36
tt5290382,Mindhunter,8.6,308421,37
tt4236770,Yellowstone,8.7,181492,38
tt0384766,Rome,8.7,177656,39
tt5687612,Fleabag,8.7,176045,40
tt4742876,TVF Pitchers,9.1,70325,41
tt0407362,Battlestar Galactica,8.7,170645,42
tt6763664,The Haunting of Hill House,8.6,260391,43
tt1586680,Shameless,8.6,257757,44
tt2306299,Vikings,8.5,554192,45
tt0475784,Westworld,8.5,517089,46
tt14650074,Dhindora,8.8,119626,47
tt11280740,Severance,8.7,158342,48
tt0106179,The X-Files,8.6,235514,49
tt0436992,Doctor Who,8.6,232234,50
tt4786824,The Crown,8.6,231245,51
tt1442437,Modern Family,8.5,453524,52
tt5555260,This Is Us,8.7,150365,53
tt9432978,Kota Factory,9.0,75320,54
tt4158110,Mr. Robot,8.5,400499,55
tt0248654,Six Feet Under,8.7,139481,56
tt0979432,Boardwalk Empire,8.6,195767,57
tt11198330,House of the Dragon,8.5,331469,58
tt5071412,Ozark,8.5,328549,59
tt5788792,The Marvelous Mrs. Maisel,8.7,131628,60
tt0200276,The West Wing,8.9,80864,61
tt2243973,Hannibal,8.5,263445,62
tt5675620,The Punisher,8.5,249215,63
tt12004706,Panchayat,8.9,75581,64
tt0112130,Pride and Prejudice,8.8,88171,65
tt0460681,Supernatural,8.4,461077,66
tt1632701,Suits,8.4,429158,67
tt3920596,Big Little Lies,8.5,211429,68
tt0118421,Oz,8.7,102748,69
tt7221388,Cobra Kai,8.5,194637,70
tt1839578,Person of Interest,8.5,181986,71
tt13991232,1883,8.7,95943,72
tt0387199,Entourage,8.5,173119,73
tt1870479,The Newsroom,8.6,119946,74
tt9544034,The Family Man,8.7,91866,75
tt3230854,The Expanse,8.5,161911,76
tt0285403,Scrubs,8.4,262811,77
tt0460649,How I Met Your Mother,8.3,703461,78
tt1119644,Fringe,8.4,250622,79
tt4179452,The Last Kingdom,8.5,155117,80
tt5834204,The Handmaid's Tale,8.4,247724,81
tt0348914,Deadwood,8.6,111952,82
tt0411008,Lost,8.3,570649,83
tt0455275,Prison Break,8.3,554359,84
tt9471404,The Chosen,9.3,37656,85
tt1489428,Justified,8.6,106637,86
tt0286486,The Shield,8.7,83823,87
tt1910272,Steins;Gate,8.8,67196,88
tt0285331,24,8.4,191852,89
tt1796960,Homeland,8.3,350543,90
tt7767422,Sex Education,8.3,303087,91
tt10155688,Mare of Easttown,8.4,169703,92
tt0994314,Code Geass,8.7,73422,93
tt0290978,The Office,8.5,117708,94
tt3006802,Outlander,8.4,167469,95
tt7657124,The Heroes,8.4,166834,96
tt2401256,The Night Of,8.4,160682,97
tt0758745,Friday Night Lights,8.7,69351,98
tt1474684,Luther,8.4,148701,99
tt8398600,After Life,8.4,144114,100
tt7920978,Persona,9.0,43632,101
tt4288182,Atlanta,8.6,81191,102
tt9253284,Andor,8.4,141462,103
tt21279678,NCR Days,9.1,38427,104
tt6468322,Money Heist,8.2,499055,105
tt8772296,Euphoria,8.3,210078,106
tt2303687,Line of Duty,8.7,64432,107
tt0904208,Californication,8.3,184789,108
tt10638036,Heartstopper,8.7,60295,109
tt6077448,Sacred Games,8.5,90254,110
tt5421602,Anne with an E,8.7,60074,111
tt2249364,Broadchurch,8.4,119114,112
tt2017109,Banshee,8.4,111097,113
tt7909970,Unbelievable,8.4,110155,114
tt0118276,Buffy the Vampire Slayer,8.3,152949,115
tt1520211,The Walking Dead,8.1,1032887,116
tt2149175,The Americans,8.4,105173,117
tt1492966,Louie,8.5,80522,118
tt9174558,Dopesick,8.6,65053,119
tt3647998,Taboo,8.3,143425,120
tt14452776,The Bear,8.4,100773,121
tt0314979,Battlestar Galactica,8.5,78007,122
tt2632424,The Originals,8.3,141396,123
tt6473300,Mirzapur,8.5,76796,124
tt4270492,Billions,8.4,98390,125
tt0112159,Neon Genesis Evangelion,8.5,76514,126
tt3502248,Bosch,8.5,76381,127
tt0118480,Stargate SG-1,8.4,97379,128
tt2788432,American Crime Story,8.4,97004,129
tt5180504,The Witcher,8.1,523759,130
tt11337908,Maid,8.4,90689,131
tt4093826,Twin Peaks,8.5,71320,132
tt1196946,The Mentalist,8.2,191841,133
tt8714904,Narcos: Mexico,8.4,88386,134
tt0374463,The Pacific,8.3,117655,135
tt1637727,The Killing,8.3,116877,136
tt4955642,The Good Place,8.2,173763,137
tt2234222,Orphan Black,8.3,113719,138
tt4052886,Lucifer,8.1,338121,139
tt2372162,Orange Is the New Black,8.1,310738,140
tt2431438,Sense8,8.2,158434,141
tt2699128,The Leftovers,8.3,105039,142
tt1442462,The Good Wife,8.4,79113,143
tt9059760,Normal People,8.4,77333,144
tt0412253,Veronica Mars,8.4,75801,145
tt0934814,Chuck,8.2,142679,146
tt11912196,Asur: Welcome to Your Dark Side,8.5,60008,147
tt1358522,White Collar,8.2,135816,148
tt0238784,Gilmore Girls,8.2,135739,149
tt2049116,Gomorrah,8.7,41977,150
tt0094525,Poirot,8.6,48454,151
tt7049682,Watchmen,8.2,127046,152
tt2249007,Ray Donovan,8.3,90140,153
tt2628232,Penny Dreadful,8.2,126493,154
tt0452046,Criminal Minds,8.1,208610,155
tt3428912,Happy Valley,8.5,56735,156
tt0995832,Generation Kill,8.5,56346,157
tt10919420,Squid Game,8.0,483221,158
tt0165598,That '70s Show,8.1,183514,159
tt1795096,Behzat Ç: An Ankara Detective Story,8.9,31352,160
tt7927936,Flames,8.9,31312,161
tt7203552,The Morning Show,8.2,110438,162
tt5249462,Erased,8.5,52479,163
tt2375692,Black Sails,8.2,108567,164
tt1219024,Castle,8.1,167910,165
tt1548850,Misfits,8.2,104247,166
tt3205802,How to Get Away with Murder,8.1,158410,167
tt2937900,The Knick,8.5,50653,168
tt1844624,American Horror Story,8.0,328214,169
tt0068098,M*A*S*H,8.4,60355,170
tt0092337,Dekalog,9.0,26679,171
tt0925266,Pushing Daisies,8.4,58221,172
tt6315640,Atypical,8.2,96519,173
tt0434706,Monster,8.7,36450,174
tt9288030,Reacher,8.1,142163,175
tt0402711,Boston Legal,8.5,48269,176
tt2741602,The Blacklist,8.0,264693,177
tt5114356,Legion,8.2,93873,178
tt0081834,Das Boot,8.8,31727,179
tt7493974,Bodyguard,8.1,135059,180
tt0840196,Skins,8.2,88657,181
tt1534360,Ezel,8.7,34746,182
tt7016936,Killing Eve,8.1,125296,183
tt9140342,It's a Sin,8.7,34156,184
tt1909015,Undercover,8.9,27259,185
tt8595766,Yeh Meri Family,9.0,24714,186
tt12851524,Only Murders in the Building,8.1,115636,187
tt0203259,Law & Order: Special Victims Unit,8.1,115288,188
tt2188671,Bates Motel,8.1,112222,189
tt2294189,The Fall,8.1,111797,190
tt2649356,Sharp Objects,8.1,108905,191
tt5288312,Skam,8.6,36360,192
tt2384811,Utopia,8.4,48802,193
tt0445114,Extras,8.3,58728,194
tt4635276,Master of None,8.2,74749,195
tt5516154,Godless,8.2,72733,196
tt7562112,Pose,8.7,30934,197
tt5057054,Tom Clancy's Jack Ryan,8.0,151420,198
tt9140560,WandaVision,7.9,344128,199
tt0319969,Carnivàle,8.4,45861,200
tt14164730,Dexter: New Blood,8.1,94001,201
tt0417349,North & South,8.6,33707,202
tt2879552,11.22.63,8.1,92373,203
tt0268093,Ramayan,9.0,22291,204
tt3895150,Your Lie in April,8.6,33610,205
tt13111040,The Offer,8.6,33599,206
tt3398540,Haikyu!!,8.7,29740,207
tt1699748,Hell on Wheels,8.3,53838,208
tt14403178,Beef,8.1,89679,209
tt12714854,Mumbai Diaries 26/11,8.7,29258,210
tt0844441,True Blood,7.9,252348,211
tt1235099,Lie to Me,8.0,123709,212
tt6611916,Kingdom,8.3,50153,213
tt4301160,Black Bird,8.1,81790,214
tt0158417,Mahabharat,9.0,20926,215
tt2357547,Jessica Jones,7.9,220180,216
tt0866442,Eastbound & Down,8.2,61012,217
tt3487382,Forever,8.2,59655,218
tt0758790,The Tudors,8.1,77932,219
tt10530900,Gullak,9.1,18999,220
tt0472027,John Adams,8.5,34712,221
tt2701582,Endeavour,8.6,29936,222
tt0094582,The Wonder Years,8.4,39241,223
tt1598754,24: Live Another Day,8.3,46120,224
tt6470478,The Good Doctor,8.0,104173,225
tt2261227,Altered Carbon,7.9,179302,226
tt3655448,The Young Pope,8.3,45845,227
tt13406094,The White Lotus,7.9,176115,228
tt0056751,Doctor Who,8.4,38225,229
tt1983079,Call the Midwife,8.6,28857,230
tt18335752,1923,8.4,37599,231
tt0374455,Stargate: Atlantis,8.1,69256,232
tt12451520,It's Okay to Not Be Okay,8.6,28449,233
tt1399664,The Night Manager,8.0,96199,234
tt8064302,Dead to Me,8.0,94131,235
tt5691552,The Orville,8.0,94120,236
tt0106145,Star Trek: Deep Space Nine,8.1,66915,237
tt3358020,Parasyte: The Maxim,8.3,42891,238
tt13207736,Monsters,7.9,141341,239
tt0096639,Lonesome Dove,8.7,24316,240
tt9815454,Unorthodox,8.0,86659,241
tt5618256,Manhunt,8.1,61839,242
tt6048596,The Sinner,7.9,131684,243
tt2235759,The Great,8.2,48853,244
tt9680440,Paatal Lok,8.1,61757,245
tt15477488,Farzi,8.4,33928,246
tt2543312,Halt and Catch Fire,8.4,33802,247
tt1830617,Grimm,7.9,125060,248
tt2433738,Wentworth,8.7,23295,249
tt0086661,The Adventures of Sherlock Holmes,8.7,23194,250
tt0144039,Atomic Train,4.7,2320,27522
tt12052892,Day of the Dead,4.7,2323,27523
tt0185819,Secret Lives,3.8,1650,27524
tt3809284,Altindagli,1.6,969,27525
tt0106057,Lois & Clark: The New Adventures of Superman,6.7,25350,27526
tt3250026,Zoo,6.7,25442,27527
tt9139220,Dracula,6.8,50301,27528
tt13364380,Imlie,3.5,1517,27529
tt10462860,Fixerr,5.3,3252,27530
tt14923244,The Winchesters,6.3,8721,27531
tt6026132,Drama Alert,1.6,992,27532
tt8179402,Fate: The Winx Saga,6.8,52822,27533
tt0905574,1001 Nights,5.3,3292,27534
tt0101206,Golden Years,5.2,3111,27535
tt11859542,In from the Cold,6.3,8837,27536
tt10482370,The Third Day,6.4,10671,27537
tt0075488,CHiPs,6.4,10675,27538
