tconst,primaryTitle,averageRating,numVotes,ranking
tt7678620,Bluey,9.5,17177,1
tt10530900,Gullak,9.1,18959,2
tt8595766,Yeh Meri Family,9.0,24691,3
tt0268093,Ramayan,9.0,22194,4
tt5421602,Anne with an E,8.7,59991,5
tt0096657,Mr. Bean,8.6,125891,6
tt5182866,Reply 1988,9.2,8934,7
tt7923710,My Mister,9.1,7810,8
tt0043208,I Love Lucy,8.5,27768,9
tt0383795,The Joy of Painting,9.3,5772,10
tt0094582,The Wonder Years,8.4,39225,11
tt0056751,Doctor Who,8.4,38215,12
tt3671754,Kardes Payi,8.6,16817,13
tt0088727,Anne of Green Gables,8.5,21763,14
tt0229889,El Chavo del Ocho,8.7,11375,15
tt1094229,Heartland,8.5,18276,16
tt6905542,The Dark Crystal: Age of Resistance,8.4,26028,17
tt0074028,The Muppet Show,8.4,25406,18
tt0212671,Malcolm in the Middle,8.2,136436,19
tt0206512,SpongeBob SquarePants,8.2,104676,20
tt4057372,Sugarland,8.3,35709,21
tt0934320,Summer Heights High,8.5,14763,22
tt0062588,Mister Rogers' Neighborhood,8.7,9178,23
tt0088491,The Bugs Bunny/Looney Tunes Comedy Hour,8.4,17112,24
tt0053479,The Andy Griffith Show,8.4,15991,25
tt0207275,The 10th Kingdom,8.3,19551,26
tt3062514,Khawatir,9.5,3225,27
tt0061240,The Carol Burnett Show,8.7,6869,28
tt0105958,Boy Meets World,8.1,44721,29
tt1615919,Raising Hope,8.1,39279,30
tt0054533,The Dick Van Dyke Show,8.4,11260,31
tt0264700,Second Spring,8.7,6337,32
tt0092571,Anne of Avonlea,8.4,9801,33
tt0105933,The Adventures of Pete & Pete,8.4,9727,34
tt0302199,Sweet Life,8.5,7640,35
tt0983983,Shaun the Sheep,8.2,15639,36
tt1400819,Horrible Histories,8.7,5538,37
tt0092383,The Storyteller,8.8,4778,38
tt0992966,7 Numara,8.8,4748,39
tt0042114,The Honeymooners,8.6,5896,40
tt1708446,Taarak Mehta Ka Ooltah Chashmah,8.2,12476,41
tt0287883,Süper Baba,8.8,4388,42
tt2344689,Kolah Ghermezi 90,8.6,5503,43
tt21267694,Ghar Waapsi,8.8,4015,44
tt0057729,The Addams Family,8.0,20759,45
tt0346211,Bir Demet Tiyatro,8.5,5079,46
tt5607976,His Dark Materials,7.8,80137,47
tt0173528,Bill Nye the Science Guy,8.2,8147,48
tt0115082,3rd Rock from the Sun,7.8,53994,49
tt0106115,Rocko's Modern Life,7.9,21118,50
tt2314952,Comedians in Cars Getting Coffee,8.0,13203,51
tt0098900,Avonlea,8.5,4628,52
tt0101190,Salute Your Shorts,8.3,5876,53
tt0085075,Reading Rainbow,8.4,4921,54
tt0229888,El Chapulín Colorado,8.5,3837,55
tt0060019,The Road Runner Show,7.9,12356,56
tt1442464,The Middle,7.7,51466,57
tt0051308,The Rifleman,8.3,4616,58
tt0284735,Il était une fois... la vie,8.2,5396,59
tt0363328,Drake & Josh,7.7,41601,60
tt0389680,Shaktimaan,8.2,5272,61
tt0115231,Kenan & Kel,7.8,16237,62
tt0057773,The Munsters,7.8,16105,63
tt0285335,The Amazing Race,7.8,15034,64
tt1758772,Switched at Birth,7.7,25632,65
tt0106367,Beakman's World,8.6,2838,66
tt4195264,Five Brothers,8.4,3529,67
tt0085017,Fraggle Rock,7.9,8023,68
tt4087032,Good Mythical Morning,8.8,2210,69
tt0299268,Bizimkiler,8.3,3671,70
tt3952746,Just Add Magic,8.4,3205,71
tt0069627,Schoolhouse Rock!,8.2,4179,72
tt0112225,Wishbone,8.2,4150,73
tt0169247,So Weird,8.4,3145,74
tt0090500,Pee-wee's Playhouse,8.1,4781,75
tt0050079,Zorro,8.2,3876,76
tt0841929,Pat & Mat,8.4,2782,77
tt0976014,Greek,7.6,24779,78
tt1551948,Dance Academy,8.0,4904,79
tt0057733,Bewitched,7.6,23007,80
tt12187604,Thanamalvila Kollek,9.2,1397,81
tt0063939,The Pink Panther Show,7.6,20195,82
tt0310482,Legends of the Hidden Temple,8.1,3801,83
tt1442550,Shark Tank,7.7,10292,84
tt0242210,The Kids from Room 402,8.2,3083,85
tt0831933,Aaj Robibar,9.3,1231,86
tt0406432,Lineman,8.2,3026,87
tt0086824,Voltron: Defender of the Universe,7.9,4996,88
tt0206511,Even Stevens,7.6,15007,89
tt0184111,Ed， Edd n Eddy,7.5,39358,90
tt2399794,Chasing Life,7.8,6101,91
tt0046593,The Magical World of Disney,8.4,2144,92
tt0199214,Faerie Tale Theatre,8.3,2388,93
tt0071007,Little House on the Prairie,7.5,24994,94
tt0090417,Degrassi High,8.1,3021,95
tt0090399,Bolji zivot,8.4,2091,96
tt10681222,The Movies That Made Us,7.7,6894,97
tt0101081,Dinosaurs,7.5,20536,98
tt0376364,31 minutos,9.0,1243,99
tt2110659,De'ah Da'iah,9.6,898,100
tt6574360,Jorel's Brother,9.1,1159,101
tt0103512,Picket Fences,7.8,4845,102
tt0050032,Leave It to Beaver,7.6,8832,103
tt19865778,Nirmal Pathak Ki Ghar Wapsi,8.4,1868,104
tt2006848,Bunheads,7.6,8734,105
tt4291050,Hey Duggee,8.9,1243,106
tt0042168,What's My Line?,8.5,1687,107
tt0290995,Yeditepe Istanbul,8.6,1542,108
tt0086723,Guest from the Future,8.1,2599,109
tt0068149,The Waltons,7.6,8445,110
tt0112174,Spellbinder,8.2,2258,111
tt0052507,The Bullwinkle Show,7.8,4378,112
tt0078714,You Can't Do That on Television,8.1,2478,113
tt1843546,Kolah Ghermezi 88,8.1,2431,114
tt0103529,Round the Twist,8.0,2730,115
tt0090390,ALF,7.4,37262,116
tt0086687,The Cosby Show,7.4,35227,117
tt0047763,The Phil Silvers Show,8.4,1659,118
tt0088528,Adventures of the Gummi Bears,7.5,11435,119
tt6352180,Little Witch Academia,7.8,3697,120
tt0331732,Castelo Rá-Tim-Bum,8.8,1161,121
tt0066651,The Electric Company,8.1,2191,122
tt1949650,Best of Luck Nikki,8.4,1567,123
tt0122353,KaBlam!,7.9,2847,124
tt27727527,Vanshaj,9.6,717,125
tt0391683,Rubí,8.0,2400,126
tt0090405,The Bugs Bunny and Tweety Show,7.8,3380,127
tt0423642,Dog Whisperer with Cesar Millan,7.9,2792,128
tt0070992,Happy Days,7.4,20017,129
tt7784442,Captain Tsubasa,8.2,1807,130
tt4667058,Diyar-e-Dil,9.0,940,131
tt5151816,Chesapeake Shores,7.5,8667,132
tt0405576,Ned's Declassified School Survival Guide,7.4,18836,133
tt0108787,Ghostwriter,7.9,2683,134
tt2933198,On Tiptoes,7.6,5487,135
tt0315709,Smogovci,8.7,1128,136
tt3496764,Gortimer Gibbon's Life on Normal Street,8.3,1579,137
tt0111875,All That,7.5,8010,138
tt0058815,I Dream of Jeannie,7.4,16597,139
tt0057751,Gilligan's Island,7.4,15943,140
tt0101213,Sunes jul,8.0,2153,141
tt4380324,800 Words,7.9,2487,142
tt0122365,Wacky Races,7.5,7368,143
tt4574736,Charlotte,7.5,7274,144
tt0202198,Once and Again,7.8,2909,145
tt0098861,Merrie Melodies: Starring Bugs Bunny and Friends,8.3,1459,146
tt0115282,Mysteriet på Greveholm,8.1,1813,147
tt0072496,Ellery Queen,8.3,1448,148
tt0098834,The Storyteller: Greek Myths,8.1,1802,149
tt0098774,The Crystal Maze,8.1,1788,150
tt0850645,The Three Stooges Show,8.5,1188,151
tt5232792,Lost in Space,7.3,102567,152
tt3590338,Puffin Rock,8.7,1010,153
tt1117544,Eftyhismenoi mazi,8.2,1499,154
tt2204916,Eddsworld,8.7,972,155
tt12853970,Shinchan,8.4,1224,156
tt21909152,Kaamwali Bai,9.1,754,157
tt0319930,American Dreams,7.7,3156,158
tt0201380,Emil i Lönneberga,7.8,2545,159
tt1018269,Conta-me Como Foi,8.7,943,160
tt0270761,Candy Candy,8.0,1840,161
tt0324742,Creature Comforts,7.9,2129,162
tt12477960,Go Ahead,8.6,1002,163
tt6916746,Alexa & Katie,7.5,5681,164
tt0199249,Mr. Dressup,9.1,721,165
tt0108921,The Secret World of Alex Mack,7.5,5416,166
tt0050033,The Lucy-Desi Comedy Hour,8.3,1213,167
tt10329642,Secrets of Sulphur Springs,7.6,3654,168
tt0083452,Nature,8.9,768,169
tt0289036,What's with Andy?,7.6,3614,170
tt14330440,Tuttle Twins,8.7,861,171
tt0083500,Voyagers!,8.0,1658,172
tt0190211,Zoboomafoo,7.6,3457,173
tt2177489,Baby Daddy,7.3,21085,174
tt11349824,Mahabharat Katha,9.4,563,175
tt0100366,Pingu,7.4,7687,176
tt10516874,Worzel Gummidge,7.9,1838,177
tt0115173,Flash Forward,7.9,1814,178
tt0083413,Family Ties,7.3,19279,179
tt0819085,The Upside Down Show,8.7,810,180
tt0296886,The World of Peter Rabbit and Friends,8.4,1014,181
tt0272388,House of Mouse,7.5,4456,182
tt4651824,The Muppets.,7.4,7041,183
tt0339881,Wallace & Gromit's Cracking Contraptions,7.6,3165,184
tt0491603,H2O: Just Add Water,7.3,16791,185
tt0047718,Captain Kangaroo,8.0,1499,186
tt0274988,The Tribe,7.6,3106,187
tt18545980,The Muppets Mayhem,8.1,1308,188
tt0068120,The Price Is Right,7.5,4077,189
tt0044229,The Abbott and Costello Show,8.1,1275,190
tt1032831,Doraemon,8.0,1421,191
tt10196382,Into the Unknown: Making Frozen 2,8.5,864,192
tt0362372,Los Serrano,7.5,3891,193
tt0106172,Where in the World Is Carmen Sandiego?,7.6,2849,194
tt2228547,The Aquabats! Super Show!,8.7,729,195
tt0059973,Captain Scarlet and the Mysterons,7.8,1798,196
tt0439879,Wildfire,7.5,3633,197
tt0193677,Knightmare,8.2,1066,198
tt0282315,The Tom and Jerry Comedy Show,7.6,2677,199
tt0181199,Arabian Nights,7.4,5426,200
tt0118466,Smart Guy,7.4,5352,201
tt0367380,Oshin,8.3,945,202
tt0278213,The Little Rascals,8.0,1301,203
tt3138102,Side om side,7.8,1735,204
tt0115279,Muppets Tonight,7.7,2071,205
tt0135114,Around the World with Willy Fog,7.5,3378,206
tt0098803,The Girl from Tomorrow,8.0,1260,207
tt0337539,Strange Days at Blake Holsey High,7.9,1432,208
tt0775374,Lincoln Heights,7.7,1972,209
tt0086675,The Box of Delights,8.3,896,210
tt9332962,The InBESTigators,8.2,983,211
tt0052490,The Many Loves of Dobie Gillis,7.7,1944,212
tt0078560,Anne of Green Gables,7.7,1934,213
tt0307740,Djekna jos nije umrla， a ka' ce ne znamo,8.9,573,214
tt9288860,Trash Truck,8.7,641,215
tt3070014,Sarah and Duck,8.4,794,216
tt0108871,My Brother and Me,8.2,944,217
tt0073992,Family,7.7,1865,218
tt0090474,A Little Princess,8.5,726,219
tt0096679,Press Gang,8.1,1035,220
tt0296386,The Wonderful Adventures of Nils,7.5,3009,221
tt0068243,The Adventures of Pinocchio,7.8,1536,222
tt0096642,Maid Marian and Her Merry Men,7.8,1526,223
tt0042171,You Bet Your Life,8.5,710,224
tt0101120,Home Improvement,7.2,46105,225
tt12148314,Nokkhotrer Raat,9.4,411,226
tt0088500,Count Duckula,7.4,4088,227
tt0101223,The Torkelsons,7.9,1255,228
tt0129719,Süsü， a sárkány kalandjai,8.2,883,229
tt0058808,Green Acres,7.3,7215,230
tt5302120,Life Song,7.7,1704,231
tt6650508,Uppum Mulakum,9.0,486,232
tt0236893,Centurions,7.6,2082,233
tt27628576,The Long Season,8.8,541,234
tt0159924,Thorn Castle,8.4,713,235
tt2321596,Wolfblood,7.4,3808,236
tt0170885,Carrusel,8.3,749,237
tt0293734,Oswald,7.6,1956,238
tt4641870,Les grandes Grandes Vacances,8.9,481,239
tt2948562,Tumble Leaf,8.7,541,240
tt0780438,Tom and Jerry Tales,7.4,3507,241
tt0066670,The Hilarious House of Frightenstein,8.2,797,242
tt19877312,Hum Tum (Hum TV),8.8,504,243
tt0212593,Return of the Prodigal Parrot,7.6,1882,244
tt0191731,Square One Television,8.4,665,245
tt0085060,Mr. Wizard's World,8.2,790,246
tt1132600,Packed to the Rafters,7.5,2415,247
tt0126169,Popular Mechanics for Kids,8.5,610,248
tt2189258,North America,8.5,605,249
tt2644032,Barbie: Life in the Dreamhouse,7.5,2316,250
tt1016126,The Latest Buzz,5.8,914,7341
tt6911516,Knight Squad,5.4,657,7342
tt4494948,Shimmer and Shine,5.1,542,7343
tt0096643,Major Dad,6.5,3067,7344
tt0186747,Garbage Pail Kids,3.5,280,7345
tt12682076,The Wonder Years,6.6,4604,7346
tt0283724,Doc,5.8,931,7347
tt7356206,Chicken Girls,5.5,721,7348
tt0177447,Jabberjaw,5.9,1042,7349
tt10916122,Supermarket Sweep,5.4,672,7350
tt0397800,JoJo's Circus,5.1,557,7351
tt14852960,Lopez vs. Lopez,6.0,1188,7352
tt0484917,I Cesaroni,5.3,634,7353
tt1003222,As the Bell Rings,4.1,352,7354
tt4858114,Hotel Transylvania: The Series,5.6,794,7355
tt0834023,Iki Aile,5.7,869,7356
tt0197911,Spider-Woman,5.7,898,7357
tt1236429,Sid the Science Kid,5.5,759,7358
tt0210294,Snow Queen,6.5,3385,7359
tt2953680,Dotted,6.5,3386,7360
tt0404597,Duel Masters,5.3,665,7361
tt0172031,The New Addams Family,6.4,2556,7362
tt4654650,My Life Me,4.2,385,7363
tt0144065,Ri¢hie Ri¢h,6.0,1296,7364
tt0217177,Brum,6.2,1741,7365
tt11004134,Ghostwriter,5.8,1035,7366
tt0046617,Lassie,6.5,3610,7367
tt0448284,En Son Babalar Duyar,6.3,2115,7368
tt0112207,Our Charly,4.4,431,7369
tt4160422,Nick Studio 10,1.1,182,7370
tt0115084,Ace Ventura: Pet Detective,5.6,882,7371
tt3544772,Kirby Buckets,4.9,554,7372
tt0426708,Hayat Bilgisi,6.5,3776,7373
tt6973460,Türk Mali,2.7,257,7374
tt1763751,Mr. Young,6.0,1370,7375
tt0352085,Oobi,6.4,2845,7376
tt0312189,Power Rangers Ninja Storm,6.4,2874,7377
tt0491735,Monster Warriors,3.3,309,7378
tt0094559,Superboy,6.0,1395,7379
tt0281426,Bücür Cadi,2.7,268,7380
tt0149509,Postman Pat,6.4,2972,7381
tt4048256,Dora and Friends: Into the City!,3.6,346,7382
tt10857210,Muppets Now,5.9,1266,7383
tt0060004,The Magilla Gorilla Show,6.2,1956,7384
tt0499383,Dancing on Ice,4.6,510,7385
tt4845734,Talia in the Kitchen,3.3,319,7386
tt16425030,Dancing with Myself,3.9,386,7387
tt0229141,Little Bill,6.3,2390,7388
tt0383122,Make Way for Noddy,5.6,965,7389
tt0303449,Dadi,6.3,2469,7390
tt0484918,Ulice,2.1,243,7391
tt0065333,The Partridge Family,6.5,4447,7392
tt0406419,Higglytown Heroes,4.9,621,7393
