tconst,primaryTitle,averageRating,numVotes,ranking
tt4574334,Stranger Things,8.7,1251509,1
tt8111088,The Mandalorian,8.7,549498,2
tt0052520,The Twilight Zone,9.1,87719,3
tt0460681,Supernatural,8.4,460883,4
tt0411008,Lost,8.3,570411,5
tt3006802,Outlander,8.4,167261,6
tt7908628,What We Do in the Shadows,8.6,85540,7
tt9140554,Loki,8.2,343739,8
tt0118276,Buffy the Vampire Slayer,8.3,152893,9
tt2632424,The Originals,8.3,141346,10
tt4955642,The Good Place,8.2,173620,11
tt4052886,Lucifer,8.1,337948,12
tt13443470,Wednesday,8.1,323099,13
tt2699128,The Leftovers,8.3,104955,14
tt2628232,Penny Dreadful,8.2,126443,15
tt1548850,Misfits,8.2,104215,16
tt0925266,Pushing Daisies,8.4,58203,17
tt0319969,Carnivàle,8.4,45855,18
tt0844441,True Blood,7.9,252292,19
tt3487382,Forever,8.2,59639,20
tt1869454,Good Omens,8.0,83931,21
tt1830617,Grimm,7.9,125018,22
tt12411074,Paranormal,8.0,73393,23
tt5994364,Guardian: The Lonely and Great God,8.6,24125,24
tt1199099,Merlin,7.9,84524,25
tt1405406,The Vampire Diaries,7.7,332793,26
tt5016504,Preacher,7.9,77881,27
tt0348913,Dead Like Me,8.1,42972,28
tt0162065,Angel,7.9,73077,29
tt7078180,Violet Evergarden,8.4,25761,30
tt4635282,The OA,7.8,109110,31
tt1843230,Once Upon a Time,7.7,230151,32
tt4834232,Critical Role,9.3,11480,33
tt0416394,The Mighty Boosh,8.4,23253,34
tt1751634,The Sandman,7.7,158572,35
tt1567432,Teen Wolf,7.7,156551,36
tt2177461,A Discovery of Witches,7.9,56192,37
tt0397150,Garth Marenghi's Darkplace,8.5,19343,38
tt10574558,Midnight Mass,7.7,124768,39
tt0830361,The Lost Room,8.1,32164,40
tt0495212,Hellsing Ultimate,8.2,24933,41
tt0318997,Angels in America,8.1,28862,42
tt8594324,Ghosts,8.3,20504,43
tt13854248,The Legend of Hanuman,9.1,10153,44
tt0489974,Carnival Row,7.7,77638,45
tt20859920,Alchemy of Souls,8.8,11947,46
tt8101850,Undone,8.2,22004,47
tt0807832,Mushi-Shi,8.5,14064,48
tt0108906,The Kingdom,8.2,19733,49
tt1898069,American Gods,7.6,89570,50
tt2521668,The Returned,8.1,20887,51
tt0813715,Heroes,7.5,246482,52
tt0103352,Are You Afraid of the Dark?,8.2,15570,53
tt0851851,Terminator: The Sarah Connor Chronicles,7.6,61539,54
tt5320412,Moon Lovers: Scarlet Heart Ryeo,8.6,10041,55
tt0062588,Mister Rogers' Neighborhood,8.7,9181,56
tt11379026,Ghosts,7.9,23357,57
tt0361256,Wonderfalls,8.3,12886,58
tt3469052,My Love from Another Star,8.2,14305,59
tt3305096,Galavant,8.1,16132,60
tt4254242,The Magicians,7.6,53593,61
tt1839683,Awake,7.9,21264,62
tt27548825,Fireflies: Parth Aur Jugnu,9.5,5225,63
tt1349938,Being Human,7.8,25910,64
tt9170108,Raised by Wolves,7.5,82217,65
tt8993398,Rascal Does Not Dream of Bunny Girl Senpai,8.1,14287,66
tt11228748,The King: Eternal Monarch,8.1,13600,67
tt9446688,I Am Not Okay with This,7.5,68650,68
tt2548418,Jonathan Strange & Mr Norrell,8.1,13432,69
tt14169960,All of Us Are Dead,7.5,57240,70
tt5332206,Signal,8.5,8139,71
tt13400006,Mr. Queen,8.6,7461,72
tt3489184,Constantine,7.5,54920,73
tt1008108,Ashes to Ashes,8.2,10653,74
tt0197139,A Dog's Will,9.2,4796,75
tt1429449,Lost Girl,7.6,32157,76
tt6354518,The Disastrous Life of Saiki K.,8.3,9060,77
tt6548228,Castle Rock,7.5,48644,78
tt10574236,Station Eleven,7.6,31171,79
tt2147999,Devon Ke Dev... Mahadev,9.3,4424,80
tt7569592,Chilling Adventures of Sabrina,7.4,101460,81
tt5766194,Legend of the Blue Sea,8.1,10731,82
tt0325547,Hellsing,7.8,17260,83
tt6256484,While You Were Sleeping,8.3,8448,84
tt9251798,Ragnarok,7.5,40415,85
tt0057773,The Munsters,7.8,16108,86
tt1519931,Haven,7.5,39696,87
tt0056777,The Outer Limits,8.2,8866,88
tt0955346,Moonlight,7.6,24735,89
tt1621748,Ugly Americans,8.0,10656,90
tt0057733,Bewitched,7.6,23011,91
tt10234724,Moon Knight,7.3,245316,92
tt8783930,The Time Traveler's Wife,7.7,16207,93
tt0948538,Journeyman,8.0,9502,94
tt0499410,That Mitchell and Webb Look,8.0,9308,95
tt2288064,Witches of East End,7.5,26760,96
tt1595680,Being Human,7.5,26283,97
tt1841321,Secret Garden,8.1,7184,98
tt13273826,The Uncanny Counter,8.0,8058,99
tt0441059,Kaamelott,8.8,3876,100
tt4189492,Man Seeking Woman,7.8,10808,101
tt0112111,The Outer Limits,7.7,13136,102
tt3296782,I Miss You Too,8.0,7683,103
tt3007572,Locke & Key,7.3,91991,104
tt2654620,The Strain,7.3,84011,105
tt21030032,【Oshi No Ko】,8.7,3816,106
tt0101081,Dinosaurs,7.5,20541,107
tt0088634,The Twilight Zone,7.7,11743,108
tt0086791,Robin Hood,8.4,4704,109
tt8750956,Arthdal Chronicles,8.3,4991,110
tt0111987,Goosebumps,7.6,14259,111
tt0816407,The Melancholy of Haruhi Suzumiya,7.8,8807,112
tt0892535,Eli Stone,7.7,10604,113
tt14979052,Happiness,7.9,7335,114
tt0229888,El Chapulín Colorado,8.5,3837,115
tt8697870,The Nevers,7.4,26217,116
tt3443522,Mushi-Shi: Next Passage,8.8,3053,117
tt2176165,Another,7.5,16695,118
tt1219817,Going Postal,7.7,9457,119
tt4878326,Wynonna Earp,7.4,23883,120
tt1837654,The Secret Circle,7.3,48138,121
tt3184674,The Master's Sun,8.1,5127,122
tt0059978,Dark Shadows,8.1,5093,123
tt12879418,Tale of the Nine Tailed,7.9,6382,124
tt7099334,A Korean Odyssey,8.0,5531,125
tt0486657,The Dresden Files,7.6,11016,126
tt12458172,Word of Honor,8.5,3358,127
tt1752076,The Almighty Johnsons,8.1,4816,128
tt5531470,Frequency,7.5,14112,129
tt5141800,Nirvana in Fire,8.9,2493,130
tt13361448,Night Sky,7.4,20576,131
tt21481210,Karagar,8.4,3480,132
tt0098888,Parker Lewis Can't Lose,7.9,5940,133
tt0065327,Night Gallery,7.9,5863,134
tt0112167,Sliders,7.4,19551,135
tt4396630,The Gifted,7.3,36461,136
tt3141190,I Hear Your Voice,8.1,4416,137
tt15686254,Summer Time Rendering,8.2,3978,138
tt2320220,Kamisama Kiss,8.1,4410,139
tt13669128,Doom at Your Service,8.0,4928,140
tt8103070,Legacies,7.3,34344,141
