tconst,primaryTitle,averageRating,numVotes,ranking
tt4934214,Taskmaster,9.0,15951,1
tt0380136,QI,8.6,32715,2
tt0163507,Whose Line Is It Anyway?,8.5,44936,3
tt1353056,RuPaul's Drag Race,8.5,21867,4
tt1877368,The Great British Baking Show,8.6,11554,5
tt2301351,RuPaul's Drag Race All Stars,8.6,9140,6
tt7865962,Run BTS!,9.6,2490,7
tt2185037,Running Man,9.1,3344,8
tt2919910,Whose Line Is It Anyway?,8.4,9060,9
tt4803766,Alone,8.4,6323,10
tt0159881,Jeopardy!,8.3,7817,11
tt1055238,Would I Lie to You?,8.2,9160,12
tt9780442,RuPaul's Drag Race UK,8.5,4350,13
tt0384746,Kenny vs. Spenny,8.1,9780,14
tt1663641,Face Off,8.2,6787,15
tt23743442,The Traitors UK,8.8,2763,16
tt2345459,8 Out of 10 Cats Does Countdown,8.2,6295,17
tt0094580,Whose Line Is It Anyway?,8.2,5789,18
tt13606528,Drag Race España,8.7,2542,19
tt4680444,Forged in Fire,8.3,4026,20
tt0250875,Kaun Banega Crorepati?,8.2,4181,21
tt0463827,Mock the Week,7.8,8410,22
tt2078690,Brain Games,8.2,3432,23
tt0310482,Legends of the Hidden Temple,8.1,3798,24
tt1442550,Shark Tank,7.7,10290,25
tt0098820,Have I Got News for You,7.9,5313,26
tt1811179,Penn & Teller: Fool Us,8.0,3989,27
tt0115286,Never Mind the Buzzcocks,7.8,5918,28
tt0239195,Survivor,7.5,26173,29
tt25274446,Physical: 100,7.7,7423,30
tt0069608,Match Game,8.3,2355,31
tt0765425,Top Chef,7.7,6495,32
tt0465315,8 Out of 10 Cats,7.7,5983,33
tt0497294,High Stakes Poker,9.0,1228,34
tt8595350,BTS Gayo,9.2,1093,35
tt0042168,What's My Line?,8.5,1687,36
tt0220265,Iron Chef,8.6,1467,37
tt7017872,Movie Trivia Schmoedown,9.2,924,38
tt3080030,The Profit,8.3,1608,39
tt6417190,The Great Pottery Throw Down,8.6,1216,40
tt2191991,Billy on the Street,7.8,2557,41
tt0437005,Hell's Kitchen,7.2,21863,42
tt6103712,Australian Survivor,8.5,1235,43
tt4816364,BattleBots,8.0,1913,44
tt1353281,Chopped,7.5,4163,45
tt0106131,Shooting Stars,7.7,2746,46
tt0068120,The Price Is Right,7.5,4072,47
tt9581768,The Circle,7.3,7775,48
tt21822078,The Mole,7.6,3202,49
tt10228230,Quiz,7.3,7598,50
tt6987788,Nailed It!,7.4,5155,51
tt2374117,TableTop,8.5,1157,52
tt0457544,Wie is de Mol?,8.4,1185,53
tt0106172,Where in the World Is Carmen Sandiego?,7.6,2849,54
tt1281313,Deadliest Warrior,7.5,3465,55
tt1865740,Ink Master,7.4,4431,56
tt3279494,@midnight,7.7,2176,57
tt6289132,The Boulet Brothers' Dragula,8.1,1366,58
tt1827070,Drew Carey's Improv-A-Ganza,8.2,1220,59
tt0236911,De Mol,8.7,858,60
tt9615014,Lego Masters,7.5,2803,61
tt1673441,Dual Survival,7.4,3268,62
tt15172154,School of Chocolate,7.6,2199,63
tt15245094,Drag Race Philippines,8.0,1290,64
tt10285320,Lego Masters Australia,8.6,798,65
tt2184186,A League of Their Own,7.7,1624,66
tt9909248,Race Across the World,8.3,928,67
tt0448300,Spicks and Specks,8.0,1154,68
tt11382554,Canada's Drag Race,7.4,2480,69
tt27664503,Siren: Survive the Island,8.2,975,70
tt1014786,Ninja Warrior,8.0,1111,71
tt7967262,The Titan Games,7.2,3579,72
tt8527842,World's Toughest Race: Eco-Challenge Fiji,7.6,1624,73
tt3295542,Have You Been Paying Attention?,8.3,836,74
tt0450897,The Apprentice UK,7.2,3343,75
tt0042171,You Bet Your Life,8.5,710,76
tt0270792,The Mole,7.7,1283,77
tt1509677,Pointless,7.2,2883,78
tt1368424,Gaki No Tsukai,9.0,517,79
tt12305222,Puppet History,9.4,435,80
tt0210723,Nickelodeon GUTS,7.5,1592,81
tt0809816,Thank God You're Here,7.7,1214,82
tt5607970,Ultimate Beastmaster,7.2,2652,83
tt2930446,Cutthroat Kitchen,7.3,2133,84
tt0125616,Double Dare,7.3,2108,85
tt14229490,Evaru Meelo Koteeswarulu,8.5,627,86
tt0790825,Ca$h Cab,7.1,3178,87
tt1263006,Sasuke,8.3,695,88
tt0403806,De slimste mens ter wereld,8.0,862,89
tt3037520,Hollywood Game Night,7.3,1753,90
tt4791250,Naked and Afraid XL,7.3,1724,91
tt4181892,On the Spot,8.2,676,92
tt20871052,Drag Race France,8.0,746,93
tt5145166,Scrapyard Wars,9.4,359,94
tt0073991,Family Feud,7.1,2306,95
tt15824600,The Big Brunch,8.3,577,96
tt0121967,Wild & Crazy Kids,7.4,1269,97
tt7316998,Richard Osman's House of Games,7.8,814,98
tt3725394,The Island with Bear Grylls,7.3,1364,99
tt0310500,Never Mind the Buzzcocks,7.6,919,100
tt14257126,The Challenge: All Stars,8.2,557,101
tt0902735,På spåret,8.1,588,102
tt1502749,The Chase,7.0,2298,103
tt5974610,The Big Fat Quiz of Everything,8.0,624,104
tt11127158,The Hustler,7.8,729,105
tt1318007,Celebrity Juice,7.0,2247,106
tt1294009,Only Connect,8.0,613,107
tt0490547,Solitary,8.4,471,108
tt0163488,Robot Wars,7.3,1171,109
tt9680524,Glow Up: Britain's Next Make-Up Star,6.9,2676,110
tt12409154,We Are the Champions,7.1,1556,111
tt5247622,Knowing Bros,8.2,491,112
tt0044270,I've Got a Secret,8.0,550,113
tt0169491,Junkyard Wars,7.5,842,114
tt0180384,Supermarket Sweep,7.4,935,115
tt0443370,Dragons' Den,6.9,2369,116
tt3077336,The Chase,7.4,927,117
tt10133226,Holey Moley,7.2,1219,118
tt6609270,Dorehami,6.7,5237,119
