tconst,primaryTitle,averageRating,numVotes,ranking
tt7366338,Chernobyl,9.4,804098,1
tt0185906,Band of Brothers,9.4,487642,2
tt8420184,The Last Dance,9.1,136960,3
tt9471404,The Chosen,9.3,37699,4
tt4786824,The Crown,8.6,231309,5
tt0071075,The World at War,9.2,26998,6
tt0348914,Deadwood,8.6,111984,7
tt1877514,The Vietnam War,9.1,26204,8
tt4179452,The Last Kingdom,8.5,155212,9
tt7657124,The Heroes,8.4,166858,10
tt0158417,Mahabharat,9.0,20953,11
tt9140342,It's a Sin,8.7,34179,12
tt0098769,The Civil War,9.1,17372,13
tt2937900,The Knick,8.5,50668,14
tt1983079,Call the Midwife,8.6,28867,15
tt0472027,John Adams,8.5,34725,16
tt0074006,I， Claudius,8.8,18315,17
tt13868972,Rocket Boys,8.9,16005,18
tt1508238,Apocalypse: The Second World War,9.0,13353,19
tt1883092,Generation War,8.4,31210,20
tt0075520,Jesus of Nazareth,8.5,23774,21
tt0086659,'Allo 'Allo!,8.4,26191,22
tt3212600,Mahabharat,9.0,10197,23
tt0758790,The Tudors,8.1,77955,24
tt2063241,Farouk Omar,9.4,6884,25
tt0075572,Roots,8.4,18192,26
tt0120570,From the Earth to the Moon,8.6,12700,27
tt5137338,Victoria,8.2,29227,28
tt9103932,Greatest Events of WWII in Colour,8.7,9656,29
tt5673782,Genius,8.2,19191,30
tt1494191,The Untold History of the United States,8.6,9372,31
tt3910804,War & Peace,8.1,24811,32
tt6244192,Leah Remini: Scientology and the Aftermath,8.9,6259,33
tt2543328,TURN: Washington's Spies,8.1,22587,34
tt1988386,Miss Fisher's Murder Mysteries,8.2,16985,35
tt10324164,Prehistoric Planet,8.5,9552,36
tt0996994,The War,9.0,5473,37
tt2069688,World War II in Colour,8.7,7234,38
tt1582457,The Borgias,7.9,52588,39
tt0108700,Baseball,9.2,4505,40
tt7211618,Gentleman Jack,8.2,14903,41
tt6883044,Bose: Dead/Alive,8.7,6827,42
tt5952634,The Spy,7.9,45635,43
tt2006421,Gran Hotel,8.3,10784,44
tt0386950,Air Crash Investigation,8.8,5414,45
tt1051155,The Universe,8.7,5866,46
tt1408430,30 for 30,8.8,5286,47
tt1400819,Horrible Histories,8.7,5546,48
tt9244578,Rise of Empires: Ottoman,7.9,28630,49
tt1985443,Hatfields & McCoys,7.9,28415,50
tt0214382,Walking with Dinosaurs,8.5,6582,51
tt0080274,Shogun,8.1,13127,52
tt0069628,Seventeen Moments of Spring,8.8,4729,53
tt6474236,The Looming Tower,8.0,16570,54
tt3556920,Wolf Hall,8.1,12386,55
tt17921714,A Small Light,8.5,6197,56
