tconst,primaryTitle,averageRating,numVotes,ranking
tt4574334,Stranger Things,8.7,1250081,1
tt0052520,The Twilight Zone,9.1,87639,2
tt6763664,The Haunting of Hill House,8.6,259873,3
tt2243973,Hannibal,8.5,263094,4
tt0460681,Supernatural,8.4,460559,5
tt1520211,The Walking Dead,8.1,1031692,6
tt7908628,What We Do in the Shadows,8.6,85388,7
tt2632424,The Originals,8.3,141272,8
tt4093826,Twin Peaks,8.5,71233,9
tt2628232,Penny Dreadful,8.2,126396,10
tt4189022,Ash vs Evil Dead,8.4,77276,11
tt1844624,American Horror Story,8.0,328001,12
tt2188671,Bates Motel,8.1,112103,13
tt6611916,Kingdom,8.3,50053,14
tt12411074,Paranormal,8.0,73385,15
tt1405406,The Vampire Diaries,7.7,332587,16
tt1751634,The Sandman,7.7,158403,17
tt10574558,Midnight Mass,7.7,124637,18
tt5580540,Santa Clarita Diet,7.8,72071,19
tt11041332,Yellowjackets,7.8,69081,20
tt8550800,The Outsider,7.7,89120,21
tt2708480,The Terror,7.9,47132,22
tt0397150,Garth Marenghi's Darkplace,8.5,19330,23
tt14192814,Kursadzije,8.3,21811,24
tt0096708,Tales from the Crypt,8.0,25733,25
tt5368542,The Exorcist,7.9,29914,26
tt2521668,The Returned,8.1,20887,27
tt9813792,From,7.7,40415,28
tt9055008,Evil,7.8,29548,29
tt0057729,The Addams Family,8.0,20747,30
tt0103352,Are You Afraid of the Dark?,8.2,15566,31
tt0184135,The League of Gentlemen,8.4,11760,32
tt0500092,Serial Experiments Lain,8.1,15412,33
tt10970552,The Haunting of Bly Manor,7.4,113505,34
tt7569592,Chilling Adventures of Sabrina,7.4,101339,35
tt9319668,1899,7.4,98951,36
tt2071645,The Following,7.4,89901,37
tt6548228,Castle Rock,7.5,48596,38
tt0433722,Paranoia Agent,8.0,13085,39
tt0955346,Moonlight,7.6,24731,40
tt2480514,In the Flesh,7.9,13614,41
tt0115270,Millennium,8.0,11701,42
tt4877736,BrainDead,8.0,11642,43
tt0056777,The Outer Limits,8.2,8857,44
tt3007572,Locke & Key,7.3,91936,45
tt8068860,Servant,7.4,43287,46
tt1285482,Dead Set,7.6,20351,47
tt2654620,The Strain,7.3,83963,48
tt2288064,Witches of East End,7.5,26753,49
tt1595680,Being Human,7.5,26277,50
tt5197860,Tabula Rasa,7.9,11090,51
tt0071003,Kolchak: The Night Stalker,8.4,5725,52
tt0112111,The Outer Limits,7.7,13132,53
tt13365348,Archive 81,7.3,53922,54
tt13273826,The Uncanny Counter,8.0,8028,55
