tconst,primaryTitle,averageRating,numVotes,ranking
tt0353049,Chappelle's Show,8.8,68183,1
tt9735318,The Beatles: Get Back,9.0,25104,2
tt4288182,Atlanta,8.6,80958,3
tt0863046,Flight of the Conchords,8.6,63609,4
tt0111893,The Beatles Anthology,9.1,9251,5
tt9814458,Bandish Bandits,8.6,17039,6
tt8531222,Dave,8.3,22845,7
tt0062588,Mister Rogers' Neighborhood,8.7,9170,8
tt1637574,Conan,8.2,24608,9
tt0839188,Metalocalypse,8.3,17475,10
tt4592410,The Get Down,8.2,23174,11
tt0924651,The Graham Norton Show,8.4,12616,12
tt1279972,Treme,8.3,15348,13
tt8749198,Daisy Jones & The Six,8.1,27365,14
tt0072562,Saturday Night Live,8.0,50621,15
tt0106052,Late Night with Conan O'Brien,8.2,18548,16
tt0437729,The Late Late Show with Craig Ferguson,8.4,11279,17
tt3502172,Mozart in the Jungle,8.1,25372,18
tt3762198,People Just Do Nothing,8.5,7509,19
tt0098830,In Living Color,8.1,12086,20
tt4130418,Hip-Hop Evolution,8.4,6251,21
tt14599438,Jeen-yuhs: A Kanye Trilogy,8.0,10070,22
tt3893538,Sonic Highways,8.7,3710,23
tt0164292,The Temptations,8.4,4971,24
tt2281375,Nashville,7.7,26605,25
tt0899126,The Tonight Show with Conan O'Brien,8.0,8810,26
tt3186130,Vinyl,7.7,24345,27
tt5574940,The New Edition Story,8.8,3134,28
tt13679628,"McCartney 3,2,1",8.7,3252,29
tt10479420,Given,8.3,4142,30
tt10846104,We Are Lady Parts,8.2,4606,31
tt0460637,Everybody Hates Chris,7.5,39956,32
tt8746478,Fosse/Verdon,7.9,6850,33
tt0105950,Beavis and Butt-Head,7.5,33113,34
tt1551948,Dance Academy,8.0,4899,35
tt0912343,"Tim and Eric Awesome Show, Great Job!",7.6,11784,36
tt0221300,Jazz,8.6,2382,37
tt1978940,Metal Evolution,8.5,2583,38
tt10110350,Nouba,9.0,1804,39
tt3228904,Empire,7.4,40214,40
tt0180241,Tenacious D,8.1,3793,41
tt20859904,Beavis and Butt-Head,8.5,2492,42
tt0115286,Never Mind the Buzzcocks,7.8,5916,43
tt2400629,Coke Studio,9.6,1257,44
tt2341375,Kids on the Slope,8.2,3166,45
tt17158756,Bocchi the Rock!,8.3,2842,46
tt2039625,Epic Rap Battles of History,8.1,3533,47
tt14599622,Luke Bryan: My Dirt Road Diary,8.7,1988,48
tt11564258,The Playlist,7.5,11879,49
tt0070992,Happy Days,7.4,19988,50
tt13823494,Pistol,7.6,8026,51
tt21217912,Trainwreck: Woodstock '99,7.4,19583,52
tt12567074,Ranjish Hi Sahi,7.9,4166,53
tt0434662,Beck: Mongolian Chop Squad,8.3,2557,54
tt9708550,Country Music,8.9,1571,55
tt0062601,Rowan & Martin's Laugh-In,8.0,3400,56
tt0211153,The Julekalender,8.3,2371,57
tt0965546,Nodame Cantabile,8.3,2357,58
tt2074131,You Are Beautiful,7.7,4977,59
tt0111875,All That,7.5,8004,60
tt3838978,Sinatra: All or Nothing at All,8.0,2441,61
tt8385496,Surviving R. Kelly,7.5,5594,62
tt14460684,The Sound of Magic,7.6,4300,63
tt0083441,Late Night with David Letterman,7.5,4810,64
tt0250581,Life with Judy Garland: Me and My Shadows,7.9,2332,65
tt4270458,Roadies,7.4,5966,66
tt5359830,Soundbreaking: Stories from the Cutting Edge of Recorded Music,8.4,1396,67
tt9376934,Wu-Tang Clan: Of Mics and Men,8.1,1749,68
tt18970038,Soundtrack #1,7.8,2377,69
tt1996607,Dream High,7.6,3238,70
tt0328789,Rebelde Way,7.7,2685,71
tt8107988,Carole & Tuesday,7.8,2284,72
tt0060010,The Monkees,7.4,4802,73
tt0264234,Civilisation,8.7,988,74
tt0104541,The Jacksons: An American Dream,7.5,3613,75
tt2276413,Garfunkel and Oates,7.5,3453,76
tt27192366,Ed Sheeran: The Sum of It All,8.3,1231,77
tt0116910,Long Vacation,8.2,1287,78
tt0058797,The Dean Martin Show,8.1,1375,79
tt0216000,Mirza Ghalib,9.3,645,80
tt3444938,The Tonight Show Starring Jimmy Fallon,7.1,18605,81
tt0115279,Muppets Tonight,7.7,2069,82
tt11017950,Laurel Canyon,8.2,1192,83
tt9184970,Skylines,7.5,2833,84
tt18545980,The Muppets Mayhem,8.1,1258,85
tt8509922,Dolly Parton's Heartstrings,7.6,2303,86
tt10110244,El Maestro,8.8,760,87
tt0040053,The Ed Sullivan Show,7.9,1490,88
tt3568088,Cilla,7.9,1456,89
tt6871344,Dear Mama,8.7,773,90
tt0287198,The Blues,8.1,1191,91
tt0364151,American Masters,8.2,1091,92
tt12711158,Demi Lovato: Dancing with the Devil,7.7,1843,93
tt0420416,Instant Star,7.5,2538,94
tt15469946,ORELSAN: Don't ever show this to anyone,8.5,826,95
tt4335742,Lip Sync Battle,7.3,3816,96
tt0063894,The Dick Cavett Show,8.3,910,97
tt0448300,Spicks and Specks,8.0,1154,98
tt21099140,Christina Grimmie Zeldaxlove 64,9.6,452,99
tt1785129,Taylor Swift: Journey to Fearless,8.4,827,100
tt0396308,Drengene fra Angora,7.8,1399,101
tt8304498,Turn Up Charlie,7.1,7940,102
tt11650492,Girls5eva,7.2,4660,103
tt9886006,Kono Oto Tomare!,8.0,1086,104
tt18280522,Love After Music,7.8,1336,105
tt2520856,Revolution Z,8.0,1067,106
tt6632320,Lasagna Cat,9.1,518,107
tt9278032,Rhythm + Flow,7.6,1710,108
tt5866048,"Fuck, That's Delicious",8.0,1053,109
tt1798701,Wedding Band,7.5,2011,110
tt8560918,The Queen of Flow,7.7,1419,111
tt1877138,Peter Capusotto y sus videos,8.4,708,112
tt14544732,1971: The Year That Music Changed Everything,7.6,1536,113
tt8160064,Hymn of Death,7.6,1491,114
tt0106053,Late Show with David Letterman,7.0,14050,115
tt0086668,The Beiderbecke Affair,8.6,592,116
tt0191731,Square One Television,8.4,665,117
tt1912155,Seven Ages of Rock,8.4,663,118
tt16359870,My School President,8.7,549,119
tt7949200,Nicky Jam: El Ganador,7.7,1234,120
tt4654002,The Needle Drop,7.8,1037,121
tt0472023,So You Think You Can Dance,7.0,10612,122
tt13570366,Break It All: The History of Rock in Latin America,7.6,1327,123
tt7186134,SiIvaGunner,8.8,483,124
tt9419282,Punk,8.0,834,125
tt7322210,The Eddy,7.2,3138,126
tt0159876,Great Performances,8.0,826,127
tt11279454,The Oath of Love,7.9,871,128
tt0056767,The Judy Garland Show,8.8,451,129
tt12026524,Love Scenery,8.2,659,130
tt12850262,Do Do Sol Sol La La Sol,7.3,2112,131
tt3130002,Os Filhos do Rock,8.3,601,132
tt1216150,Macross Frontier,7.9,832,133
tt0437714,Elvis,7.1,4085,134
tt0100361,The Phantom of the Opera,7.4,1650,135
tt0159156,Behind the Music,7.4,1639,136
tt14482570,Watch the Sound with Mark Ronson,8.0,747,137
tt0299302,Friday Night with Jonathan Ross,7.2,2690,138
tt0457046,Love Monkey,7.8,899,139
tt8521376,Little Voice,7.2,2616,140
tt1382157,That Metal Show,8.4,531,141
tt1224393,NOFX Backstage Passport,8.8,418,142
tt2188562,Amachan,8.3,564,143
tt12867750,Do You Like Brahms?,7.6,1117,144
tt1334307,Unsung,9.0,376,145
tt0103469,Later... With Jools Holland,8.3,544,146
tt3594982,Sex & Drugs & Rock & Roll,7.1,3545,147
tt0161194,Soul Train,8.1,620,148
tt0423623,Broadway: The American Musical,8.8,381,149
tt1922746,The Hillywood Show,8.6,424,150
tt14518610,So I Married My Anti-Fan,7.3,1727,151
tt7161104,Welcome to the Ballroom,7.8,791,152
tt0268789,The Chris Isaak Show,7.8,761,153
tt9077184,Accidentally in Love,7.4,1293,154
tt0149314,Unplugged,8.2,516,155
tt0310500,Never Mind the Buzzcocks,7.6,919,156
tt2623064,You've Fallen for Me,7.2,1983,157
tt0277514,Out of the Box,7.5,1040,158
tt15978212,Ya Boy Kongming!,7.6,879,159
tt8836898,Harmony with A. R. Rahman,9.1,290,160
tt5309758,Secret Love Affair,7.9,617,161
tt0478792,Video on Trial,7.8,681,162
tt0189265,The Friendly Giant,8.4,402,163
tt5602660,Page Turner,7.8,644,164
tt0083412,Fame,7.0,4156,165
tt5895884,World of Dance,7.3,1322,166
tt5908376,Afrah AlQoba,8.3,405,167
tt1047801,Yacht Rock,8.7,316,168
tt2942950,Shut Up Flower Boy Band,7.9,555,169
tt5163162,Hasta Que Te Conocí,8.4,371,170
tt0065294,Flip,7.4,1031,171
tt0229907,The Midnight Special,8.5,345,172
tt0799905,World Series of Pop Culture,9.0,263,173
tt1936911,Todd's Pop Song Reviews,8.1,446,174
tt0092629,The Beiderbecke Tapes,8.4,360,175
tt7369974,Step Up: High Water,7.2,1554,176
tt0782110,The Henry Rollins Show,8.1,427,177
tt2597218,Kya Mast Hai Life,8.7,287,178
tt0377278,La télé des inconnus,8.8,272,179
tt0056778,The Patty Duke Show,7.2,1467,180
tt13193246,Helvete: Historien om norsk black metal,7.9,491,181
tt0274245,Changi,8.1,409,182
tt24580490,Super Junior: The Last Man Standing,7.7,594,183
tt0287872,Primetime Glick,7.4,896,184
tt0165042,Live from Lincoln Center,8.7,268,185
tt0092471,Tutti Frutti,8.0,423,186
tt8101768,The Bobby Brown Story,7.4,858,187
tt5955168,Classic Albums,8.4,309,188
tt14037690,Metal Family,8.5,288,189
tt13110256,Song Exploder,7.4,840,190
tt1560523,Vlogbrothers,8.5,285,191
tt12441596,Above All That Is Random,9.8,160,192
tt0063919,The Johnny Cash Show,8.6,267,193
tt14371376,Imitation,7.4,823,194
tt2509266,Live from Daryl's House,9.1,203,195
tt8882486,Dancing Queen,7.1,1674,196
tt0212695,"Sex, Chips & Rock n' Roll",8.4,290,197
tt5037290,Celia,8.1,358,198
tt0844465,Sex 'n' Pop,8.9,220,199
tt0364784,Austin City Limits,8.3,309,200
tt7895644,Death Row Chronicles,8.1,352,201
tt0080219,Fridays,7.5,659,202
tt19298882,My Life as a Rolling Stone,7.9,412,203
tt3089822,Ramses,8.1,344,204
tt4560190,One Hit Wonderland,8.5,257,205
tt0057755,The Hollywood Palace,8.2,311,206
tt0847411,Pump Up the Volume,8.5,252,207
tt14302518,Reign Supreme,7.7,479,208
tt0092469,The Tracey Ullman Show,7.1,1466,209
tt9421868,Selena: The Series,6.9,4793,210
tt20257170,Shalyapin,8.0,344,211
tt0096611,En himla många program,7.5,587,212
tt0086744,Kids Incorporated,7.2,1036,213
tt1565059,The Sing-Off,7.3,804,214
tt22036840,The Numbers,8.4,247,215
tt0081883,The Kenny Everett Television Show,7.2,1008,216
tt0087621,Verdi,8.1,301,217
tt0168358,Parkinson,7.3,771,218
tt6740234,Brian Johnson: A Life on the Road,8.6,204,219
tt0103380,California Dreams,7.0,1797,220
tt0156226,Pop Up Video,7.1,1184,221
tt0044284,Omnibus,8.5,206,222
tt0303468,Headbangers Ball,8.1,269,223
tt0329823,Def Poetry,8.3,222,224
tt1327801,Glee,6.8,151896,225
tt0068089,The Julie Andrews Hour,8.9,151,226
tt0103530,Roundhouse,7.5,449,227
tt0297586,MTV's Most Wanted,8.7,161,228
tt0043192,The Dinah Shore Chevy Show,8.1,234,229
tt2309172,The Dewarists,9.1,132,230
tt0098786,Elvis,8.1,233,231
tt1238035,Shouto na Slavi,7.6,373,232
tt0426645,And You Don't Stop: 30 Years of Hip-Hop,8.3,198,233
tt0496199,La hija del mariachi,7.5,421,234
tt2075847,NeoParadise,7.8,295,235
tt13957998,Eurovision Song Contest Rotterdam 2021,7.7,326,236
tt0259795,The Old Grey Whistle Test,8.1,226,237
tt0892644,Sendung ohne Namen,8.6,163,238
tt0400016,Rage,8.1,218,239
tt0101192,Schmidteinander,8.3,187,240
tt21935534,About Youth,7.8,275,241
tt12814598,Those Snow White Notes,7.4,438,242
tt0156231,Pugwall,8.0,220,243
tt0049993,American Bandstand,7.5,372,244
tt0144054,Is It Bill Bailey?,7.7,288,245
