tconst,primaryTitle,averageRating,numVotes,ranking
tt0863046,Flight of the Conchords,8.6,63609,1
tt1227926,Dr. Horrible's Sing-Along Blog,8.4,43797,2
tt0074028,The Muppet Show,8.4,25388,3
tt0416394,The Mighty Boosh,8.4,23237,4
tt4592410,The Get Down,8.2,23174,5
tt10314462,Zoey's Extraordinary Playlist,8.1,17017,6
tt4094300,Crazy Ex-Girlfriend,7.8,21629,7
tt0090521,The Singing Detective,8.6,4596,8
tt1825133,Smash,7.7,17747,9
tt2033193,A Very Potter Musical,8.8,3089,10
tt0090500,Pee-wee's Playhouse,8.1,4780,11
tt0069627,Schoolhouse Rock!,8.2,4175,12
tt11808942,Schmigadoon!,7.4,12962,13
tt0076998,D'artagnan and Three Musketeers,7.8,3661,14
tt0077060,Pennies from Heaven,8.4,1176,15
tt4422756,The Real O'Neals,7.3,5938,16
tt0107423,Lipstick on Your Collar,8.1,1395,17
tt7765890,Aggressive Retsuko,8.2,1195,18
tt21099140,Christina Grimmie Zeldaxlove 64,9.6,452,19
tt0293734,Oswald,7.6,1952,20
tt0129719,"Süsü, a sárkány kalandjai",8.2,881,21
tt0108825,The Julekalender,7.6,1500,22
tt8510382,High School Musical: The Musical: The Series,7.1,7752,23
tt0159876,Great Performances,8.0,826,24
tt0928368,The Pyjamas,8.4,593,25
tt0198253,Today's Special,8.0,813,26
tt14075320,Naam,9.0,389,27
tt4079084,Princess Rap Battle,8.2,579,28
tt0364887,The joulukalenteri,8.4,489,29
tt0111911,Cartoon Planet,8.5,448,30
tt12524686,The Diary of the Great Perica,8.3,470,31
tt0086800,"Sharon, Lois & Bram's Elephant Show",8.0,576,32
tt0447589,Today Is Maria's Day,8.6,366,33
tt0090478,Macken,7.4,1345,34
tt0177444,"Gullah, Gullah Island",7.4,1335,35
tt0125111,"Midshipmen, Onwards!",7.4,1307,36
tt0220203,Cebollitas,7.9,506,37
tt0165042,Live from Lincoln Center,8.7,268,38
tt12397680,Fraggle Rock: Back to the Rock,8.1,404,39
tt5779222,Julie's Greenroom,8.3,339,40
tt7759016,Encore!,7.6,680,41
tt0218940,Dr. Aibolit,7.5,757,42
tt0277535,Welcome to Pooh Corner,8.0,343,43
tt2162790,New Legend of Madame White Snake,8.3,255,44
tt6163070,StoryBots Super Songs,8.8,185,45
tt0166048,Lamb Chop's Play-Along,7.1,1942,46
tt7679210,Stories from Norway,8.3,245,47
tt0083412,Fame,7.0,4156,48
tt0195466,The Jackie Gleason Show,8.0,296,49
tt7334966,Sanders Sides,8.8,165,50
tt1019690,The Metropolitan Opera HD Live,8.8,163,51
tt0098826,Hull High,8.1,221,52
tt2880496,The Mythical Show,8.0,236,53
tt4551670,The Moblees,8.0,226,54
tt2377027,Little White Lie,7.9,244,55
tt0168367,Polka Dot Door,7.6,337,56
