tconst,primaryTitle,averageRating,numVotes,ranking
tt3530232,Last Week Tonight with John Oliver,8.9,92169,1
tt0458254,The Colbert Report,8.5,39009,2
tt9566030,Pew News,8.8,14825,3
tt0115147,The Daily Show,8.3,47680,4
tt8080054,Patriot Act with Hasan Minhaj,8.4,7738,5
tt2782710,Vice,8.8,4349,6
tt0350448,Real Time with Bill Maher,7.4,13998,7
tt0098820,Have I Got News for You,7.9,5311,8
tt0135733,Match of the Day,8.6,2635,9
tt12511606,1pm Daily Update,9.3,1810,10
tt0133302,Frontline,8.6,2149,11
tt2930136,Hanzawa Naoki,8.4,2314,12
tt0136668,SportsCenter,8.1,2412,13
tt0123338,60 Minutes,7.5,4152,14
tt0307800,Pardon the Interruption,8.1,2070,15
tt5490466,Barely Speaking with Arnub,8.5,1492,16
tt12054924,Some Good News,8.9,1211,17
tt0498878,Attack of the Show!,7.8,2381,18
tt12313750,Weather Report,9.3,876,19
tt1850596,Eye on Entertainment,7.9,1645,20
tt6987966,The Jim Jefferies Show,7.5,2345,21
tt1819821,Basta,8.6,1009,22
tt1169475,Game One,8.9,866,23
tt3246616,Pradhanmantri,9.3,720,24
tt0103396,Dateline NBC,7.2,3141,25
tt5556434,Zondag met Lubach,8.4,1023,26
tt8429428,Weekend Box Office,8.0,1248,27
tt3286728,Neo Magazin,7.8,1397,28
tt1441143,heute-show,7.5,1636,29
tt3295542,Have You Been Paying Attention?,8.3,834,30
tt0765621,Holmes on Homes,8.7,667,31
tt0165001,CBS News Sunday Morning,7.9,1008,32
tt1717499,The Onion News Network,8.2,821,33
tt1885032,Sports Show with Norm Macdonald,8.4,730,34
tt0366019,Gillette Soccer Saturday,8.1,807,35
tt0270116,Charlie Rose,7.6,1142,36
tt8129446,Lights Out with David Spade,8.1,780,37
tt3089666,Schmoes Know,8.2,675,38
tt3330720,The Last Leg,7.1,1611,39
tt0385411,A Wonderful Country,8.0,676,40
tt1427175,Prozhektorperiskhilton,7.4,1052,41
tt0268836,Nytt på nytt,7.7,789,42
tt7544016,The Russell Howard Hour,8.0,635,43
tt7174218,The Beat with Ari Melber,7.2,1267,44
tt0318251,Troldspejlet,8.8,415,45
tt6329790,Vice News Tonight,8.3,479,46
tt0446847,Lockup,7.9,593,47
tt2226824,Pretty Much It,9.4,286,48
tt0377139,Around the Horn,7.1,1217,49
tt0964948,Red Eye w/Tom Shillue,7.2,1064,50
tt5865494,NerdOffice Jovem Nerd,9.4,273,51
tt0124932,20/20,6.7,2563,52
tt14622282,Kino+,9.6,244,53
tt1217217,Saturday Night Live: Weekend Update Summer Edition,7.2,944,54
tt2166772,Newsreaders,7.3,832,55
tt0103363,The Big Breakfast,6.8,1809,56
tt3814654,24 minuta sa Zoranom Kesicem,9.3,258,57
tt0481435,Baseball Tonight,7.8,527,58
tt0350396,CNNNN: Chaser Non-Stop News Network,8.3,375,59
tt5106590,IMDb Originals,7.1,988,60
tt13486352,ZDF Magazin Royale,8.3,364,61
tt5734106,Weediquette,8.1,383,62
tt0960700,The Wire,8.8,260,63
tt0199191,Caiga quien caiga - CQC,8.1,361,64
tt21802150,Kurdistan International Independent Film Festival,9.3,209,65
tt0247880,PBS NewsHour,7.6,493,66
tt0163963,This Hour Has 22 Minutes,7.0,947,67
tt7294498,Frankie Boyle's New World Order,7.4,581,68
tt0309123,60 Minutes,6.8,1345,69
tt1811399,10 O'Clock Live,7.2,686,70
tt0290369,Real Sports with Bryant Gumbel,7.7,425,71
tt2805126,The Checkout,8.1,320,72
tt1515670,The Philip DeFranco Show,8.0,310,73
tt14302020,Today's Number Is...,8.6,224,74
tt0108897,Politically Incorrect,6.7,1370,75
tt0199257,Panorama,7.2,569,76
tt0400998,Democracy Now!,7.4,447,77
tt6473822,Level Up Norge,8.5,220,78
tt0783392,Mike & Mike,6.9,834,79
tt8560108,Prime Time,9.9,133,80
tt0073989,Extra Drei,7.4,441,81
tt0421288,At the Movies,8.3,235,82
tt0487001,NFL Primetime,7.5,383,83
tt1087821,InfoMania,9.1,159,84
tt18412104,The Comments Section with Brett Cooper,7.5,373,85
tt0045431,Person to Person,8.3,218,86
tt1905361,Dateline on ID,7.6,333,87
tt8595740,Povesti COOL,7.2,473,88
tt5189940,De ideale wereld,8.0,246,89
tt3688102,Good Bad Flicks,8.7,171,90
tt0193679,The National,7.8,268,91
tt10148090,Mentalno razgibavanje,9.1,142,92
tt2110744,Gruen Planet,7.8,264,93
tt0978036,Good Game,8.3,197,94
tt21819828,Syd Field Academic Awards,8.8,157,95
tt9180156,32. Gün,8.6,170,96
tt0169446,The Fifth Estate,7.8,251,97
tt19113518,Mrwhosetheboss,9.8,106,98
tt7311550,Greg News com Gregório Duvivier,7.4,334,99
tt13097348,Liberal Hivemind,7.1,450,100
tt0267189,El informal,7.9,224,101
tt0168389,This Hour Has Seven Days,8.6,152,102
tt2345915,Beer and Board Games,8.8,139,103
tt0331136,Inside the NFL,7.2,385,104
tt0406416,Giga Games,8.1,192,105
tt0270764,Electric Playground,8.8,137,106
tt8092650,Tæt på sandheden med Jonatan Spang,8.2,179,107
tt0430833,Countdown w/ Keith Olbermann,6.7,840,108
tt1518344,CQC: Custe o Que Custar,7.2,364,109
tt1826569,What the Flick?!,7.3,319,110
tt10636570,Geography Now!,9.2,107,111
tt8629150,The Weekly,7.3,306,112
tt3643558,The Big Interview with Dan Rather,8.7,127,113
tt1033805,E:60,7.2,337,114
tt3455890,"No, You Shut Up!",8.0,178,115
tt0421311,Computer Chronicles,9.0,107,116
tt0390799,¡Qué grande es el cine!,8.8,115,117
tt0426710,"High School Stories: Scandals, Pranks, and Controversies",8.7,114,118
tt1483818,Stage 5,9.1,97,119
tt0355108,The Morning Program,9.1,97,119
tt0163967,Die Wochenshow,6.7,660,121
tt9278386,"Dobar, los, zao",9.0,99,122
tt0395043,La 2 noticias,8.5,121,123
tt8152776,Svenska nyheter,7.5,218,124
tt0249044,Naked News,6.6,838,125
tt9475692,IMDb's What's on TV,7.1,320,126
tt0131157,Aktenzeichen XY... ungelöst!,7.4,233,127
tt0246393,Tagesschau,7.4,232,128
tt0477545,Unreported World,8.4,122,129
tt8796858,Secular Talk,7.5,211,130
tt21953726,ASAA,9.0,94,131
tt5689636,No Such Thing as the News,8.5,113,132
tt1324576,MLB Tonight,7.6,189,133
tt0983197,Four Corners,7.5,204,134
tt4086030,The Henry Ford Innovation Nation with Mo Rocca,8.1,135,135
tt1862938,Our America with Lisa Ling,7.8,161,136
tt1213842,Inside MMA,8.2,125,137
tt6360268,Behind the Curtain with Steve Wollett,7.9,147,138
tt8910494,So Far,6.8,460,139
tt0390699,Días de cine,7.0,320,140
tt0083448,The McLaughlin Group,7.6,172,141
tt9122526,IMDbrief,6.5,1038,142
tt8307064,HydeWars,8.0,131,143
tt11767890,Gece Gündüz,9.1,79,144
tt0456034,Only in LA,7.8,146,145
tt0983200,Media Watch,8.0,129,146
tt4662568,Crime Watch Daily,7.5,180,147
tt11565422,Cruising the Cut web-series,8.5,98,148
tt0456031,The Hour,6.6,649,149
tt1471319,The Great Indian Comedy Show,7.8,135,150
tt11990744,Salty Cracker,7.4,183,151
tt0108951,TV Nation,6.6,632,152
tt7305166,The Opposition with Jordan Klepper,6.5,914,153
tt5270892,The Empire Files,7.9,122,154
tt0241090,Caiga quien caiga,7.2,214,155
