tconst,primaryTitle,averageRating,numVotes,ranking
tt0108778,Friends,8.9,1029999,1
tt1606375,Downton Abbey,8.7,214029,2
tt0384766,Rome,8.7,177429,3
tt5555260,This Is Us,8.7,150147,4
tt1442437,Modern Family,8.5,452601,5
tt0112130,Pride and Prejudice,8.8,88049,6
tt0460649,How I Met Your Mother,8.3,702634,7
tt3006802,Outlander,8.4,166682,8
tt10638036,Heartstopper,8.7,59966,9
tt0898266,The Big Bang Theory,8.2,831380,10
tt7927936,Flames,8.9,31272,11
tt9059760,Normal People,8.4,76951,12
tt0237123,Coupling,8.6,46574,13
tt10850932,Crash Landing on You,8.7,34089,14
tt0165598,That '70s Show,8.1,183312,15
tt5288312,Skam,8.6,36290,16
tt0417349,North & South,8.6,33660,17
tt2879552,11.22.63,8.1,92174,18
tt12451520,It's Okay to Not Be Okay,8.6,28293,19
tt0758790,The Tudors,8.1,77825,20
tt4156586,Permanent Roommates,8.6,25381,21
tt14664414,Young Royals,8.3,37004,22
tt3636060,Poldark,8.3,33833,23
tt15295490,Campus Diaries,8.9,16259,24
tt8809646,College Romance,8.4,27809,25
tt1826940,New Girl,7.8,234477,26
tt6524350,Big Mouth,7.9,84194,27
tt0262985,Queer as Folk,8.5,21651,28
tt7335184,You,7.7,279964,29
tt0108757,ER,7.9,64288,30
tt9814458,Bandish Bandits,8.6,17039,31
tt2155025,Please Like Me,8.5,18995,32
tt1843230,Once Upon a Time,7.7,229988,33
tt0108872,My So-Called Life,8.4,21327,34
tt8317568,Broken But Beautiful,8.6,16898,35
tt2177461,A Discovery of Witches,7.9,56140,36
tt0368530,One Tree Hill,7.8,83591,37
tt0780362,Jane Eyre,8.3,21698,38
tt9522300,Kaguya-sama: Love is War,8.5,16796,39
tt0318997,Angels in America,8.1,28842,40
tt0408381,Doc Martin,8.4,18327,41
tt2407574,My Mad Fat Diary,8.4,18285,42
tt8749198,Daisy Jones & The Six,8.1,27365,43
tt3228420,You're the Worst,8.1,27220,44
tt0413573,Grey's Anatomy,7.6,323370,45
tt1453159,The Pillars of the Earth,8.0,32124,46
tt0908454,Gavin & Stacey,8.2,21477,47
tt13661118,Not Me,8.8,11286,48
tt3910804,War & Peace,8.1,24769,49
tt2137109,Masters of Sex,7.9,37521,50
tt2262532,The Fosters,8.0,29332,51
tt2581458,Looking,8.2,20438,52
tt14518756,Hometown Cha-Cha-Cha,8.4,15647,53
tt8543390,Modern Love,7.9,34580,54
tt1001482,United States of Tara,8.0,24538,55
tt1587678,Happy Endings,7.8,39293,56
tt1832979,Hart of Dixie,7.7,54934,57
tt5024912,Insecure,8.1,20020,58
tt1985443,Hatfields & McCoys,7.9,28367,59
tt11691684,Flower of Evil,8.6,10784,60
tt11239552,Itaewon Class,8.2,16212,61
tt0397442,Gossip Girl,7.5,181565,62
tt4061080,Love,7.7,44400,63
tt8254348,ImMATURE,8.7,9401,64
tt17513352,Twenty Five Twenty One,8.6,10155,65
tt1366312,Emma,8.1,17462,66
tt10166602,"Love, Victor",8.0,19662,67
tt7094780,Mr. Sunshine,8.7,8908,68
tt14819828,Business Proposal,8.1,16522,69
tt4580372,Merlí,8.6,9306,70
tt0362359,The O.C.,7.5,92572,71
tt8242904,What's Wrong with Secretary Kim,8.1,14869,72
tt6494622,Made in Heaven,8.3,11572,73
tt4445154,Deutschland 83,8.1,14507,74
tt3288518,Younger,7.8,24324,75
tt0112095,NewsRadio,8.0,16577,76
tt6157148,Weightlifting Fairy Kim Bok-Joo,8.3,10881,77
tt0092571,Anne of Avonlea,8.4,9797,78
tt2372220,The White Queen,7.7,29620,79
tt11228748,The King: Eternal Monarch,8.1,13531,80
tt7649694,Ramy,8.0,15561,81
tt0330251,The L Word,7.7,27860,82
tt1578873,Pretty Little Liars,7.4,172410,83
tt8740790,Bridgerton,7.4,151679,84
tt2281375,Nashville,7.7,26605,85
tt0083390,Brideshead Revisited,8.6,7666,86
tt1758772,Switched at Birth,7.7,25627,87
tt0816397,Ouran High School Host Club,8.2,10884,88
tt18247152,Modern Love: Mumbai,7.9,16395,89
tt13400006,Mr. Queen,8.6,7392,90
tt9012876,Firefly Lane,7.6,32982,91
tt7608248,A Million Little Things,7.9,15695,92
tt1178522,Little Dorrit,8.2,10065,93
tt3829868,Looking for Alaska,8.0,12863,94
tt1663676,Awkward.,7.5,45140,95
tt13304700,Snowdrop,8.1,11141,96
tt11252254,From Scratch,7.9,14700,97
tt2216156,Last Tango in Halifax,8.4,7996,98
tt0847150,Sense & Sensibility,8.0,12445,99
