tconst,primaryTitle,averageRating,numVotes,ranking
tt0303461,Firefly,9.0,272742,1
tt2085059,Black Mirror,8.8,589271,2
tt0475784,Westworld,8.5,516982,3
tt11280740,Severance,8.7,157922,4
tt0436992,Doctor Who,8.6,232158,5
tt0092455,Star Trek: The Next Generation,8.7,128326,6
tt3230854,The Expanse,8.5,161828,7
tt1119644,Fringe,8.4,250558,8
tt5834204,The Handmaid's Tale,8.4,247651,9
tt0060028,Star Trek,8.4,88065,10
tt2234222,Orphan Black,8.3,113690,11
tt2431438,Sense8,8.2,158391,12
tt1844624,American Horror Story,8.0,328137,13
tt5114356,Legion,8.2,93837,14
tt2384811,Utopia,8.4,48778,15
tt1227926,Dr. Horrible's Sing-Along Blog,8.4,43802,16
tt2261227,Altered Carbon,7.9,179216,17
tt0094517,Mystery Science Theater 3000,8.7,25212,18
tt0094535,Red Dwarf,8.4,36215,19
tt1740299,The Man in the High Castle,7.9,105487,20
tt12327578,Star Trek: Strange New Worlds,8.2,40638,21
tt5651844,Travelers,8.0,60184,22
tt8694364,Years and Years,8.3,31493,23
tt7826376,Upload,7.9,70605,24
tt7772588,For All Mankind,8.0,49723,25
tt0112178,Star Trek: Voyager,7.8,73259,26
tt2661044,The 100,7.6,262726,27
tt14688458,Silo,8.1,32168,28
tt1235547,Better Off Ted,8.2,26827,29
tt5580146,Maniac,7.7,82336,30
tt0115082,3rd Rock from the Sun,7.8,53997,31
tt4122068,Humans,7.9,41023,32
tt4643084,Counterpart,8.0,29031,33
tt0813715,Heroes,7.5,246482,34
tt7949218,See,7.6,90595,35
tt0061287,The Prisoner,8.5,14505,36
tt1135300,Dollhouse,7.7,50638,37
tt8291284,The Peripheral,7.6,71354,38
tt1954347,Continuum,7.6,62305,39
tt8134186,Devs,7.7,43052,40
tt1441135,Flashforward,7.6,61481,41
tt1132290,Warehouse 13,7.6,55611,42
tt1286039,Stargate Universe,7.6,51943,43
tt9170108,Raised by Wolves,7.5,82217,44
tt0804484,Foundation,7.5,67220,45
tt0289830,Taken,7.8,20547,46
tt2402207,The Last Ship,7.4,61573,47
tt0085106,V,7.8,16327,48
