tconst,primaryTitle,averageRating,numVotes,ranking
tt3530232,Last Week Tonight with John Oliver,8.9,92248,1
tt5712554,The Grand Tour,8.7,79038,2
tt6111552,Content Cop,8.8,12647,3
tt0458254,The Colbert Report,8.5,39015,4
tt2244495,The Eric Andre Show,8.6,20376,5
tt2348531,Half in the Bag,9.3,4993,6
tt0115147,The Daily Show,8.3,47684,7
tt3787912,Best of the Worst,9.4,3574,8
tt1553644,The Ricky Gervais Show,8.4,16892,9
tt15697242,Unstoppable with NBK,9.1,4550,10
tt0924651,The Graham Norton Show,8.4,12624,11
tt2360717,Satyamev Jayate,8.6,7529,12
tt1637574,Conan,8.2,24612,13
tt0437729,The Late Late Show with Craig Ferguson,8.4,11281,14
tt1657563,Check It Out! with Dr. Steve Brule,8.6,6709,15
tt0106052,Late Night with Conan O'Brien,8.2,18552,16
tt1535002,Between Two Ferns with Zach Galifianakis,8.4,9192,17
tt1821229,The Being Frank Show,8.5,6724,18
tt8080054,Patriot Act with Hasan Minhaj,8.4,7741,19
tt0169455,Inside the Actors Studio,8.6,5377,20
tt5897920,Your Movie Sucks,8.7,4187,21
tt0241088,Da Ali G Show,8.0,17944,22
tt2314952,Comedians in Cars Getting Coffee,8.0,13203,23
tt9434592,Titu Talks,8.8,3224,24
tt0055708,The Tonight Show Starring Johnny Carson,8.5,4079,25
tt11225622,Stranger Things: Spotlight,8.8,2814,26
tt8139862,Norm Macdonald Has a Show,8.5,3777,27
tt0899126,The Tonight Show with Conan O'Brien,8.0,8811,28
tt25378820,Suchwita,8.8,2281,29
tt5723284,I Hate Everything,8.3,3660,30
tt4087032,Good Mythical Morning,8.8,2210,31
tt3402548,Comedy Nights with Kapil,8.0,5638,32
tt9169598,UNHhhh,9.1,1720,33
tt3204810,On Cinema,9.2,1555,34
tt7829834,My Next Guest Needs No Introduction with David Letterman,7.9,6039,35
tt6407712,Norm Macdonald Live,9.2,1551,36
tt0090523,Siskel & Ebert,8.6,2215,37
tt5763098,re: View,8.9,1660,38
tt6159614,I Hate Everything: the Search for the Worst,8.6,1927,39
tt7249164,Penguinz0,9.0,1454,40
tt0350448,Real Time with Bill Maher,7.4,14004,41
tt6556992,Hot Ones,8.4,1878,42
tt9098706,Mesut Süre ile Iliski Testi,9.1,1146,43
tt0136668,SportsCenter,8.1,2412,44
tt5895684,Every Frame a Painting,9.0,1172,45
tt12054924,Some Good News,8.9,1210,46
tt12564744,Selena + Chef,8.4,1668,47
tt5490466,Barely Speaking with Arnub,8.5,1493,48
tt2176287,Comedy Bang! Bang!,7.6,4479,49
tt6098952,Chris Stuckmann Movie Reviews,8.3,1723,50
tt0307800,Pardon the Interruption,8.1,2071,51
tt6111502,Kickstarter Crap,8.4,1513,52
tt0083441,Late Night with David Letterman,7.5,4811,53
tt5747326,The Kapil Sharma Show,7.3,9536,54
tt24484654,Desi Vibes with Shehnaaz Gill,9.9,633,55
tt3697842,The Late Show with Stephen Colbert,7.2,14423,56
tt3001096,The Show,9.0,914,57
tt0498878,Attack of the Show!,7.8,2382,58
tt6119392,Vsauce1,9.1,842,59
tt4664182,Rocket Beans TV,9.4,712,60
tt8773080,The Curious Creations of Christine McConnell,7.7,2522,61
tt3444938,The Tonight Show Starring Jimmy Fallon,7.1,18607,62
tt7827112,Tolgshow,7.8,1930,63
tt1850596,Eye on Entertainment,7.9,1645,64
tt14113640,Barstool Yak,9.9,517,65
tt5556434,Zondag met Lubach,8.4,1024,66
tt0083380,At the Movies,8.5,951,67
tt14803120,Electrical tape. Live,9.4,599,68
tt0040053,The Ed Sullivan Show,7.9,1490,69
tt11786388,Pqueen,8.8,765,70
tt0784889,Inside the NBA,8.7,781,71
tt6987966,The Jim Jefferies Show,7.5,2346,72
tt12728950,The Wake-Up Call with Pritan Ambroase,7.7,1702,73
tt0106053,Late Show with David Letterman,7.0,14053,74
tt0240267,X-Play,8.1,1073,75
tt0063894,The Dick Cavett Show,8.3,910,76
tt0075505,Fernwood Tonight,8.6,742,77
tt0291604,Dinner for Five,8.2,945,78
tt0112097,Night Stand,8.7,673,79
tt6259652,Game Two,8.9,603,80
tt2089467,Talking Dead,7.2,3629,81
tt0989775,Jeena Isi Ka Naam Hai,7.9,1138,82
tt0476614,Man to Man with Dean Learner,7.6,1577,83
tt7570990,Beyond Stranger Things,7.4,2143,84
