tconst,primaryTitle,averageRating,numVotes,ranking
tt0185906,Band of Brothers,9.4,487529,1
tt0071075,The World at War,9.2,26995,2
tt0096548,Blackadder Goes Forth,8.8,54795,3
tt1877514,The Vietnam War,9.1,26201,4
tt0081834,Das Boot,8.8,31734,5
tt0995832,Generation Kill,8.5,56353,6
tt0098769,The Civil War,9.1,17367,7
tt0068098,M*A*S*H,8.4,60362,8
tt1508238,Apocalypse: The Second World War,9.0,13346,9
tt0086659,'Allo 'Allo!,8.4,26190,10
tt3212600,Mahabharat,9.0,10188,11
tt9103932,Greatest Events of WWII in Colour,8.7,9653,12
tt2543328,TURN: Washington's Spies,8.1,22580,13
tt1494191,The Untold History of the United States,8.6,9368,14
tt2069688,World War II in Colour,8.7,7232,15
tt0996994,The War,9.0,5473,16
tt2548418,Jonathan Strange & Mr Norrell,8.1,13437,17
tt6473344,SEAL Team,7.8,29550,18
tt0069628,Seventeen Moments of Spring,8.8,4728,19
tt0446610,Auschwitz: Inside the Nazi State,8.6,4577,20
tt15260794,Turning Point: 9/11 and the War on Terror,8.0,10366,21
tt2262456,The Hollow Crown,8.2,6965,22
tt7146600,Wolf,8.1,7982,23
tt0388189,Kurtulus,9.2,2530,24
tt0062552,Dad's Army,8.1,6873,25
tt0087400,Heimat: A Chronicle of Germany,8.7,3253,26
tt3638584,Apocalypse la 1ère Guerre mondiale,8.8,2913,27
tt0092468,Tour of Duty,8.3,4689,28
tt0058812,Hogan's Heroes,7.8,11459,29
tt3315386,Roots,7.9,8265,30
tt4591834,Nobel,8.0,6656,31
tt3280150,The Heavy Water War: Stopping Hitler's Atomic Bomb,7.9,7498,32
tt4015216,Home Fires,8.2,4154,33
tt0246430,Anne Frank: The Whole Story,8.0,5295,34
tt1489097,WWII in HD,8.7,2334,35
tt0085112,The Winds of War,8.1,4412,36
tt0055666,Combat!,8.4,2942,37
tt0096725,War and Remembrance,8.3,2959,38
tt0094433,China Beach,8.2,3268,39
tt3231564,Manhattan,7.7,8989,40
tt0191730,Slozna braca,9.0,1584,41
tt9604400,Tuntematon sotilas,8.5,2226,42
tt0207907,The Nazis: A Warning from History,8.7,1678,43
tt12632132,Uyanis: Büyük Selcuklu,7.9,4376,44
tt1692202,The Promise,8.4,2082,45
tt0115418,The West,8.4,2067,46
tt0119873,Warriors,8.2,2462,47
tt12747876,Once Upon a Time in Iraq,9.0,1187,48
tt0071028,Otpisani,8.5,1710,49
tt0432807,The Republic,8.4,1835,50
tt0075579,Secret Army,8.6,1532,51
tt1955311,Bomb Girls,7.8,4480,52
tt0446241,Over There,7.8,4468,53
tt16477402,WWII in Color: Road to Victory,8.2,2267,54
tt0426688,The First World War,8.6,1413,55
tt7440274,Medal of Honor,8.3,1836,56
tt2094220,Apocalypse: The Rise of Hitler,8.2,1978,57
tt3673480,The Good Lord Bird,7.6,7088,58
tt0074039,Povratak otpisanih,8.5,1402,59
tt2109059,Vietnam in HD,8.3,1581,60
tt8335218,No Man's Land,7.8,3393,61
tt5289208,Kerchi: Dakarguli Gmirebi,9.2,786,62
tt3494220,The Crimson Field,7.8,3293,63
tt3419604,Our World War,8.1,1842,64
tt2708572,Bluestone 42,7.9,2381,65
tt3543006,The World Wars,7.9,2348,66
tt5830254,Das Boot,7.5,8654,67
tt8190688,Valley of Tears,7.6,5085,68
tt3577058,Gallipoli,7.9,2219,69
tt1855924,Third Reich: The Rise & Fall,8.4,1153,70
tt0108914,San guo yan yi,8.6,958,71
tt8470384,Al Nadam,9.2,646,72
tt1514753,Three Kingdoms,8.3,1232,73
tt4338336,X Company,7.7,3300,74
tt0057753,The Great War,8.9,722,75
tt0057793,12 O'Clock High,8.1,1346,76
tt1495950,The Book of Negroes,7.8,2203,77
tt0081949,A Town Like Alice,8.3,1001,78
tt0068059,Colditz,8.3,960,79
tt0081944,Tenko,8.5,795,80
tt0376899,Stalingrad,8.2,992,81
tt0046658,Victory at Sea,8.6,661,82
tt2245988,The Bible,7.4,11999,83
tt4338684,The Great War,9.5,369,84
tt6217954,White Status,7.7,2064,85
tt15087526,Alparslan: The Great Seljuks,7.7,2043,86
tt0120948,Czterej pancerni i pies,7.8,1573,87
tt0120926,Battlefield,8.7,517,88
tt0481303,World War I in Colour,8.1,883,89
tt0069654,War & Peace,8.3,697,90
tt5359570,Seddülbahir 32 Saat,8.2,745,91
tt0859592,Army Wives,7.4,8141,92
tt0088479,Anzacs,8.1,829,93
tt0906873,Dogfights,8.4,588,94
tt7302168,Raafat Al Haggan,8.4,585,95
tt0157239,Piece of Cake,8.1,764,96
tt1410718,Lock 'N Load with R. Lee Ermey,8.5,498,97
tt6740146,Morocco: Love in Times of War,7.5,3193,98
tt0097810,The Mahabharata,7.8,1196,99
tt1287566,Time of Honor,8.0,763,100
tt5287808,APOCALYPSE Stalin,7.8,1059,101
tt0401019,Island at War,7.6,1742,102
tt0207885,Fall of Eagles,8.1,622,103
tt7690392,Porus,8.0,698,104
tt0129692,Liberty! The American Revolution,8.5,403,105
tt0185129,Vietnam: A Television History,8.7,326,106
tt8372660,Hunting ISIS,8.2,493,107
tt4969460,Qalam Homra,8.7,312,108
tt0433478,War of the Century,8.2,485,109
tt0240276,Kuda idu divlje svinje,8.3,434,110
tt0065035,Stawka wieksza niz zycie,7.8,867,111
tt0496191,The Revolution,8.5,351,112
tt0111931,Crusades,8.1,523,113
tt0092353,Fortunes of War,7.8,838,114
tt8589702,APOCALYPSE War of Worlds 1945-1991,8.2,457,115
tt5231950,A Touch of Green,8.3,407,116
tt8062474,21 Sarfarosh Saragarhi 1897,8.2,437,117
tt14475988,The Line,7.7,989,118
tt0459723,Valter brani Sarajevo,8.5,325,119
tt5263734,APOCALYPSE the Battle of Verdun,8.0,547,120
tt1329986,World War Two: Behind Closed Doors,8.0,533,121
tt0354333,Secrets of the Dead,7.9,617,122
tt0214368,Salas u Malom Ritu,8.5,299,123
tt0083387,The Blue and the Gray,7.5,1774,124
tt3325692,Nazi Mega Weapons,7.9,580,125
tt9454344,Helsreach,8.7,245,126
tt0092404,The Monocled Mutineer,8.2,376,127
tt0074034,Once an Eagle,8.0,480,128
tt1194698,Battle 360,8.3,326,129
tt1221224,Rome: Rise and Fall of an Empire,7.7,815,130
tt11507982,Legacy,8.0,459,131
tt3109652,Saqr Qoraish,8.5,266,132
tt3543084,14 Tagebücher des Ersten Weltkriegs,8.5,264,133
tt0055689,McHale's Navy,7.4,3104,134
tt0174323,The Ten Thousand Day War,8.5,253,135
tt1559681,Gary: Tank Commander,7.8,605,136
tt5808318,The Halcyon,7.4,2984,137
tt1253869,Occupation,7.7,715,138
tt0229883,Battlefield: Vietnam,8.8,185,139
tt2382798,Podbradak potpisanih,9.1,149,140
tt0790798,Twentieth Century Battlefields,8.6,205,141
tt0192904,Kapelski kresovi,8.2,284,142
tt8561666,Apocalypse Never-Ending War 1918-1926,8.0,349,143
tt1473275,Ryômaden,8.0,339,144
tt4043088,Great War Diaries,8.9,148,145
tt1829891,Combat Hospital,7.4,2279,146
tt0264292,Protivostoyanie,8.0,330,147
tt1230096,World War 2: The Complete History,8.3,230,148
tt0140770,Vietnam,7.7,567,149
tt0122818,Enemy at the Door,7.9,374,150
tt8690732,The Pacific War in Color,8.5,187,151
tt1124012,Commando: On the Front Line,8.0,309,152
tt6065848,Taking Fire,8.0,308,153
tt2253780,In Flanders Field,7.5,1059,154
tt6953928,Nazi Death Squads,7.6,697,155
