tconst,primaryTitle,averageRating,numVotes,ranking
tt4236770,Yellowstone,8.7,180319,1
tt13991232,1883,8.7,95110,2
tt0096639,Lonesome Dove,8.7,24268,3
tt18335752,1923,8.4,36996,4
tt1699748,Hell on Wheels,8.3,53765,5
tt5516154,Godless,8.2,72573,6
tt11771270,The English,7.9,24778,7
tt0047736,Gunsmoke,8.1,7983,8
tt0051308,The Rifleman,8.3,4607,9
tt0058855,The Wild Wild West,8.1,5835,10
tt0050025,Have Gun - Will Travel,8.4,3080,11
tt0050079,Zorro,8.2,3874,12
tt0052504,Rawhide,8.0,4267,13
tt0050037,Maverick,8.1,3433,14
tt0077027,How the West Was Won,8.2,2401,15
tt0051327,Wanted: Dead or Alive,8.0,2572,16
tt6106704,Damnation,7.6,8814,17
tt0047720,Cheyenne,8.0,1892,18
tt14271652,Joe Pickett,7.7,4488,19
tt3673480,The Good Lord Bird,7.6,7078,20
tt4998212,The Ranch,7.5,40994,21
tt0068093,Kung Fu,7.6,6722,22
tt0041038,The Lone Ranger,7.7,2699,23
tt0238343,Kapitan Petko Voyvoda,8.8,449,24
tt0096732,The Young Riders,7.7,2276,25
tt0051290,Lawman,8.1,846,26
tt0050066,Tales of Wells Fargo,7.9,1059,27
tt0058791,The Big Valley,7.6,3265,28
tt0055710,The Virginian,7.6,2960,29
tt3839822,The Son,7.5,6896,30
tt0052481,Laramie,7.7,1337,31
tt0066625,Alias Smith and Jones,7.6,2218,32
tt0061263,The High Chaparral,7.6,2208,33
tt0079840,The Sacketts,7.6,2040,34
tt12053334,UnDeadwood,8.8,227,35
tt0094473,Paradise,8.0,501,36
tt3720758,The Fjord Cowboys,8.7,200,37
tt2883562,Quick Draw,7.6,1554,38
tt0050069,Tombstone Territory,8.0,430,39
tt5796728,Lone Star Law,8.1,342,40
tt0052505,The Rebel,7.8,607,41
tt0050073,Wagon Train,7.5,3485,42
tt0051329,Yancy Derringer,7.9,426,43
tt0047775,The Adventures of Spin and Marty,8.0,336,44
tt11083102,Ultimate Cowboy Showdown,8.6,153,45
tt0053551,The Westerner,8.1,254,46
tt0047750,The Life and Legend of Wyatt Earp,7.6,1032,47
tt0062569,Here Come the Brides,7.6,955,48
tt0050071,Trackdown,7.9,316,49
tt0407461,Wild West Tech,8.2,181,50
tt0068077,Hec Ramsey,7.8,377,51
tt0066690,Nichols,7.9,294,52
tt0058819,Laredo,7.6,711,53
tt0050021,The Gray Ghost,8.6,97,54
tt0075525,The Life and Times of Grizzly Adams,7.5,1656,55
tt0060011,The Monroes,7.8,271,56
tt10937638,The Goodbye Family: The Animated Series,8.3,114,57
tt0051273,Frontier Doctor,8.4,102,58
