tconst,primaryTitle,averageRating,numVotes,ranking
tt1807006,Saya no Uta,8.4,64,1
tt10130942,Total Seduction,9.1,13,2
tt0274480,EVE Burst Error (1997) (VG),8.3,18,3
tt6642044,Camp Buddy,7.1,136,4
tt10440840,My New Roommate,7.4,20,5
tt0311557,My Plaything: Silvia Saint,7.2,22,6
tt0311556,My Plaything: Miko Lee,7.7,8,7
tt16294958,The Sims 4: WickedWhims,8.0,5,8
tt13304360,Kemo Coliseum,7.8,6,9
tt10052668,Playboy: The Mansion,7.1,14,10
tt0288306,Virtual Sex with Julia Ann,7.2,10,11
tt14226830,Subverse,7.0,8,12
tt8513772,Euphoria,6.8,81,13
tt9620508,RapeLay,6.6,21,14
tt13322352,Five Nights in Anime,5.9,10,15
tt0292339,Virtual Sex with Jenna,6.5,141,16
tt10058970,Genital Jousting,4.7,16,17
tt0465396,Beat 'Em & Eat 'Em,2.7,20,18
tt0465433,Custer's Revenge,3.1,32,19
