tconst,primaryTitle,averageRating,numVotes,ranking
tt2140553,The Last of Us,9.7,71510,1
tt6161168,Red Dead Redemption II,9.7,45697,2
tt2993508,The Witcher 3: Wild Hunt,9.7,30060,3
tt5838588,God of War,9.5,33534,4
tt3334704,Uncharted 4: A Thief's End,9.5,33082,5
tt13119450,God of War: Ragnarök,9.7,13510,6
tt1568322,Batman: Arkham City,9.4,32917,7
tt1540125,Mass Effect 2,9.5,20801,8
tt1479962,Red Dead Redemption,9.4,28524,9
tt5667286,The Witcher 3: Wild Hunt - Blood and Wine,9.8,9084,10
tt0180825,Metal Gear Solid,9.6,12282,11
tt1814884,The Elder Scrolls V: Skyrim,9.3,31900,12
tt1349460,Uncharted 2: Among Thieves,9.3,26865,13
tt0374692,Half-Life 2,9.4,16866,14
tt1648163,Portal 2,9.4,16730,15
tt0184666,The Legend of Zelda: Ocarina of Time,9.6,10220,16
tt1282022,Batman: Arkham Asylum,9.2,29610,17
tt0208155,Final Fantasy VII,9.5,11007,18
tt0365498,Metal Gear Solid 3: Snake Eater,9.5,10880,19
tt5807780,Spider-Man,9.2,25520,20
tt5158314,Detroit: Become Human,9.2,20067,21
tt0462423,Metal Gear Solid 4: Guns of the Patriots,9.4,10895,22
tt0356070,Star Wars: Knights of the Old Republic,9.5,8968,23
tt1712064,BioShock Infinite,9.1,21264,24
tt1094581,BioShock,9.1,20950,25
tt0397042,Resident Evil 4,9.2,14483,26
tt1073664,Fallout 3,9.1,19590,27
tt3253986,The Legend of Zelda: Breath of the Wild,9.4,8848,28
tt1073668,Mass Effect,9.1,19096,29
tt5547960,The Witcher 3: Wild Hunt - Hearts of Stone,9.5,7463,30
tt7651352,Ghost of Tsushima,9.2,12223,31
tt1839558,Mass Effect 3,9.1,16282,32
tt1201133,Assassin's Creed II,9.0,24566,33
tt1800763,Uncharted 3: Drake's Deception,9.0,23537,34
tt3554580,Batman: Arkham Knight,9.0,21697,35
tt10562854,Elden Ring,9.4,7533,36
tt1127708,Portal,9.1,13614,37
tt0846694,God of War II,9.2,10097,38
tt20918700,The Last of Us: Part I,9.7,4787,39
tt4044024,Horizon Zero Dawn,9.0,17008,40
tt1199781,God of War III,9.1,11882,41
tt0416779,God of War,9.1,11313,42
tt0390163,Kingdom Hearts II,9.3,7380,43
tt0462271,The Elder Scrolls IV: Oblivion,9.0,12697,44
tt3814634,Bloodborne,9.3,6584,45
tt0322968,Kingdom Hearts,9.2,7599,46
tt0284110,Final Fantasy X,9.1,8309,47
tt2321297,Far Cry 3,8.8,20323,48
tt1541718,Dragon Age: Origins,9.1,8294,49
tt5766946,Uncharted: The Nathan Drake Collection,9.3,5936,50
tt6298000,The Last of Us: Part II,8.7,38222,51
tt1706601,Fallout: New Vegas,8.9,13082,52
tt3468818,The Last of Us: Left Behind,8.9,11460,53
tt0249008,Metal Gear Solid 2: Sons of Liberty,9.0,8863,54
tt0183066,Fallout 2: A Post-Nuclear Role-Playing Game,9.5,4021,55
tt0204657,Super Mario 64,9.1,6642,56
tt1797530,Tomb Raider,8.7,19659,57
tt0853117,Half-Life 2: Episode Two,9.1,6514,58
tt0249174,Super Mario Bros. 3,9.2,5576,59
tt2739708,Assassin's Creed IV: Black Flag,8.7,18394,60
tt0494232,Halo 3,8.8,12392,61
tt0309654,Halo: Combat Evolved,8.8,11679,62
tt1699759,Assassin's Creed: Brotherhood,8.7,16516,63
tt0221606,Super Mario World,9.2,5218,64
tt0205973,GoldenEye 007,9.1,5849,65
tt0879874,Super Mario Galaxy,9.1,5813,66
tt2015348,Dark Souls,9.1,5515,67
tt5807606,Death Stranding,8.8,9907,68
tt0217061,StarCraft,9.1,5366,69
tt4795016,Dark Souls III,9.1,5210,70
tt0210613,Chrono Trigger,9.5,3187,71
tt0486673,Shadow of the Colossus,9.2,4342,72
tt0177266,Super Mario Bros.,8.9,6730,73
tt6423026,Super Mario Odyssey,9.1,4809,74
tt2370518,Metal Gear Solid V: The Phantom Pain,8.8,8039,75
tt0357718,Halo 2,8.7,10030,76
tt4741306,Fallout 4,8.6,13910,77
tt0263641,The Legend of Zelda: A Link to the Past,9.3,3678,78
tt0441877,The Legend of Zelda: Twilight Princess,9.0,5298,79
tt12496904,Horizon Forbidden West,9.0,5235,80
tt2011970,Minecraft,8.6,12556,81
tt0134648,Fallout: A Post-Nuclear Role-Playing Game,9.2,3923,82
tt0483168,Star Wars: Battlefront II,8.8,7022,83
tt0177822,Grim Fandango,9.2,3658,84
tt0433458,Star Wars: Knights of the Old Republic II - The Sith Lords,8.9,5361,85
tt5691474,Star Wars Jedi: Fallen Order,8.5,15130,86
tt1937416,The Witcher 2: Assassins of Kings,8.8,6335,87
tt0208156,Final Fantasy VIII,8.8,6331,88
tt0244783,The Secret of Monkey Island,9.3,3230,89
tt2133326,South Park: The Stick of Truth,8.9,5293,90
tt0258523,Diablo II,9.0,4554,91
tt21047286,Resident Evil 4,9.4,2922,92
tt14849728,Mass Effect: Legendary Edition,9.6,2465,93
tt0462422,Metal Gear Solid 3: Subsistence,9.5,2662,94
tt6057416,Final Fantasy VII Remake,9.0,4436,95
tt1000777,Uncharted: Drake's Fortune,8.4,21820,96
tt0286585,Deus Ex,9.2,3324,97
tt0249510,Final Fantasy IX,8.8,5401,98
tt12497042,Resident Evil Village,8.7,6288,99
tt3944082,Persona 5,9.2,3125,100
tt0264790,The Legend of Zelda: Majora's Mask,9.0,3907,101
tt3791072,Rise of the Tomb Raider,8.5,10241,102
tt0210061,Final Fantasy VI,9.1,3417,103
tt13107970,Hogwarts Legacy,8.9,4298,104
tt1723639,Halo: Reach,8.6,7279,105
tt0382590,Call of Duty,8.6,7180,106
tt3782832,Tales from the Borderlands,8.9,4159,107
tt7025920,Assassin's Creed: Origins,8.5,9173,108
tt0814129,Half-Life 2: Episode One,8.7,5649,109
tt0325724,The Legend of Zelda: The Wind Waker,9.0,3592,110
tt2385021,Borderlands 2,8.6,6836,111
tt5238848,Undertale,8.9,4053,112
tt2192570,Beyond: Two Souls,8.4,12547,113
tt8545606,Assassin's Creed: Odyssey,8.5,8521,114
tt6304452,Uncharted: The Lost Legacy,8.5,8237,115
tt14321832,It Takes Two,9.1,3062,116
tt5370130,Super Smash Bros. Ultimate,8.9,3849,117
tt0244661,Monkey Island 2: LeChuck's Revenge,9.3,2470,118
tt0259104,Warcraft III: Reign of Chaos,8.9,3673,119
tt3980364,Inside,8.8,4192,120
tt1319708,Deus Ex: Human Revolution,8.6,5738,121
tt0224637,Baldur's Gate II: Shadows of Amn,9.4,2161,122
tt0372023,Warcraft III: The Frozen Throne,8.9,3508,123
tt2322244,Dishonored,8.4,9243,124
tt1149396,Lego Star Wars: The Complete Saga,8.7,4625,125
tt0134599,The Curse of Monkey Island,9.1,2772,126
tt8558306,Sekiro: Shadows Die Twice,8.8,3898,127
tt20672830,Star Wars Jedi: Survivor,9.2,2492,128
tt12496734,Spider-Man: Miles Morales,8.4,8839,129
tt0187405,Planescape: Torment,9.4,2092,130
tt3763912,Dragon Age: Inquisition,8.6,5247,131
tt0466662,Alan Wake,8.5,6275,132
tt10468596,Persona 5 Royal,9.5,1893,133
tt0928380,Super Smash Bros. Brawl,8.6,4952,134
tt0314015,The Elder Scrolls III: Morrowind,8.8,3597,135
tt14844718,Marvel's Guardians of the Galaxy,8.6,4792,136
tt1698007,Super Mario Galaxy 2,9.0,2778,137
tt0413662,Age of Empires II: The Age of Kings,8.8,3510,138
tt1037854,StarCraft II: Wings of Liberty,8.8,3441,139
tt5238626,NieR: Automata,8.8,3369,140
tt2842418,Batman: Arkham Origins,8.2,14580,141
tt0450392,Batman Begins,8.2,14137,142
tt1928116,Assassin's Creed: Revelations,8.2,13875,143
tt0384444,Prince of Persia: The Sands of Time,8.5,5231,144
tt5032376,Bloodborne: The Old Hunters,9.4,1840,145
tt5734258,Batman: Return to Arkham,9.2,2135,146
tt4674622,Hellblade: Senua's Sacrifice,8.6,4217,147
tt1135081,The Witcher,8.5,4919,148
tt0206330,Super Metroid,9.1,2247,149
tt0437437,Prince of Persia: Warrior Within,8.6,4011,150
tt6795336,Days Gone,8.3,7371,151
tt4485128,What Remains of Edith Finch,8.6,3848,152
tt4779924,Cuphead: Don't Deal with the Devil,8.7,3298,153
tt0296870,StarCraft: Brood War,9.0,2336,154
tt5769154,Injustice 2,8.5,4499,155
tt1506437,BioShock 2,8.2,10155,156
tt8550890,Doom Eternal,8.6,3615,157
tt3612274,Titanfall 2,8.5,4235,158
tt0217733,Pokémon: Red Version,8.8,2728,159
tt7791150,Hollow Knight,8.8,2717,160
tt4066088,Halo: The Master Chief Collection,8.9,2405,161
tt0181422,Crash Bandicoot: Warped,8.8,2671,162
tt0342767,Metal Gear Solid 2: Substance,9.0,2169,163
tt1754134,Limbo,8.3,5960,164
tt1821474,Journey,8.5,3879,165
tt0954921,Crysis,8.3,5582,166
tt0260785,Castlevania: Symphony of the Night,9.2,1711,167
tt10471854,The Legend of Zelda: Tears of the Kingdom,9.6,1304,168
tt3742988,Far Cry 4,8.1,10577,169
tt4332152,Overwatch,8.3,5407,170
tt0176925,The Legend of Zelda,8.6,3119,171
tt0932936,Assassin's Creed,8.0,19517,172
tt0241385,Donkey Kong Country,8.6,3093,173
tt0483781,Prince of Persia: The Two Thrones,8.5,3557,174
tt0203441,Day of the Tentacle,9.0,1941,175
tt9459718,Hades,8.9,2125,176
tt0319854,Metroid Prime,8.9,2119,177
tt1386939,Mortal Kombat,8.4,4128,178
tt1954263,Battlefield 3,8.1,9244,179
tt0427889,Splinter Cell: Chaos Theory,8.6,2923,180
tt2387409,Call of Duty: Black Ops II,8.0,14898,181
tt3382518,Wolfenstein: The New Order,8.2,6138,182
tt3330488,Middle-Earth: Shadow of Mordor,8.2,6082,183
tt1320395,Star Wars: The Old Republic,8.5,3209,184
tt0426437,Devil May Cry 3: Dante's Awakening,8.5,3132,185
tt3003738,Persona 4 Golden,9.1,1641,186
tt0418194,Star Wars: Battlefront,8.3,4338,187
tt10461542,Lego Star Wars: The Skywalker Saga,8.7,2334,188
tt0167018,Baldur's Gate,8.9,1888,189
tt5702630,Battlefield 1,8.1,7313,190
tt0258522,Diablo,8.5,2985,191
tt2006120,Halo 4,8.1,7206,192
tt0291491,Sonic the Hedgehog 2,8.5,2914,193
tt1018736,Kingdom Hearts II: Final Mix+,9.3,1340,194
tt3898332,BioShock Infinite: Burial at Sea,8.7,2240,195
tt0228246,Duke Nukem 3D,8.4,3347,196
tt0245165,Indiana Jones and the Fate of Atlantis,9.0,1661,197
tt3706490,Dying Light,8.2,4777,198
tt2175563,Assassin's Creed III,7.9,17831,199
tt1961357,inFamous 2,8.4,3154,200
tt3391176,Game of Thrones: A Telltale Games Series,8.2,4652,201
tt1142978,Ghostbusters,8.4,3132,202
tt5724316,Dishonored 2,8.4,3113,203
tt7679452,Horizon Zero Dawn: The Frozen Wilds,8.7,2085,204
tt1766147,The Legend of Zelda: Ocarina of Time 3D,9.3,1252,205
tt4550698,Ori and the Blind Forest,8.6,2297,206
tt1625541,Battlefield: Bad Company 2,8.2,4442,207
tt0412935,The Lord of the Rings: The Battle for Middle-Earth,8.7,2038,208
tt0388929,Fable,8.4,3004,209
tt7927838,Shadow of the Colossus,8.5,2587,210
tt3772796,Mortal Kombat X,8.2,4380,211
tt0365499,Metal Gear Solid: The Twin Snakes,8.9,1658,212
tt3252636,The Stanley Parable,8.4,2948,213
tt2134101,Metro: Last Light,8.2,4305,214
tt0181421,Crash Bandicoot 2: Cortex Strikes Back,8.5,2533,215
tt2980042,Super Mario 3D World,8.5,2516,216
tt1024923,Star Wars: The Force Unleashed,8.0,7769,217
tt7028648,A Plague Tale: Innocence,8.2,4210,218
tt12354406,Mafia: Definitive Edition,8.3,3420,219
tt8651604,Devil May Cry 5,8.5,2462,220
tt2960886,The Legend of Zelda: A Link Between Worlds,8.8,1731,221
tt0340374,Splinter Cell,8.3,3301,222
tt0386040,The Sims 2,8.3,3264,223
tt1390843,Kingdom Hearts: Birth by Sleep,8.8,1712,224
tt0310011,Pokémon Gold Version,8.8,1697,225
tt0297410,Star Wars: Jedi Knight II - Jedi Outcast,8.5,2364,226
tt3206522,The Legend of Zelda: The Wind Waker HD,9.0,1417,227
tt0433664,World of Warcraft: Mists of Pandaria,8.0,6820,228
tt1380179,Shin Megami Tensei: Persona 4,9.2,1219,229
tt2182384,Injustice: Gods Among Us,8.0,6731,230
tt0260831,Crash Team Racing,8.6,2056,231
tt12497014,Ratchet & Clank: Rift Apart,8.8,1666,232
tt1756534,God of War: Ghost of Sparta,8.4,2665,233
tt2620204,Lego Marvel Super Heroes,8.2,3784,234
tt12497220,Stray,8.3,3091,235
tt8329350,Ori and the Will of the Wisps,9.0,1385,236
tt1064955,God of War: Chains of Olympus,8.3,3058,237
tt8339682,Shadow of the Tomb Raider,8.0,6078,238
tt8585800,Control,8.1,4408,239
tt0373274,Rome: Total War,8.7,1719,240
tt0387360,The Lord of the Rings: The Return of the King,8.3,2878,241
tt0295914,Crash Bandicoot,8.2,3425,242
tt0222407,Super Mario World 2: Yoshi's Island,8.5,2121,243
tt0386789,The Simpsons: Hit & Run,8.3,2812,244
tt0273105,Banjo-Kazooie,8.6,1870,245
tt0827187,Lego Star Wars II: The Original Trilogy,8.3,2797,246
tt0379311,Heroes of Might and Magic III: The Restoration of Erathia,9.0,1280,247
tt0362179,Star Wars: Jedi Knight - Jedi Academy,8.4,2369,248
tt6967966,Far Cry 5,7.9,8126,249
tt6795176,Little Nightmares,8.2,3289,250
tt0497446,Sonic Riders,6.4,366,6429
tt7621200,South Park: Phone Destroyer,6.2,278,6430
