tconst,primaryTitle,averageRating,numVotes,ranking
tt0221606,Super Mario World,9.2,5207,1
tt6423026,Super Mario Odyssey,9.1,4784,2
tt1606610,Heavy Rain,8.8,14190,3
tt0177266,Super Mario Bros.,8.9,6714,4
tt2133326,South Park: The Stick of Truth,8.9,5278,5
tt0234202,Mario Kart 64,8.7,3343,6
tt4779924,Cuphead: Don't Deal with the Devil,8.7,3285,7
tt12497014,Ratchet & Clank: Rift Apart,8.8,1633,8
tt0386789,The Simpsons: Hit & Run,8.3,2807,9
tt5822500,Crash Bandicoot N. Sane Trilogy,8.4,2193,10
tt0295914,Crash Bandicoot,8.2,3420,11
tt0221604,Super Mario Kart,8.3,2403,12
tt5905364,Sonic Mania,8.2,2396,13
tt0253749,Spyro the Dragon,8.2,2212,14
tt8241768,Spyro Reignited Trilogy,8.5,1238,15
tt12753708,Astro's Playroom,8.4,1380,16
tt3540046,Rayman Legends,8.2,1939,17
tt0354920,Sly Cooper and the Thievius Raccoonus,8.2,1323,18
tt2162707,Rayman Origins,8.1,1149,19
tt0296852,The Simpsons,8.3,711,20
tt0204659,Super Mario Bros. 2,7.6,3264,21
tt0296860,Sonic the Hedgehog CD,7.9,1060,22
tt0420677,Kirby's Adventure,7.9,1047,23
tt2071508,Lego City Undercover,8.1,672,24
tt12546328,Crash Bandicoot 4: It's About Time,7.8,986,25
tt14876256,Cuphead: The Delicious Last Course,8.8,317,26
tt12881452,The Henry Stickmin Collection,8.4,408,27
tt7864608,Dragon Ball FighterZ,7.8,850,28
tt3757728,Lego Batman 3: Beyond Gotham,7.5,1873,29
tt0408642,Crash Twinsanity,7.7,987,30
tt10366012,Five Nights at Freddy's: Help Wanted,8.0,497,31
tt1198083,Rainbow Six: Vegas,7.5,1343,32
tt0433576,The Incredibles,7.4,1395,33
tt0362583,Earthworm Jim,7.5,908,34
tt1560146,Epic Mickey,7.9,404,35
tt1623789,Toy Story 3: The Video Game,7.5,851,36
tt0829171,Flashback: The Quest for Identity,8.1,297,37
tt2112960,Ace Attorney Investigations 2,8.5,207,38
tt0467668,Rayman,7.5,772,39
tt3722468,Tomodachi Life,7.6,570,40
tt0204798,Aladdin,7.4,975,41
tt0125065,Dragon's Lair,7.5,688,42
tt0219771,Hercules,7.4,862,43
tt10094378,Trover Saves the Universe,8.2,219,44
tt13972010,Friday Night Funkin',7.7,363,45
tt5357924,Fire Emblem,8.2,181,46
tt0947014,The Grim Adventures of Billy & Mandy,7.7,319,47
tt0366396,Earthworm Jim 2,7.7,284,48
tt2793236,DuckTales: Remastered,7.5,402,49
tt0271409,Bugs Bunny: Lost in Time,7.7,230,50
tt0434356,The SpongeBob Squarepants Movie,7.2,944,51
tt0847163,Family Guy,7.2,900,52
tt0414967,EverQuest,8.3,115,53
tt0482356,Duckman,7.9,166,54
tt14695770,Cookie Run: Kingdom,8.3,110,55
tt13690164,Bloons TD 6,7.8,171,56
tt5477730,Sonic the Hedgehog,7.5,274,57
tt0466137,Spider-Man & Venom: Maximum Carnage,7.6,221,58
tt0413024,Myth: The Fallen Lords,8.1,107,59
tt0302504,Donkey Kong,7.6,189,60
tt0430279,Ghost in the Shell,7.7,159,61
tt7170284,Steven Universe: Save the Light,8.1,99,62
tt0125066,Dragon's Lair II: Timewarp,7.4,267,63
tt0353399,The Emperor's New Groove,7.5,209,64
tt9065466,Steamworld Dig 2,7.8,127,65
tt0161985,Space Ace,7.3,323,66
tt0162199,Blasto,8.2,81,67
tt11615486,F-Zero: GP Legend,8.4,65,68
tt3339654,The Adventures of Batman & Robin,7.5,165,69
tt9466350,Cave Story+,8.1,71,70
tt11151318,Baba Is You,7.8,96,71
tt0384622,Tron,7.4,183,72
