tconst,primaryTitle,averageRating,numVotes,ranking
tt2103188,Grand Theft Auto V,9.5,66261,1
tt1648163,Portal 2,9.4,16727,2
tt1127708,Portal,9.1,13614,3
tt0204657,Super Mario 64,9.1,6640,4
tt0177822,Grim Fandango,9.2,3658,5
tt0244783,The Secret of Monkey Island,9.3,3230,6
tt3944082,Persona 5,9.2,3128,7
tt3782832,Tales from the Borderlands,8.9,4158,8
tt5238848,Undertale,8.9,4055,9
tt2385021,Borderlands 2,8.6,6836,10
tt14321832,It Takes Two,9.1,3058,11
tt0244661,Monkey Island 2: LeChuck's Revenge,9.3,2470,12
tt0134599,The Curse of Monkey Island,9.1,2772,13
tt1149396,Lego Star Wars: The Complete Saga,8.7,4623,14
tt10468596,Persona 5 Royal,9.5,1889,15
tt14844718,Marvel's Guardians of the Galaxy,8.6,4787,16
tt0181422,Crash Bandicoot: Warped,8.8,2671,17
tt0241385,Donkey Kong Country,8.6,3093,18
tt0203441,Day of the Tentacle,9.0,1941,19
tt10461542,Lego Star Wars: The Skywalker Saga,8.8,2330,20
tt3003738,Persona 4 Golden,9.1,1641,21
tt0228246,Duke Nukem 3D,8.4,3346,22
tt2124034,Saints Row: The Third,8.1,6468,23
tt1142978,Ghostbusters,8.4,3132,24
tt1210335,Team Fortress 2,8.2,4478,25
tt1625541,Battlefield: Bad Company 2,8.2,4442,26
tt0181421,Crash Bandicoot 2: Cortex Strikes Back,8.5,2533,27
tt3252636,The Stanley Parable,8.4,2948,28
tt1380179,Shin Megami Tensei: Persona 4,9.2,1220,29
tt0273105,Banjo-Kazooie,8.6,1871,30
tt0433623,Ratchet & Clank: Up Your Arsenal,8.8,1478,31
tt0308426,Jak and Daxter: The Precursor Legacy,8.5,2041,32
tt0395252,Psychonauts,8.6,1805,33
tt0279742,Conker's Bad Fur Day,8.8,1435,34
tt1555186,Borderlands,8.0,5127,35
tt4782144,South Park: The Fractured but Whole,8.4,2203,36
tt11177022,Disco Elysium,9.1,1067,37
tt0151625,Monty Python & the Quest for the Holy Grail,8.4,1949,38
tt0211284,Broken Sword: Circle of Blood,8.9,1153,39
tt0208332,EarthBound,8.9,1145,40
tt0347851,Ratchet & Clank,8.4,1902,41
tt0413279,Sly 2: Band of Thieves,8.8,1220,42
tt0433577,Jak III,8.5,1572,43
tt0486613,Lego Star Wars: The Video Game,8.1,2840,44
tt0384222,Jak II,8.4,1614,45
tt7903902,Celeste,8.6,1280,46
tt2269724,Deadpool,8.0,3149,47
tt3656582,The Orange Box,9.2,785,48
tt0387531,Ratchet & Clank: Going Commando,8.5,1371,49
tt5121834,Ratchet & Clank,8.0,2745,50
tt1173898,Dragon Ball Z: Budokai Tenkaichi 3,8.8,970,51
tt0192565,Sam and Max Hit the Road,8.7,1054,52
tt12753708,Astro's Playroom,8.4,1393,53
tt1430111,Ratchet & Clank Future: A Crack in Time,8.5,1179,54
tt0489277,Sly 3: Honor Among Thieves,8.6,1068,55
tt3801268,Grim Fandango: Remastered,8.6,1063,56
tt1991154,Plants vs. Zombies,7.9,2843,57
tt10101078,Borderlands 3,8.0,2184,58
tt14671216,Disco Elysium - The Final Cut,9.3,592,59
tt1018825,Ratchet & Clank Future: Tools of Destruction,8.3,1249,60
tt2971572,Saints Row IV,7.7,4434,61
tt1149318,Lego Indiana Jones: The Original Adventures,7.9,2336,62
tt0276506,The Sims,7.9,2326,63
tt0934616,Wii Sports,7.7,4217,64
tt5337160,Psychonauts 2,8.7,761,65
tt0213117,The Neverhood,9.0,599,66
tt1171225,Brütal Legend,7.9,2067,67
tt0276802,Banjo-Tooie,8.4,945,68
tt0314899,Worms Armageddon,8.1,1373,69
tt0233601,Donkey Kong 64,8.1,1370,70
tt0267786,The Operative: No One Lives Forever,8.8,661,71
tt11121754,Yakuza: Like a Dragon,8.6,762,72
tt0825477,Mother 3,9.1,525,73
tt0245097,Escape from Monkey Island,8.0,1424,74
tt9227364,Deltarune,8.4,807,75
tt9655882,Luigi's Mansion 3,8.2,926,76
tt5430544,Lego Star Wars: The Force Awakens,7.8,1736,77
tt0273778,Maniac Mansion,8.3,764,78
tt0395770,SpongeBob SquarePants: Battle for Bikini Bottom,8.3,737,79
tt0296852,The Simpsons,8.3,711,80
tt5788078,Watch Dogs 2,7.5,4439,81
tt0339452,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,8.6,520,82
tt5953726,Steins;Gate,8.8,440,83
tt0442713,Worms,7.8,1383,84
tt2002632,Catherine,8.0,957,85
tt3802404,Sunset Overdrive,7.9,1120,86
tt11387074,The Stanley Parable: Ultra Deluxe,8.7,430,87
tt1245088,Battlefield: Bad Company,7.6,2063,88
tt2073610,Mario & Luigi: Bowser's Inside Story,8.4,532,89
tt1612560,Lego Star Wars III: The Clone Wars,7.6,2008,90
tt3818784,Shovel Knight,8.0,830,91
tt1972756,Sly Cooper: Thieves in Time,8.0,829,92
tt8575060,Lego DC Super-Villains,7.8,1163,93
tt5450628,Naruto Shippûden: Ultimate Ninja Storm 4,8.1,711,94
tt3351040,Phoenix Wright: Ace Attorney,8.3,546,95
tt0491117,Ratchet: Deadlocked,8.0,776,96
tt0302061,Zombies Ate My Neighbors,8.4,486,97
tt21222592,High on Life,7.8,1036,98
tt2305252,Naruto Shippûden: Ultimate Ninja Storm 3,8.1,642,99
tt3381948,Phoenix Wright: Ace Attorney - Trials and Tribulations,8.8,343,100
tt14615814,Lost Judgment,8.5,421,101
