tconst,primaryTitle,averageRating,numVotes,ranking
tt6161168,Red Dead Redemption II,9.7,45381,1
tt2103188,Grand Theft Auto V,9.5,66087,2
tt0383385,Grand Theft Auto: San Andreas,9.4,42047,3
tt1568322,Batman: Arkham City,9.4,32830,4
tt1479962,Red Dead Redemption,9.4,28445,5
tt1282022,Batman: Arkham Asylum,9.2,29518,6
tt0314123,Grand Theft Auto: Vice City,9.2,27946,7
tt0802999,Grand Theft Auto IV,8.9,36185,8
tt3554580,Batman: Arkham Knight,9.0,21598,9
tt0291337,Max Payne,9.2,15575,10
tt2321297,Far Cry 3,8.8,20281,11
tt0366758,Max Payne 2: The Fall of Max Payne,9.1,11065,12
tt1606610,Heavy Rain,8.8,14190,13
tt0277723,Grand Theft Auto III,8.7,16394,14
tt1764429,L.A. Noire,8.7,16038,15
tt7826034,Resident Evil 2,9.0,8754,16
tt0338221,Mafia: The City of Lost Heaven,9.2,6185,17
tt1407064,Max Payne 3,8.6,10978,18
tt3186880,The Wolf Among Us,8.9,7666,19
tt1181833,Mafia II,8.5,11015,20
tt3569570,Resident Evil VII: Biohazard,8.6,9107,21
tt0462448,Need for Speed: Most Wanted,8.7,7313,22
tt2842418,Batman: Arkham Origins,8.2,14541,23
tt0450392,Batman Begins,8.2,14107,24
tt0433390,Hitman: Blood Money,8.8,5692,25
tt3810192,Cyberpunk 2077,8.2,11918,26
tt0177822,Grim Fandango,9.2,3654,27
tt0888006,Bully,8.6,5697,28
tt3742988,Far Cry 4,8.1,10548,29
tt2241982,Sleeping Dogs,8.3,7318,30
tt1450324,Grand Theft Auto IV: The Ballad of Gay Tony,8.6,4898,31
tt2071475,Hitman: Absolution,8.2,6699,32
tt0815168,Grand Theft Auto: Vice City Stories,8.4,5013,33
tt2124034,Saints Row: The Third,8.1,6451,34
tt0405833,The Chronicles of Riddick: Escape from Butcher Bay,8.6,3305,35
tt5734258,Batman: Return to Arkham,9.2,2119,36
tt0275393,Half-Life: Counter-Strike,8.5,3615,37
tt6967966,Far Cry 5,7.9,8080,38
tt1343091,Grand Theft Auto IV: The Lost and Damned,8.2,4589,39
tt0442674,The Godfather,8.3,3866,40
tt0486048,The Warriors,8.9,1996,41
tt12354406,Mafia: Definitive Edition,8.3,3392,42
tt0339160,Hitman 2: Silent Assassin,8.3,3361,43
tt0476990,Indigo Prophecy,8.3,3188,44
tt4332798,Assassin's Creed: Syndicate,7.8,7104,45
tt3983144,Yakuza 0,8.9,1767,46
tt5785964,Batman: The Telltale Series,8.0,4205,47
tt0451192,Scarface: The World Is Yours,8.3,2693,48
tt1024918,Saints Row 2,8.1,3430,49
tt5730780,Resident Evil HD Remaster,8.7,1823,50
tt0465482,Grand Theft Auto: Liberty City Stories,7.9,4529,51
tt0298052,Super Mario Sunshine,8.1,3161,52
