tconst,primaryTitle,averageRating,numVotes,ranking
tt2140553,The Last of Us,9.7,71336,1
tt2993508,The Witcher 3: Wild Hunt,9.7,29938,2
tt5838588,God of War,9.5,33368,3
tt3334704,Uncharted 4: A Thief's End,9.5,32946,4
tt1540125,Mass Effect 2,9.5,20764,5
tt13119450,God of War: Ragnarök,9.7,13292,6
tt0180825,Metal Gear Solid,9.6,12251,7
tt0314123,Grand Theft Auto: Vice City,9.2,27946,8
tt5667286,The Witcher 3: Wild Hunt - Blood and Wine,9.8,9051,9
tt5158314,Detroit: Become Human,9.2,19964,10
tt0208155,Final Fantasy VII,9.5,10989,11
tt0365498,Metal Gear Solid 3: Snake Eater,9.5,10858,12
tt1712064,BioShock Infinite,9.1,21215,13
tt0291337,Max Payne,9.2,15575,14
tt0462423,Metal Gear Solid 4: Guns of the Patriots,9.4,10879,15
tt1073668,Mass Effect,9.1,19055,16
tt0802999,Grand Theft Auto IV,8.9,36185,17
tt2006890,The Walking Dead: A Telltale Game Series,9.2,13925,18
tt1839558,Mass Effect 3,9.1,16253,19
tt7651352,Ghost of Tsushima,9.2,12096,20
tt5547960,The Witcher 3: Wild Hunt - Hearts of Stone,9.5,7447,21
tt0366758,Max Payne 2: The Fall of Max Payne,9.1,11065,22
tt0282975,Silent Hill 2,9.4,7107,23
tt6298000,The Last of Us: Part II,8.7,38058,24
tt20918700,The Last of Us: Part I,9.7,4665,25
tt4375662,Life Is Strange,8.9,12823,26
tt3468818,The Last of Us: Left Behind,8.9,11411,27
tt1606610,Heavy Rain,8.8,14190,28
tt0249008,Metal Gear Solid 2: Sons of Liberty,9.0,8845,29
tt0277723,Grand Theft Auto III,8.7,16394,30
tt0338221,Mafia: The City of Lost Heaven,9.2,6185,31
tt1764429,L.A. Noire,8.7,16038,32
tt5807606,Death Stranding,8.8,9855,33
tt3186880,The Wolf Among Us,8.9,7666,34
tt0194376,Silent Hill,9.0,5980,35
tt2370518,Metal Gear Solid V: The Phantom Pain,8.8,8022,36
tt0486673,Shadow of the Colossus,9.2,4335,37
tt1407064,Max Payne 3,8.6,10978,38
tt5691474,Star Wars Jedi: Fallen Order,8.5,15025,39
tt3390964,The Walking Dead: Season Two,8.7,7799,40
tt0208156,Final Fantasy VIII,8.8,6323,41
tt1937416,The Witcher 2: Assassins of Kings,8.8,6322,42
tt0433458,Star Wars: Knights of the Old Republic II - The Sith Lords,8.9,5351,43
tt3569570,Resident Evil VII: Biohazard,8.6,9107,44
tt6057416,Final Fantasy VII Remake,9.0,4410,45
tt1181833,Mafia II,8.5,11015,46
tt0462422,Metal Gear Solid 3: Subsistence,9.5,2661,47
tt14849728,Mass Effect: Legendary Edition,9.6,2439,48
tt0286585,Deus Ex,9.2,3324,49
tt12497042,Resident Evil Village,8.7,6225,50
tt2192570,Beyond: Two Souls,8.4,12523,51
tt0210061,Final Fantasy VI,9.1,3409,52
tt14321832,It Takes Two,9.1,3037,53
tt1319708,Deus Ex: Human Revolution,8.6,5738,54
tt0888006,Bully,8.6,5697,55
tt5238848,Undertale,8.8,4033,56
tt0187405,Planescape: Torment,9.4,2086,57
tt1450324,Grand Theft Auto IV: The Ballad of Gay Tony,8.6,4898,58
tt20672830,Star Wars Jedi: Survivor,9.2,2342,59
tt5238626,NieR: Automata,8.8,3355,60
tt4674622,Hellblade: Senua's Sacrifice,8.6,4185,61
tt10417512,Call of Duty: Modern Warfare,8.4,6284,62
tt1135081,The Witcher,8.5,4909,63
tt3810192,Cyberpunk 2077,8.2,11918,64
tt0323974,Silent Hill 3,8.6,3941,65
tt7211930,The Walking Dead: The Final Season,8.8,2953,66
tt4485128,What Remains of Edith Finch,8.6,3830,67
tt2241982,Sleeping Dogs,8.3,7318,68
tt6795336,Days Gone,8.3,7315,69
tt0342767,Metal Gear Solid 2: Substance,9.0,2170,70
tt0815168,Grand Theft Auto: Vice City Stories,8.4,5013,71
tt0438550,Vampire: The Masquerade - Bloodlines,9.1,1875,72
tt1806999,Red Dead Redemption: Undead Nightmare,8.4,4392,73
tt2071475,Hitman: Absolution,8.2,6699,74
tt2233084,Spec Ops: The Line,8.4,3785,75
tt3382518,Wolfenstein: The New Order,8.2,6123,76
tt3898332,BioShock Infinite: Burial at Sea,8.7,2232,77
tt3983144,Yakuza 0,8.9,1767,78
tt0365499,Metal Gear Solid: The Twin Snakes,8.9,1657,79
tt0442674,The Godfather,8.3,3866,80
tt7927838,Shadow of the Colossus,8.5,2580,81
tt3391176,Game of Thrones: A Telltale Games Series,8.2,4642,82
tt5730780,Resident Evil HD Remaster,8.7,1823,83
tt1343091,Grand Theft Auto IV: The Lost and Damned,8.2,4589,84
tt4785654,Firewatch,8.2,4205,85
tt7028648,A Plague Tale: Innocence,8.2,4169,86
tt0219139,The Longest Journey,9.0,1174,87
tt0405034,Ico,8.6,1755,88
tt11177022,Disco Elysium,9.1,1050,89
tt1531061,Metal Gear Solid: Peace Walker,8.4,2288,90
tt0451192,Scarface: The World Is Yours,8.3,2693,91
tt0211284,Broken Sword: Circle of Blood,8.9,1150,92
tt7170214,Batman: The Enemy Within,8.4,2156,93
tt7025912,The Evil Within 2,8.3,2496,94
tt3255592,Soma,8.4,2021,95
tt10960146,The Walking Dead: The Telltale Definitive Series,9.2,784,96
tt1236211,Persona 3 FES,9.0,864,97
tt1024918,Saints Row 2,8.1,3430,98
tt15414970,Uncharted: Legacy of Thieves Collection,9.3,669,99
tt0375926,Dreamfall: The Longest Journey,8.6,1214,100
tt0483593,Crisis Core: Final Fantasy VII,8.5,1376,101
tt19364930,A Plague Tale: Requiem,8.5,1375,102
tt3184534,Valiant Hearts: The Great War,8.4,1569,103
tt1104102,Shin Megami Tensei: Persona 3,8.9,848,104
tt7896952,Fire Emblem: Three Houses,8.9,846,105
tt0109865,Gabriel Knight: Sins of the Fathers,9.1,712,106
tt1710626,Xenoblade Chronicles,9.0,760,107
tt0138459,The Beast Within: A Gabriel Knight Mystery,8.9,820,108
tt18815410,The Quarry,8.0,4196,109
tt14106780,Omori,9.2,640,110
tt14671216,Disco Elysium - The Final Cut,9.3,586,111
tt6905446,Life Is Strange: Before the Storm,8.0,4004,112
tt3130160,Brothers: A Tale of Two Sons,8.2,2051,113
tt0960140,Final Fantasy XV,8.0,3733,114
tt0238738,Xenogears,8.9,747,115
tt0440337,Dragon Quest VIII,8.8,807,116
tt0241307,Chrono Cross,8.6,968,117
tt0937352,The Darkness,8.2,1856,118
tt7747832,Doki Doki Literature Club!,8.2,1788,119
tt7006358,Wolfenstein II: The New Colossus,7.9,5041,120
tt7694720,Yakuza Kiwami 2,8.7,762,121
tt15484726,Death Stranding Director's Cut,9.0,575,122
tt0139156,The Dig,8.5,954,123
tt0825477,Mother 3,9.1,523,124
tt7369734,Grand Theft Auto: Episodes from Liberty City,8.4,1051,125
tt0465482,Grand Theft Auto: Liberty City Stories,7.9,4529,126
tt3892998,To the Moon,8.6,787,127
tt3414510,Kingdom Come: Deliverance,8.2,1400,128
tt0417183,Tales of Symphonia,8.6,736,129
tt0385989,Fatal Frame II: Crimson Butterfly,8.7,633,130
tt0436810,Syberia,8.3,1080,131
tt0212498,Secret of Mana,8.6,670,132
tt0303097,Suikoden II,9.0,443,133
tt0292103,Metal Gear Solid: Integral,9.2,382,134
tt3618274,"Papers, Please",8.1,1519,135
tt1560196,The Last Guardian,8.1,1519,135
tt0365432,Legacy of Kain: Defiance,8.5,707,137
tt9227364,Deltarune,8.4,801,138
tt9386794,Gris,8.3,927,139
tt0261889,Parasite Eve,8.5,679,140
tt0400796,Sanitarium,8.8,465,141
tt0289851,Arcanum: Of Steamworks and Magick Obscura,8.9,419,142
tt0138458,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",8.6,544,143
tt0406248,Syberia II,8.3,821,144
tt5953726,Steins;Gate,8.8,438,145
