tconst,primaryTitle,averageRating,numVotes,ranking
tt0390163,Kingdom Hearts II,9.3,7377,1
tt0322968,Kingdom Hearts,9.2,7594,2
tt0249174,Super Mario Bros. 3,9.2,5571,3
tt0879874,Super Mario Galaxy,9.1,5796,4
tt0264790,The Legend of Zelda: Majora's Mask,9.0,3904,5
tt2011970,Minecraft,8.6,12517,6
tt1698007,Super Mario Galaxy 2,9.0,2776,7
tt0234202,Mario Kart 64,8.7,3345,8
tt1018736,Kingdom Hearts II: Final Mix+,9.3,1338,9
tt1766147,The Legend of Zelda: Ocarina of Time 3D,9.3,1252,10
tt1225687,Mario Kart Wii,8.4,4307,11
tt1390843,Kingdom Hearts: Birth by Sleep,8.8,1714,12
tt0291491,Sonic the Hedgehog 2,8.5,2911,13
tt2980042,Super Mario 3D World,8.5,2507,14
tt0260831,Crash Team Racing,8.6,2057,15
tt2975604,Mario Kart 8,8.5,2415,16
tt0386040,The Sims 2,8.3,3262,17
tt0371816,Mario Kart: Double Dash!!,8.5,2062,18
tt3728286,Kingdom Hearts HD 2.5 Remix,9.2,896,19
tt0221603,Super Mario All-Stars,8.9,1157,20
tt0827187,Lego Star Wars II: The Original Trilogy,8.3,2791,21
tt1493026,New Super Mario Bros. Wii,8.2,3274,22
tt0221604,Super Mario Kart,8.3,2406,23
tt2973418,Kingdom Hearts III,8.3,2258,24
tt0818506,New Super Mario Bros.,8.2,2869,25
tt0420798,Need for Speed: Underground 2,8.1,3949,26
tt6197256,Kingdom Hearts HD 1.5 + 2.5 Remix,9.3,685,27
tt0291490,Sonic the Hedgehog,8.1,3437,28
tt4877728,Kingdom Hearts HD 1.5 Remix,9.0,847,29
tt1606807,Pokémon HeartGold Version,8.8,996,30
tt0291492,Sonic the Hedgehog 3,8.3,1919,31
tt5580378,Stardew Valley,8.5,1368,32
tt1606808,Pokémon SoulSilver Version,8.8,957,33
tt2076943,Super Mario 3D Land,8.2,2077,34
tt0291489,Sonic & Knuckles,8.3,1630,35
tt1293615,Pokémon Platinum Version,8.5,1034,36
tt0496536,Mario Kart DS,8.0,2228,37
tt1991154,Plants vs. Zombies,7.9,2836,38
tt0344215,Pokémon Ruby Version,8.3,1207,39
tt1176737,The Sims 3,7.9,2620,40
tt0285312,Luigi's Mansion,8.1,1497,41
tt1073672,Rock Band,8.4,945,42
tt0245138,Gran Turismo 2,8.5,834,43
