tconst,primaryTitle,averageRating,numVotes,ranking
tt0184666,The Legend of Zelda: Ocarina of Time,9.6,10198,1
tt1814884,The Elder Scrolls V: Skyrim,9.3,31851,2
tt1349460,Uncharted 2: Among Thieves,9.3,26812,3
tt0356070,Star Wars: Knights of the Old Republic,9.5,8956,4
tt5807780,Spider-Man,9.2,25338,5
tt3253986,The Legend of Zelda: Breath of the Wild,9.4,8786,6
tt10562854,Elden Ring,9.4,7417,7
tt0846694,God of War II,9.2,10059,8
tt1800763,Uncharted 3: Drake's Deception,9.0,23495,9
tt1199781,God of War III,9.1,11818,10
tt0416779,God of War,9.1,11272,11
tt3814634,Bloodborne,9.3,6543,12
tt5766946,Uncharted: The Nathan Drake Collection,9.3,5927,13
tt0462271,The Elder Scrolls IV: Oblivion,9.0,12677,14
tt0284110,Final Fantasy X,9.1,8297,15
tt1541718,Dragon Age: Origins,9.1,8277,16
tt0210613,Chrono Trigger,9.5,3185,17
tt2015348,Dark Souls,9.1,5499,18
tt1797530,Tomb Raider,8.7,19620,19
tt4795016,Dark Souls III,9.1,5183,20
tt0263641,The Legend of Zelda: A Link to the Past,9.3,3666,21
tt21047286,Resident Evil 4,9.5,2799,22
tt0441877,The Legend of Zelda: Twilight Princess,9.0,5289,23
tt0244783,The Secret of Monkey Island,9.3,3225,24
tt0258523,Diablo II,9.0,4544,25
tt0249510,Final Fantasy IX,8.8,5391,26
tt13107970,Hogwarts Legacy,8.9,4205,27
tt0325724,The Legend of Zelda: The Wind Waker,9.0,3588,28
tt0244661,Monkey Island 2: LeChuck's Revenge,9.3,2466,29
tt0224637,Baldur's Gate II: Shadows of Amn,9.4,2158,30
tt1000777,Uncharted: Drake's Fortune,8.4,21779,31
tt0293062,Super Smash Bros. Melee,9.0,3338,32
tt5370130,Super Smash Bros. Ultimate,8.9,3838,33
tt0187405,Planescape: Torment,9.4,2086,34
tt3791072,Rise of the Tomb Raider,8.5,10208,35
tt0259104,Warcraft III: Reign of Chaos,8.9,3668,36
tt0134599,The Curse of Monkey Island,9.1,2767,37
tt7025920,Assassin's Creed: Origins,8.5,9116,38
tt0372023,Warcraft III: The Frozen Throne,8.9,3502,39
tt8545606,Assassin's Creed: Odyssey,8.5,8469,40
tt8558306,Sekiro: Shadows Die Twice,8.8,3869,41
tt5032376,Bloodborne: The Old Hunters,9.4,1825,42
tt0314015,The Elder Scrolls III: Morrowind,8.8,3591,43
tt0286598,Doom,8.6,5294,44
tt3763912,Dragon Age: Inquisition,8.6,5232,45
tt1799527,Doom,8.5,6687,46
tt2322244,Dishonored,8.4,9217,47
tt0928380,Super Smash Bros. Brawl,8.6,4944,48
tt12496734,Spider-Man: Miles Morales,8.4,8668,49
tt0384444,Prince of Persia: The Sands of Time,8.5,5226,50
tt0437437,Prince of Persia: Warrior Within,8.6,4003,51
tt0217733,Pokémon: Red Version,8.8,2723,52
tt7791150,Hollow Knight,8.8,2698,53
tt5769154,Injustice 2,8.5,4474,54
tt0260785,Castlevania: Symphony of the Night,9.2,1711,55
tt0438550,Vampire: The Masquerade - Bloodlines,9.1,1875,56
tt8550890,Doom Eternal,8.6,3584,57
tt9459718,Hades,8.9,2113,58
tt1821474,Journey,8.5,3865,59
tt10471854,The Legend of Zelda: Tears of the Kingdom,9.6,1165,60
tt0176925,The Legend of Zelda,8.6,3114,61
tt6608826,Mario Kart 8 Deluxe,8.6,3109,62
tt0483781,Prince of Persia: The Two Thrones,8.5,3551,63
tt1806999,Red Dead Redemption: Undead Nightmare,8.4,4392,64
tt1225687,Mario Kart Wii,8.4,4303,65
