tconst,primaryTitle,averageRating,numVotes,ranking
tt0292373,You Don't Know Jack,8.0,69,1
tt2481814,Hotel Transylvania,7.0,288,2
tt0292374,You Don't Know Jack,8.1,37,3
tt0862811,QI: A Quite Interesting Game,8.3,31,4
tt8405872,Knowledge Is Power,7.2,80,5
tt0852628,Buzz! The Music Quiz,7.3,60,6
tt21154010,The Jackbox Party Pack 3,8.0,30,7
tt0274362,Beavis and Butt-Head in Wiener Takes All,7.9,32,8
tt12104902,Valorant,6.5,1037,9
tt6390612,Friends: The One with All the Trivia,7.3,41,10
tt18553702,The Jackbox Party Pack 7,8.0,21,11
tt1505401,Scene It? Box Office Smash,7.2,36,12
tt12109830,The Jackbox Party Pack,7.0,43,13
tt0433334,Backyard Wrestling 2: There Goes the Neighborhood,7.0,41,14
tt1347012,You Don't Know Jack: Volume 2,7.8,16,15
tt0302023,The Weakest Link,7.0,27,16
tt0419281,You Don't Know Jack: Volume 4 - The Ride,7.7,13,17
tt18291862,Ertugrul Ghazi Game,8.2,9,18
tt0292031,Jeopardy!,6.8,35,19
tt0324630,You Don't Know Jack: Movies,7.8,11,20
tt12751628,Xarmy,7.4,14,21
tt0481424,Shout About Music,7.1,16,22
tt16390652,Use Your Words,8.4,6,23
tt0159772,Star Trek: The Game Show,6.7,31,24
tt15007244,The Jackbox Party Pack 2,6.8,24,25
tt1539138,1 vs 100,6.8,23,26
tt10573046,Ministry of Broadcast,8.2,6,27
tt1839622,TV Superstars,6.9,18,28
tt1183694,QI Presents: Strictly Come Duncing,7.1,13,29
tt14482298,Pinball FX 2,7.5,7,30
tt8761784,Mascot Stories Toolkit,6.8,15,31
tt0481970,Who Wants to Be a Millionaire CD-ROM: Kids Edition,6.9,12,32
tt0839832,Ape Escape: Pumped & Primed,6.6,17,33
tt13649702,Family Feud,7.2,6,34
tt0261407,Who Wants to Be a Millionaire?,6.3,57,35
tt1785625,The Price Is Right,6.4,10,36
tt2151954,Wheel of Fortune,6.3,24,37
tt4841246,You Don't Know Jack,6.2,24,38
tt2005290,Monopoly: Streets,6.2,25,39
tt1740706,Trivial Pursuit,6.2,29,40
tt2342790,Wheel of Fortune,6.1,20,41
tt0470926,South Park: Chef's Luv Shack,6.2,182,42
tt0824346,Hoyle Card Games,5.9,12,43
tt1961497,Scene It? Bright Lights! Big Screen!,6.0,25,44
tt0360695,Jeopardy!,5.7,13,45
tt2417778,WWE Survivor Series,5.7,14,46
tt7075426,Battle Trivia Knockout,5.3,8,47
tt5745622,Abo Khashem,6.0,46,48
tt9670176,Who Wants to Be a Millionaire: 2nd Edition,5.3,10,49
tt2151976,Jeopardy!,5.2,11,50
tt2373402,Remote Control,5.1,11,51
tt12008984,Family Feud,4.2,8,52
tt2675702,Bingo Blitz,5.1,15,53
tt4538194,Who Wants to Be a Millionaire,4.3,9,54
tt0353215,Backyard Wrestling: Don't Try This at Home,5.9,69,55
tt1587294,Wheel of Fortune: Family Edition,3.8,8,56
tt1029277,Daily Rage!,4.1,10,57
tt2530032,Wheel of Fortune,4.4,13,58
tt8765512,PUBG Global Invitational Berlin 2018,4.7,19,59
tt3231690,Who Wants to Be King of the Jungle,4.2,14,60
tt8454046,Golden Balls,3.3,10,61
tt1778200,America's Next Top Model,4.9,25,62
tt1567119,Are You Smarter Than a Fifth Grader: Make the Grade,4.2,17,63
tt1324010,Ben Stein: It's Trivial,2.4,11,64
tt0945545,Deal or No Deal,5.4,71,65
tt0455762,The Simpsons: Bart vs. the Juggernauts,4.9,40,66
tt0902273,Deal or No Deal: DVD Game,4.0,26,67
tt4873124,The Guy Game,3.8,71,68
