tconst,primaryTitle,averageRating,numVotes,ranking
tt1201133,Assassin's Creed II,9.0,24502,1
tt2739708,Assassin's Creed IV: Black Flag,8.7,18345,2
tt1699759,Assassin's Creed: Brotherhood,8.7,16476,3
tt1928116,Assassin's Creed: Revelations,8.2,13839,4
tt0413662,Age of Empires II: The Age of Kings,8.8,3498,5
tt2175563,Assassin's Creed III,7.9,17785,6
tt7028648,A Plague Tale: Innocence,8.2,4169,7
tt1964595,Civilization V,8.5,1946,8
tt0412305,Age of Empires,8.2,2365,9
tt1072440,Medieval II: Total War,8.8,1231,10
tt3184534,Valiant Hearts: The Great War,8.4,1569,11
tt4117250,Assassin's Creed: Rogue,7.7,4661,12
tt0197364,Civilization II,8.9,955,13
tt3414510,Kingdom Come: Deliverance,8.2,1400,14
tt2112098,Age of Empires: The Age of Kings,8.5,948,15
tt5989308,Civilization VI,8.1,1169,16
tt0371916,Rise of Nations,8.1,862,17
tt4374652,Stronghold: Crusader,8.6,375,18
tt0276534,Stronghold,8.2,397,19
tt7925396,Europa Universalis IV,8.4,329,20
tt2849138,Total War: Rome II,7.7,784,21
tt5114332,Far Cry Primal,7.3,3704,22
tt7901118,Crusader Kings II,8.4,244,23
tt4429904,Hearts of Iron IV,8.0,358,24
tt0452052,Shadow of Rome,8.3,222,25
tt23725794,Pentiment,8.6,160,26
tt13197328,Crusader Kings III,8.2,206,27
tt6397614,Shadow Tactics: Blades of the Shogun,8.2,185,28
tt1476966,Anno 1404,8.0,221,29
tt8799672,The Pillars of the Earth,8.1,176,30
tt4070812,Total War: Attila,7.7,274,31
tt0819894,Hearts of Iron II,8.3,97,32
tt3257158,Yakuza Ishin,8.1,105,33
tt0857332,The Oregon Trail,7.7,184,34
tt10685892,Anno 1800,8.0,115,35
tt22689880,Like a Dragon: Ishin!,8.0,91,36
tt0293540,Railroad Tycoon 2,8.1,81,37
tt0293539,Railroad Tycoon,7.8,100,38
tt4374692,Stronghold Crusader Extreme,7.6,125,39
tt0389893,Crusader Kings,8.1,57,40
tt1002690,Warriors Orochi,7.6,124,41
tt0848436,Railroad Tycoon 3,8.0,63,42
tt0473307,Supremacy,8.7,33,43
tt8132914,Discovery Tour by Assassin's Creed: Ancient Egypt,7.8,79,44
tt1275792,Yakuza Kenzan,8.1,53,45
tt6168932,Pharaoh,7.9,67,46
tt0833947,Carmen Sandiego's Great Chase Through Time,8.3,41,47
tt1409838,Warriors Orochi 2,7.9,59,48
