tconst,primaryTitle,averageRating,numVotes,ranking
tt0397042,Resident Evil 4,9.2,14448,1
tt1094581,BioShock,9.1,20914,2
tt2006890,The Walking Dead: A Telltale Game Series,9.2,13925,3
tt0282975,Silent Hill 2,9.4,7107,4
tt7826034,Resident Evil 2,9.0,8754,5
tt0161941,Resident Evil 2,9.1,6215,6
tt2742544,Until Dawn,8.7,15885,7
tt1267296,Dead Space,8.8,10143,8
tt0194376,Silent Hill,9.0,5980,9
tt1697062,Dead Space 2,8.8,6986,10
tt0190703,Resident Evil,8.9,5693,11
tt0302327,Resident Evil,9.0,4557,12
tt3390964,The Walking Dead: Season Two,8.7,7799,13
tt1632479,Call of Duty: Black Ops,8.3,20310,14
tt3980364,Inside,8.8,4169,15
tt3391132,Alien: Isolation,8.6,5869,16
tt1799527,Doom,8.5,6687,17
tt0286598,Doom,8.6,5294,18
tt0466662,Alan Wake,8.5,6255,19
tt3291104,P.T.,9.3,2065,20
tt0207701,Resident Evil 3: Nemesis,8.6,4896,21
tt7211930,The Walking Dead: The Final Season,8.8,2953,22
tt0323974,Silent Hill 3,8.6,3941,23
tt1323508,Call of Duty: World at War,8.2,12236,24
tt1543024,Left 4 Dead 2,8.3,7220,25
tt1506437,BioShock 2,8.2,10138,26
tt1323932,Left 4 Dead,8.3,6299,27
tt1754134,Limbo,8.3,5939,28
tt2984660,Outlast,8.3,5195,29
tt2387409,Call of Duty: Black Ops II,8.0,14866,30
tt0290572,Doom II: Hell on Earth,8.5,3107,31
tt3706490,Dying Light,8.2,4764,32
tt2134101,Metro: Last Light,8.2,4301,33
tt0488536,F.E.A.R. First Encounter Assault Recon,8.3,3038,34
tt8585800,Control,8.1,4386,35
tt6795176,Little Nightmares,8.2,3273,36
tt11321196,Half-Life: Alyx,9.4,902,37
tt3388490,Outlast: Whistleblower,8.4,2105,38
tt15174768,Dead Space,9.0,1140,39
tt12857290,Little Nightmares II,8.6,1617,40
tt1675746,Metro 2033,8.0,4479,41
tt3255592,Soma,8.4,2021,42
tt7447318,Metro Exodus,8.2,2743,43
tt0308956,System Shock 2,8.9,1186,44
tt0217000,Resident Evil: Code: Veronica,8.1,3235,45
tt3110552,Hotline Miami,8.3,2139,46
tt0386616,Manhunt,8.2,2465,47
tt2822126,Mob of the Dead,9.1,948,48
tt1741689,Amnesia: The Dark Descent,8.2,2115,49
tt10960146,The Walking Dead: The Telltale Definitive Series,9.2,784,50
tt7728604,Subnautica,8.4,1521,51
tt0276592,Undying,8.8,951,52
tt0936494,S.T.A.L.K.E.R.: Shadow of Chernobyl,8.3,1577,53
tt11419114,Resident Evil 3,7.8,4554,54
tt7747832,Doki Doki Literature Club!,8.2,1788,55
tt6824658,Call of Duty: WWII,7.7,7110,56
tt0291868,Doom 3,7.8,4313,57
tt6528212,Prey,8.1,2028,58
tt0837114,Dead Rising,7.9,2996,59
tt0138459,The Beast Within: A Gabriel Knight Mystery,8.9,820,60
tt0109865,Gabriel Knight: Sins of the Fathers,9.1,712,61
tt0326862,Eternal Darkness: Sanity's Requiem,8.9,813,62
tt2960790,The Evil Within,7.8,3863,63
tt2106546,BioShock 2: Minerva's Den,8.4,1101,64
tt0386788,Silent Hill 4: The Room,7.8,2945,65
tt5785978,The Walking Dead: A New Frontier,7.7,3922,66
tt0496608,Condemned: Criminal Origins,8.1,1466,67
tt12445622,Bioshock: The Collection,9.1,578,68
tt0289056,Aliens vs. Predator 2,8.3,1095,69
tt2189256,Dead Space 3,7.6,4029,70
tt0385989,Fatal Frame II: Crimson Butterfly,8.7,633,71
tt0232531,Resident Evil Zero,7.7,2473,72
tt0261889,Parasite Eve,8.5,679,73
tt1896726,Call of the Dead,8.3,777,74
tt0386061,The Suffering,8.2,828,75
tt0228217,Dino Crisis,7.8,1537,76
tt3540564,Hotline Miami 2: Wrong Number,8.0,1061,77
tt0252381,Dino Crisis 2,8.0,1055,78
tt0138458,"Gabriel Knight 3: Blood of the Sacred, Blood of the Damned",8.6,544,79
tt0400796,Sanitarium,8.8,465,80
tt0340311,Fatal Frame,8.4,618,81
tt1655435,S.T.A.L.K.E.R.: Call of Pripyat,8.5,563,82
tt0131537,Phantasmagoria,8.2,742,83
tt3147122,Call of Duty: Origins,8.5,523,84
tt0353016,The X Files: Resist or Serve,8.2,686,85
tt13368198,The Dark Pictures: House of Ashes,7.7,1507,86
tt0458361,Evil Dead: Regeneration,8.2,668,87
tt8545514,Dying Light 2: Stay Human,7.7,1493,88
tt1394201,F.E.A.R. 2: Project Origin,7.6,1799,89
tt4733294,Outlast 2,7.5,2579,90
tt12496966,Returnal,8.0,771,91
tt1502419,Silent Hill: Shattered Memories,7.8,1030,92
tt3059776,The Walking Dead: 400 Days,7.4,3291,93
tt0287907,Aliens vs. Predator,8.0,649,94
tt1233574,Prototype,7.4,3285,95
tt0262673,Parasite Eve II,8.2,483,96
tt9314392,Dying Light: The Following - Enhanced Edition,8.2,474,97
tt2076834,Deadly Premonition,8.1,517,98
tt0294576,Final Doom,8.0,580,99
tt15402648,Alan Wake Remastered,8.1,503,100
tt4018604,Resident Evil: Revelations 2,7.5,1570,101
tt1212902,F.E.A.R. Extraction Point,7.7,900,102
tt0335473,The Thing,7.8,729,103
tt5477496,Der Eisendrache,8.8,262,104
tt0466931,Prey,7.6,1095,105
tt2275783,"Nine Hours, Nine Persons, Nine Doors",8.6,297,106
tt0756360,Fatal Frame III: The Tormented,8.4,331,107
tt2498068,The Cat Lady,8.6,283,108
tt10366012,Five Nights at Freddy's: Help Wanted,8.0,497,109
tt5123972,Fran Bow,8.4,323,110
tt1866227,Prototype 2,7.4,1803,111
tt1235071,Silent Hill: Origins,7.5,1159,112
tt15452912,Metro: Last Light Redux,8.2,341,113
tt1086334,Manhunt 2,7.5,1085,114
tt16273834,Inscryption,8.6,235,115
tt0308955,System Shock,8.1,353,116
tt15452910,Metro 2033 Redux,7.9,443,117
tt13412376,Metro Redux,8.3,282,118
tt0476701,Still Life,8.0,380,119
tt4214834,Five Nights at Freddy's,7.3,2600,120
tt0142392,"I Have No Mouth, and I Must Scream",8.3,277,121
tt0457376,Haunting Ground,8.1,331,122
tt2973402,The Order: 1886,7.3,2451,123
tt13804506,Evil Dead: The Game,7.9,415,124
tt1201565,Condemned 2: Bloodshot,7.6,708,125
tt1243616,S.T.A.L.K.E.R.: Clear Sky,7.7,531,126
tt1255892,Penumbra: Black Plague,8.0,335,127
tt1456949,Dead Rising 2,7.3,2070,128
tt0302250,Alone in the Dark,7.9,374,129
tt7371120,Umineko When They Cry Chiru,8.9,158,130
tt16026362,Doki Doki Literature Club Plus!,8.6,190,131
tt0456931,Doom 3: Resurrection of Evil,7.4,1119,132
tt8598482,Luigi's Mansion,8.1,272,133
tt5105838,Doom 3: BFG Edition,7.7,471,134
tt2121733,Resident Evil: Revelations,7.3,1753,135
tt9288404,The Forest,7.5,725,136
tt4727692,Friday the 13th: The Game,7.3,1630,137
tt0462199,The Black Mirror,7.9,319,138
tt4844692,The Vanishing of Ethan Carter,7.4,933,139
tt1845786,Dead Island,7.2,4504,140
tt1029355,Penumbra: Overture,7.8,332,141
tt0176457,Apocalypse,7.4,817,142
tt7249606,Observer,7.5,579,143
tt1527831,Rule of Rose,7.9,274,144
tt0498128,Stubbs the Zombie in Rebel Without a Pulse,7.8,294,145
tt3070002,Dead Rising 3,7.3,1167,146
tt8536376,Ultimate Custom Night,7.5,528,147
tt0316586,Shadow Hearts,8.4,148,148
tt6238430,The Last Door: Season One,8.6,127,149
tt0436638,Nocturne,8.5,134,150
tt0162137,The 7th Guest,7.8,263,151
tt5661022,Five Nights at Freddy's: Sister Location,7.3,996,152
tt7371106,Umineko When They Cry,8.1,177,153
tt0277737,The House of the Dead,7.5,435,154
tt8895512,Unavowed,8.3,132,155
tt0283587,Shadow of Destiny,8.0,176,156
