tconst,primaryTitle,averageRating,numVotes,ranking
tt1168638,Guitar Hero III: Legends of Rock,8.3,2011,1
tt0892303,Guitar Hero II,8.3,1559,2
tt1073672,Rock Band,8.4,945,3
tt1391039,The Beatles: Rock Band,8.5,459,4
tt9327842,Beat Saber,8.5,350,5
tt26453303,Hi-Fi Rush,8.3,448,6
tt0498678,Guitar Hero,7.9,1023,7
tt3735694,Transistor,7.9,753,8
tt4760800,Rock Band 2,8.2,342,9
tt1253868,Guitar Hero: Metallica,7.9,494,10
tt15143316,The Artful Escape,7.7,459,11
tt13972010,Friday Night Funkin',7.7,365,12
tt0273744,Loom,7.8,283,13
tt1196942,Guitar Hero: World Tour,7.4,1030,14
tt5547860,Rock Band 3,8.2,157,15
tt0365781,Space Channel 5,8.4,125,16
tt15128622,My Singing Monsters,8.6,95,17
tt5565570,Hatsune Miku: Project Diva X,8.4,90,18
tt1336607,Rock N' Roll Racing,8.0,114,19
tt5951540,Hatsune Miku: Project Diva F,8.6,68,20
tt1754203,Michael Jackson: The Experience,7.8,134,21
tt0364018,Space Channel 5: Part 2,7.8,128,22
tt0371356,UmJammer Lammy,8.1,85,23
tt1836787,Elite Beat Agents,8.3,71,24
tt0430440,PaRappa the Rapper 2,7.8,115,25
tt0433601,Moonwalker,7.3,313,26
tt16225330,Kid A Mnesia Exhibition,8.4,58,27
tt0286963,Shivers II: Harvest of Souls,8.6,42,28
tt2382943,Rocksmith,7.8,74,29
tt1571399,DJ Hero,7.6,87,30
tt4650390,Rhythm Heaven Fever,8.0,53,31
tt8596604,Persona 5: Dancing Star Night,7.5,103,32
tt5953834,Hatsune Miku: Project Diva F 2nd,8.2,42,33
tt3819088,Persona 4: Dancing All Night,7.5,96,34
tt6169512,osu!,7.4,114,35
tt0363544,Dance Dance Revolution,7.4,112,36
tt1974269,Guitar Hero: Warriors of Rock,7.1,309,37
tt0422115,Donkey Konga,7.5,83,38
tt1683424,Green Day: Rock Band,7.5,81,39
tt0379698,Amplitude,7.7,51,40
tt6399054,Rock Band 4,7.5,68,41
tt6032908,Hatsune Miku Project Diva: Future Tone,8.2,30,42
tt14584314,Wandersong,8.5,24,43
tt6076418,BanG Dream! Girls Band Party!,8.4,25,44
tt8596874,Persona 3: Dancing in Moonlight,7.4,77,45
tt0145845,Prince Interactive,7.6,45,46
tt2085758,Vib-Ribbon,7.7,39,47
tt17055314,Hatsune Miku: Colorful Stage!,8.3,22,48
tt9231112,Rhythm Heaven,7.7,37,49
tt0371055,PaRappa the Rapper,7.0,280,50
tt11096630,Rocksmith 2014,7.9,25,51
tt10249184,Deemo,7.9,25,51
tt17544552,Dislyte,8.2,19,53
tt0445970,Frequency,7.6,35,54
tt8800024,Just Dance 2014,7.3,60,55
tt14857494,Just Dance 2022,7.4,48,56
tt0424402,Samba de Amigo,7.6,32,57
tt3018110,Patapon,7.1,89,58
tt22093376,Theatrhythm: Final Bar Line,8.1,15,59
tt3018112,Patapon 2,7.3,43,60
tt15128682,My Singing Monsters: Dawn of Fire,8.0,15,61
tt10920756,Hatsune Miku Project Diva: Mega 39's,7.6,23,62
tt1386614,Electroplankton,7.8,18,63
tt2204259,Dance Central 2,7.1,65,64
tt1477854,Guitar Hero 5,6.9,403,65
tt11038838,Love Live! School Idol Festival: All Stars,7.6,19,66
tt5585468,Hatsune Miku Project Mirai 2,8.8,7,67
tt16058978,Friday Night Funkin: Neo,7.9,13,68
tt2435042,Moonwalker,6.9,355,69
tt3686506,Theatrhythm Final Fantasy: Curtain Call,7.4,24,70
tt1288599,Rolling Stones: Voodoo Lounge,7.8,13,71
tt0216267,Tarzan Activity Center,7.4,22,72
tt22773286,Just Dance 2023 Edition,7.6,16,73
tt6000012,Tadpole Treble,7.8,12,74
tt14590374,Muse Dash,7.3,25,75
tt5254282,Cytus: Chapter Timeline,8.2,8,76
tt2093287,TuneLand - Starring Howie Mandel,7.8,10,77
tt10249446,Deemo: The Last Recital,8.0,8,78
tt2091262,Child of Eden,7.0,58,79
tt5619282,Love Live! School Idol Festival,7.3,19,80
tt7053444,Piano Tiles 2,7.1,34,81
tt12868396,Revue Starlight: Re LIVE,8.2,6,82
tt11421068,Persona Dancing: Endless Night Collection,7.7,9,83
tt1173951,Karaoke Revolution Presents: American Idol Encore,7.1,30,84
tt1328624,Karaoke Revolution Presents: American Idol Encore 2,7.1,29,85
tt2315190,Just Dance 4,6.9,137,86
tt0948449,Karaoke Revolution Presents: American Idol,7.0,43,87
tt1841679,Just Dance 2,6.9,103,88
tt9614244,Childish Gambino: Pharos,7.1,22,89
tt8219214,Invector,7.0,29,90
tt3314152,Sound Shapes,6.9,77,91
tt0795444,Peter and the Wolf,7.3,10,92
tt13018198,Just Dance 2021,6.9,51,93
tt12308088,Just Dance Now,7.2,8,94
tt14562454,D4DJ Groovy Mix,7.2,7,95
tt0292078,MTV Music Generator,7.1,9,96
tt5585464,Hatsune Miku and Future Stars Project Mirai,7.0,14,97
tt2134055,Dance Dance Revolution Winx Club,6.9,19,98
tt8212060,Dance Dance Revolution Extreme,6.9,16,99
tt6711966,Duet,6.9,8,100
tt6488550,Bohemian Rhapsody Experience,6.8,16,101
tt9458188,Rhythm Tengoku,6.8,21,102
tt12655740,Project Arrhythmia,6.7,11,103
tt8449066,Runner3,6.7,15,104
tt7467040,Love Live! School idol festival: after school ACTIVITY,6.6,11,105
tt4489948,Guitar Hero Live,6.8,174,106
