tconst,primaryTitle,averageRating,numVotes,ranking
tt0151625,Monty Python & the Quest for the Holy Grail,8.4,1948,1
tt0213090,The Meaning of Life,7.3,1212,2
tt5951540,Hatsune Miku: Project Diva F,8.6,68,3
tt0213089,Monty Python's Complete Waste of Time,7.8,84,4
tt5953834,Hatsune Miku: Project Diva F 2nd,8.2,42,5
tt1831619,Dance Central,7.6,80,6
tt6169512,osu!,7.4,114,7
tt14584314,Wandersong,8.5,23,8
tt2408232,Dance Central 3,7.6,47,9
tt6670928,Rhythm Heaven Megamix,7.7,29,10
tt0291047,Blue's Treasure Hunt,8.0,20,11
tt8800024,Just Dance 2014,7.3,60,12
tt7539318,Ariel's Story Studio,8.0,17,13
tt10920756,Hatsune Miku Project Diva: Mega 39's,7.6,22,14
tt11904962,Ape Out,7.1,80,15
tt1521871,Karaoke Revolution,7.2,23,16
tt4322292,Karmaflow: The Rock Opera Videogame,7.4,12,17
tt12308088,Just Dance Now,7.2,8,18
tt6676272,Rhythm Thief & the Emperor's Treasure,7.1,9,19
tt0205479,Treasure Quest,7.0,17,20
tt6711966,Duet,6.9,8,21
tt0420709,Karaoke Revolution Volume 2,5.4,11,22
tt2290433,Just Dance 3,6.7,95,23
tt3396300,Dr. Mario Express,5.9,23,24
tt3241636,Mozartova carobna frula,4.8,15,25
tt1981623,Dance Paradise,3.2,9,26
tt1856008,Hasbro Family Game Night 3,5.4,24,27
tt0893313,Bratz: Forever Diamondz,5.2,90,28
tt0446651,American Idol,4.5,109,29
