tconst,primaryTitle,averageRating,numVotes,ranking
tt0282975,Silent Hill 2,9.4,7116,1
tt4375662,Life Is Strange,8.9,12860,2
tt0194376,Silent Hill,9.0,5987,3
tt1267296,Dead Space,8.8,10152,4
tt2742544,Until Dawn,8.7,15927,5
tt0302327,Resident Evil,9.0,4570,6
tt0190703,Resident Evil,8.9,5700,7
tt0433390,Hitman: Blood Money,8.8,5698,8
tt3291104,P.T.,9.3,2068,9
tt3980364,Inside,8.8,4191,10
tt0206330,Super Metroid,9.1,2247,11
tt0323974,Silent Hill 3,8.6,3950,12
tt4485128,What Remains of Edith Finch,8.6,3849,13
tt0319854,Metroid Prime,8.9,2120,14
tt0126817,Blade Runner,8.9,1961,15
tt1754134,Limbo,8.3,5960,16
tt0954921,Crysis,8.3,5581,17
tt2233084,Spec Ops: The Line,8.4,3793,18
tt2984660,Outlast,8.3,5218,19
tt15174768,Dead Space,9.0,1167,20
tt0339160,Hitman 2: Silent Assassin,8.3,3362,21
tt0488536,F.E.A.R. First Encounter Assault Recon,8.3,3042,22
tt4785654,Firewatch,8.2,4220,23
tt3388490,Outlast: Whistleblower,8.4,2116,24
tt3255592,Soma,8.4,2025,25
tt12497188,Hitman 3,8.5,1539,26
tt0397040,Beyond Good & Evil,8.5,1477,27
tt0276592,Undying,8.8,951,28
tt0192565,Sam and Max Hit the Road,8.7,1054,29
tt7728604,Subnautica,8.4,1530,30
tt8525684,Hitman 2,8.2,2144,31
tt1741689,Amnesia: The Dark Descent,8.2,2120,32
tt6905446,Life Is Strange: Before the Storm,8.0,4026,33
tt10949454,Outer Wilds,8.8,744,34
tt0944840,Metroid Prime 3: Corruption,8.5,1030,35
tt0213117,The Neverhood,9.0,599,36
tt2995858,Hitman,8.0,3117,37
tt0404112,Hitman: Contracts,8.0,3032,38
tt3892998,To the Moon,8.6,787,39
tt0212002,Broken Sword II: The Smoking Mirror,8.5,838,40
tt0165789,Freelancer,8.9,547,41
tt14855850,Metroid Dread,8.7,654,42
tt0340401,TimeSplitters 2,8.5,819,43
tt0276195,Hitman: Codename 47,8.0,2177,44
tt6155214,Danganronpa 2: Goodbye Despair,8.5,796,45
tt0349818,Metroid: Fusion,8.4,896,46
tt0430354,Metroid Prime 2: Echoes,8.3,1015,47
tt0837114,Dead Rising,7.9,2995,48
tt0164974,The X-Files Game,8.4,853,49
tt0365948,XIII,8.3,983,50
tt3528758,Danganronpa: Trigger Happy Havoc,8.3,861,51
tt0129342,Riven: The Sequel to Myst,8.7,519,52
tt0397089,Metroid: Zero Mission,8.4,689,53
tt0158814,Myst,8.3,793,54
tt0273778,Maniac Mansion,8.3,764,55
tt0386788,Silent Hill 4: The Room,7.8,2949,56
tt14278238,Life Is Strange: True Colors,7.9,1821,57
tt3817070,The Talos Principle,8.5,557,58
tt0386061,The Suffering,8.2,828,59
tt0131537,Phantasmagoria,8.2,743,60
tt0186350,Metroid,7.9,1476,61
tt0176236,Titanic: Adventure Out of Time,8.9,318,62
tt9433398,Return of the Obra Dinn,8.6,409,63
tt4499094,Oxenfree,7.9,1214,64
tt0255628,Syphon Filter,8.0,910,65
tt4961498,Back to the Future: The Game - 30th Anniversary Edition,8.0,775,66
tt3391046,Quantum Break,7.7,2154,67
tt7477138,Night in the Woods,8.1,621,68
tt0259025,Syphon Filter 2,8.1,600,69
tt1446689,Halo 3: ODST,7.6,4806,70
tt2486024,Zero Escape Volume 2: Virtue's Last Reward,8.8,265,71
tt2395486,Machinarium,8.1,587,72
tt0119498,The Last Express,8.8,259,73
tt0251285,Myst III: Exile,8.4,377,74
tt0454955,Soulcalibur III,7.9,867,75
tt2076834,Deadly Premonition,8.1,518,76
tt0363076,Snatcher,8.7,257,77
tt15402648,Alan Wake Remastered,8.1,511,78
tt1502419,Silent Hill: Shattered Memories,7.8,1031,79
tt0117391,Privateer 2: The Darkening,8.4,319,80
tt2498068,The Cat Lady,8.5,285,81
tt6157758,Steins;Gate 0,8.6,252,82
tt21911886,Immortality,8.3,321,83
tt10366012,Five Nights at Freddy's: Help Wanted,8.0,501,84
tt0335473,The Thing,7.8,729,85
tt0264018,Snatcher CD-ROMantic,8.9,168,86
tt1394201,F.E.A.R. 2: Project Origin,7.6,1800,87
tt0418914,Myst IV: Revelation,8.5,227,88
tt7371120,Umineko When They Cry Chiru,8.9,158,89
tt26687757,Metroid Prime Remastered,8.9,157,90
tt1313016,Professor Layton and the Curious Village,8.1,344,91
tt1313015,Professor Layton and the Diabolical Box,8.3,259,92
tt2112960,Ace Attorney Investigations 2,8.5,209,93
tt0457376,Haunting Ground,8.1,331,94
tt0476701,Still Life,8.0,381,95
tt4066298,Sherlock Holmes: Crimes and Punishments,7.8,537,96
tt1655609,Super Street Fighter IV,7.7,722,97
tt23725794,Pentiment,8.5,178,98
tt1255892,Penumbra: Black Plague,8.0,335,99
tt4016952,The Long Dark,7.8,516,100
tt5342992,The Witness,7.7,691,101
tt0302250,Alone in the Dark,7.9,374,102
tt7012924,Metroid: Samus Returns,8.1,262,103
tt0815095,Agatha Christie: Murder on the Orient Express,7.9,365,104
tt3519462,Gemini Rue,8.3,196,105
tt0247514,Mega Man X4,7.8,422,106
tt0462199,The Black Mirror,7.9,319,107
tt6238430,The Last Door: Season One,8.6,127,108
tt16161662,Outer Wilds: Echoes of the Eye,8.8,107,109
tt0253492,Policenauts,8.4,148,110
tt4018604,Resident Evil: Revelations 2,7.5,1573,111
tt0432333,Nancy Drew: Curse of Blackmoor Manor,8.6,117,112
tt4411178,Contradiction: The Interactive Murder Mystery Movie,8.4,138,113
tt1527831,Rule of Rose,7.9,274,114
tt1029355,Penumbra: Overture,7.8,332,115
tt0442681,Law & Order: Criminal Intent,7.9,265,116
tt7152708,Blackwell Convergence,8.3,147,117
tt2461590,The Unfinished Swan,7.7,433,118
tt0407033,Nancy Drew: The Secret of Shadow Ranch,8.5,114,119
tt1235071,Silent Hill: Origins,7.5,1160,120
tt6290906,The Great Ace Attorney: Adventures,8.1,173,121
tt1086334,Manhunt 2,7.5,1089,122
tt1484983,Gray Matter,8.2,144,123
tt5500342,Call of Cthulhu: Shadow of the Comet,8.4,114,124
