tconst,primaryTitle,averageRating,numVotes,ranking
tt0284110,Final Fantasy X,9.1,8309,1
tt4375662,Life Is Strange,8.9,12860,2
tt0386040,The Sims 2,8.3,3263,3
tt6905446,Life Is Strange: Before the Storm,8.0,4026,4
tt7747832,Doki Doki Literature Club!,8.2,1805,5
tt14278238,Life Is Strange: True Colors,7.9,1821,6
tt5953726,Steins;Gate,8.8,440,7
tt0214857,King's Quest VI: Heir Today， Gone Tomorrow,8.4,313,8
tt16026362,Doki Doki Literature Club Plus!,8.6,196,9
tt9863806,Steins;Gate Elite,8.5,175,10
tt0407033,Nancy Drew: The Secret of Shadow Ranch,8.5,114,11
tt4423716,Katawa Shoujo,8.1,128,12
tt3593530,HuniePop,7.5,209,13
tt6820858,Everlasting Summer,7.6,115,14
tt0414597,Time Crisis,7.2,253,15
tt12485740,Five Dates,7.4,156,16
tt11853318,Shall We Date?: Obey Me!,8.1,66,17
tt0354917,The Sims Unleashed,7.3,187,18
tt14905346,Summertime Saga,8.0,70,19
tt8431222,The House in Fata Morgana: A Requiem for Innocence,8.9,39,20
tt7162820,Dream Daddy: A Dad Dating Simulator,7.7,88,21
tt10131256,Florence,7.4,120,22
tt0390486,The Sims: Superstar,7.2,189,23
tt1473405,Nancy Drew: The Haunting of Castle Malloy,7.9,62,24
tt0300483,The Sims: Hot Date,7.1,263,25
tt5655832,Asagao Academy: Normal Boots Club,8.3,44,26
tt0294923,The Sims: House Party,7.1,226,27
tt8369954,Monster Prom,7.7,62,28
tt8649124,Isekai maou to shoukan shoujo no dorei majutsu X: Reverie,7.6,66,29
tt18939272,Ten Dates,7.9,42,30
tt13671106,Haven,7.5,65,31
tt0453504,King's Quest II: Romancing the Stones,7.6,52,32
tt0297409,Spy Hunter,7.1,148,33
tt8439666,Highway Blossoms,8.1,25,34
tt14082648,HuniePop 2: Double Date,7.3,60,35
tt0424401,Sakura Wars 2: Thou Shalt Not Die,8.6,15,36
tt2723868,Nancy Drew: Tomb of the Lost Queen,7.4,44,37
tt19388630,Camp Buddy: Scoutmaster Season,7.9,21,38
tt10685522,Mr Love: Queen's Choice (Love and Producer),8.0,19,39
tt4433244,Seduce Me,7.7,23,40
tt7980360,Crush Crush,7.4,35,41
tt7874690,Steins;Gate: Darling of Loving Vows,7.8,20,42
tt2804044,Sakura Wars: So Long， My Love,7.8,19,43
tt1141724,YU-NO: A Girl Who Chants Love at the Bound of This World,7.5,27,44
tt10254512,Girlvania: Summer Lust,7.5,25,45
tt14539526,YOU and ME and HER: A Love Story,7.8,17,46
tt20880374,Emily Is Away Too,7.6,21,47
tt10105392,Sakura Wars,7.3,33,48
tt21001762,Emily Is Away <3,7.8,16,49
tt15319594,A Summer's End: Hong Kong 1986,8.1,12,50
tt1114721,Laura's Happy Adventures,7.7,17,51
tt0417104,Sakura Wars,7.4,22,52
tt21608932,Our Life: Beginnings & Always,8.1,9,53
tt10359070,Blush Blush,7.6,14,54
tt21880004,First Date: Late to Date,7.3,22,55
tt16060012,Cabin Fever,8.2,7,56
tt6169054,Wadanohara and the Great Blue Sea,7.4,15,57
tt9620448,Cinderella Phenomenon,7.6,10,58
tt9635542,Full Service,7.7,8,59
