tconst,primaryTitle,averageRating,numVotes,ranking
tt0374692,Half-Life 2,9.4,16849,1
tt1648163,Portal 2,9.4,16712,2
tt2006890,The Walking Dead: A Telltale Game Series,9.2,13949,3
tt1073664,Fallout 3,9.1,19578,4
tt0239023,Half-Life,9.2,10736,5
tt1127708,Portal,9.1,13602,6
tt4044024,Horizon Zero Dawn,9.0,16983,7
tt0183066,Fallout 2: A Post-Nuclear Role-Playing Game,9.5,4013,8
tt1706601,Fallout: New Vegas,8.9,13075,9
tt0853117,Half-Life 2: Episode Two,9.1,6509,10
tt0161941,Resident Evil 2,9.1,6217,11
tt0494232,Halo 3,8.8,12387,12
tt0309654,Halo: Combat Evolved,8.8,11678,13
tt0217061,StarCraft,9.1,5361,14
tt0134648,Fallout: A Post-Nuclear Role-Playing Game,9.2,3914,15
tt12496904,Horizon Forbidden West,9.0,5214,16
tt0357718,Halo 2,8.7,10025,17
tt0483168,Star Wars: Battlefront II,8.8,7020,18
tt1697062,Dead Space 2,8.8,6994,19
tt4741306,Fallout 4,8.6,13891,20
tt3782832,Tales from the Borderlands,8.9,4156,21
tt1288501,Gears of War 2,8.7,5699,22
tt0814129,Half-Life 2: Episode One,8.7,5645,23
tt0293062,Super Smash Bros. Melee,9.0,3345,24
tt1723639,Halo: Reach,8.6,7274,25
tt0823463,Gears of War,8.5,8976,26
tt3391132,Alien: Isolation,8.6,5878,27
tt1037854,StarCraft II: Wings of Liberty,8.8,3437,28
tt0207701,Resident Evil 3: Nemesis,8.6,4895,29
tt0296870,StarCraft: Brood War,9.0,2335,30
tt7211930,The Walking Dead: The Final Season,8.8,2967,31
tt1638317,Gears of War 3,8.5,4879,32
tt4066088,Halo: The Master Chief Collection,8.9,2406,33
tt3612274,Titanfall 2,8.5,4229,34
tt0405833,The Chronicles of Riddick: Escape from Butcher Bay,8.6,3310,35
tt0203441,Day of the Tentacle,9.0,1940,36
tt0252338,Command & Conquer: Red Alert 2,8.6,3057,37
tt0126817,Blade Runner,8.9,1961,38
tt0932936,Assassin's Creed,8.0,19495,39
tt0418194,Star Wars: Battlefront,8.3,4336,40
tt2006120,Halo 4,8.1,7205,41
tt7679452,Horizon Zero Dawn: The Frozen Wilds,8.7,2083,42
tt0181047,Tekken 3,8.4,3011,43
tt1210335,Team Fortress 2,8.2,4477,44
tt0115141,Command & Conquer: Red Alert,8.5,2418,45
tt12497220,Stray,8.3,3066,46
tt0325819,Metal Gear Solid,9.1,1180,47
tt2288037,StarCraft II: Heart of the Swarm,8.7,1613,48
tt0271111,Perfect Dark,8.7,1599,49
tt5785964,Batman: The Telltale Series,8.0,4209,50
tt0278746,Street Fighter II: The World Warrior,8.4,1816,51
tt9437014,Halo Infinite,8.2,2348,52
tt0284592,Unreal Tournament,8.4,1723,53
tt5009274,Halo: Combat Evolved Anniversary,8.4,1722,54
tt2316821,Lego Batman 2: DC Super Heroes,8.1,2770,55
tt0252337,Command & Conquer,8.3,1921,56
tt0418195,Star Wars: Republic Commando,8.2,2119,57
tt10960146,The Walking Dead: The Telltale Definitive Series,9.2,791,58
tt0412704,Far Cry,7.9,3741,59
tt1684551,Crysis 2,7.8,5195,60
tt0206656,Contra,8.3,1579,61
tt0848263,Command & Conquer 3: Tiberium Wars,8.1,2103,62
tt5002806,Rocket League,7.8,4391,63
tt2452050,XCOM: Enemy Unknown,8.3,1534,64
tt0291868,Doom 3,7.8,4319,65
tt5202850,StarCraft II: Legacy of the Void,8.7,1001,66
tt0363260,Half-Life: Opposing Force,8.1,2036,67
tt0295203,Command & Conquer: Yuri's Revenge,8.3,1494,68
tt1218336,The Chronicles of Riddick: Assault on Dark Athena,8.2,1705,69
tt0377917,The Fifth Element,7.6,12076,70
tt0304947,Wolfenstein 3D,8.0,2281,71
tt0111727,Wing Commander III: Heart of the Tiger,8.8,825,72
tt1084702,Killzone 2,8.0,2019,73
tt0366629,James Bond 007: Everything or Nothing,7.9,2463,74
tt0114950,Wing Commander IV: The Price of Freedom,8.8,801,75
tt9417446,The Outer Worlds,7.9,2358,76
tt3449790,Garry's Mod,8.1,1614,77
tt0206930,Mega Man 2,8.3,1234,78
tt0244839,Terminator 2: Judgment Day,8.0,1898,79
tt0453557,TimeSplitters: Future Perfect,8.7,833,80
tt0278087,Teenage Mutant Ninja Turtles IV: Turtles in Time,8.2,1370,81
tt0139156,The Dig,8.5,954,82
tt10949454,Outer Wilds,8.8,743,83
tt1602611,Metal Gear Rising: Revengeance,7.8,2649,84
tt2778298,Black Mesa,8.6,844,85
tt0289056,Aliens vs. Predator 2,8.3,1095,86
tt1753783,Enslaved: Odyssey to the West,8.0,1647,87
tt0228757,Quake III: Arena,7.9,1929,88
tt0228756,Quake II,7.9,1928,89
tt0304396,Metal Gear 2: Solid Snake,8.2,1170,90
tt1305015,Crysis Warhead,8.0,1529,91
tt0190588,Oddworld: Abe's Oddysee,8.3,1007,92
tt0841037,Resistance: Fall of Man,7.9,1775,93
tt1578126,Mirror's Edge,7.6,4118,94
tt0458087,Mega Man X,8.4,897,95
tt4795232,Gears of War 4,7.8,2009,96
tt0164974,The X-Files Game,8.4,853,97
tt0203704,Mortal Kombat Trilogy,8.0,1377,98
tt4776740,Gears of War: Ultimate Edition,8.4,845,99
tt0232531,Resident Evil Zero,7.7,2475,100
tt0483841,X-Men Legends II: Rise of Apocalypse,8.2,1024,101
tt4528890,Lego Jurassic World,7.9,1498,102
tt15822866,Halo 2: Anniversary,8.9,527,103
tt1815777,Killzone 3,7.8,1716,104
tt3391046,Quantum Break,7.7,2152,105
tt0165985,Command & Conquer: Tiberian Sun,7.8,1694,106
tt4915522,XCOM 2,8.2,911,107
tt0436887,Warhammer 40，000: Dawn of War,8.4,728,108
tt1223886,Resistance 2,7.9,1331,109
tt1823262,Transformers: Fall of Cybertron,8.3,789,110
tt8801880,Gears 5,7.8,1566,111
tt0406305,Unreal Tournament 2004,7.9,1288,112
tt0266750,Marvel vs. Capcom 2: New Age of Heroes,8.2,834,113
tt0259047,Tekken Tag Tournament,7.9,1201,114
tt0180881,Oddworld: Abe's Exoddus,8.6,555,115
tt0294984,X-COM: UFO Defense,9.1,401,116
tt0249006,Metal Gear,7.8,1345,117
tt1569962,Transformers: War for Cybertron,8.1,849,118
tt1843246,Resistance 3,8.0,951,119
tt3408266,Super Smash Bros. for Nintendo 3DS,7.9,1095,120
tt0163281,Star Wars: Dark Forces,7.9,1092,121
tt0419277,X-Men Legends,8.0,916,122
tt0158208,Star Wars: Shadows of the Empire,7.9,998,123
tt8364760,Life Is Strange 2,7.5,2471,124
tt5521090,Kirby: Planet Robobot,8.5,518,125
tt5358306,XCOM: Enemy Within,8.6,473,126
tt0153067,Star Wars: TIE Fighter,8.6,461,127
tt9730966,Apex Legends,7.4,3288,128
tt0884225,Warhammer 40，000: Dawn of War - Dark Crusade,8.6,452,129
tt1198194,Command & Conquer: Red Alert 3,7.5,2141,130
tt1830522,Bulletstorm,7.5,2139,131
tt0203946,Star Trek Voyager: Elite Force,8.3,574,132
tt0183816,Star Wars: Rogue Squadron,7.9,898,133
tt2374911,Crysis 3,7.4,3024,134
tt0363259,Half-Life: Blue Shift,7.5,1885,135
tt5507098,Superhot,7.6,1422,136
tt0183020,Dune II: The Building of a Dynasty,8.6,417,137
tt7297456,XCOM 2: War of the Chosen,8.8,353,138
tt0276551,Teenage Mutant Ninja Turtles: The Arcade Game,7.6,1342,139
tt9057520,The Division 2,7.7,1069,140
tt2395486,Machinarium,8.1,587,141
tt0287907,Aliens vs. Predator,8.0,649,142
tt10361012,Katana Zero,8.2,519,143
tt2718012,Tekken Tag Tournament 2,7.9,720,144
tt0479176,Tekken 5: Dark Resurrection,8.1,551,145
tt26453303,Hi-Fi Rush,8.3,442,146
tt0804909,Star Wars: Empire at War,7.7,916,147
tt16385248,The Matrix Awakens: An Unreal Engine 5 Experience,7.9,674,148
tt3304506,Titanfall,7.4,1935,149
tt0466931,Prey,7.6,1095,150
tt1212902,F.E.A.R. Extraction Point,7.7,899,151
tt0462553,Star Wars: Episode III - Revenge of the Sith,7.4,1868,152
tt10478532,Deathloop,7.6,1062,153
tt0397074,Killzone,7.5,1337,154
tt8145194,Jurassic World Evolution,7.6,1023,155
tt0251413,Star Wars,8.0,544,156
tt0282232,Unreal,8.1,477,157
tt0302593,Galaga,7.8,676,158
tt2301123,Return of the Jedi,8.0,522,159
tt9734602,Batman: Arkham City - Catwoman,8.1,464,160
tt0268516,Out of This World,8.0,516,161
tt0200172,Star Wars: Episode I - Racer,7.5,1171,162
tt0395493,Carmageddon,8.0,510,163
tt0289708,FreeSpace 2,8.8,267,164
tt1640562,Singularity,7.6,904,165
tt2275783,Nine Hours， Nine Persons， Nine Doors,8.6,298,166
tt1621984,Ghost Recon: Future Soldier,7.4,1494,167
tt9071226,Astro Bot: Rescue Mission,9.0,231,168
tt0457386,The Incredible Hulk: Ultimate Destruction,8.0,482,169
tt1655609,Super Street Fighter IV,7.7,721,170
tt3451374,The Division,7.3,2135,171
tt0180318,X-Men vs. Street Fighter,7.9,531,172
tt1353038,Street Fighter IV,7.4,1386,173
tt2486024,Zero Escape Volume 2: Virtue's Last Reward,8.7,264,174
tt27371351,Horizon Forbidden West: Burning Shores,8.2,382,175
tt0363076,Snatcher,8.7,257,176
tt0280064,Red Faction,7.6,767,177
tt0304746,Star Wars: Rogue Squadron II - Rogue Leader,7.9,485,178
tt0379779,F-Zero GX,8.3,324,179
tt0120519,Wing Commander: Prophecy,8.0,428,180
tt3165792,Broken Age,7.7,626,181
tt1114713,Command & Conquer 3: Kane's Wrath,7.7,623,182
tt0208650,Tron 2.0,8.3,317,183
tt0210832,Marvel Super Heroes vs. Street Fighter,8.0,418,184
tt0294282,Space Invaders,7.5,889,185
tt0186339,Mega Man,7.4,1156,186
tt0456931,Doom 3: Resurrection of Evil,7.4,1119,187
tt0245563,Wing Commander,8.3,291,188
tt0292917,Alpha Centauri,8.4,267,189
tt1333108,Red Faction: Guerrilla,7.4,1034,190
tt0292104,Metal Gear Solid: VR Missions,7.8,480,191
tt0131029,Star Trek: The Next Generation - A Final Unity,8.2,311,192
tt1810844,Vanquish,7.5,781,193
tt0142392,I Have No Mouth， and I Must Scream,8.3,278,194
tt0254178,Beneath a Steel Sky,8.1,326,195
tt0274225,Zak McKracken and the Alien Mindbenders,8.3,271,196
tt0308991,Total Annihilation,8.4,251,197
tt1764479,Marvel vs. Capcom 3: Fate of Two Worlds,7.4,924,198
tt0348111,Star Trek: Elite Force II,8.0,337,199
tt0413269,SimCity 4,7.6,567,200
tt7779620,Finding Paradise,8.6,205,201
tt0163282,Star Wars: X-Wing,8.0,330,202
tt0218376,Killer Instinct,7.4,852,203
tt0339846,Unreal Tournament 2003,7.4,841,204
tt9134920,Frostpunk,7.8,405,205
tt0293403,Master of Orion II: Battle at Antares,9.1,151,206
tt0264018,Snatcher CD-ROMantic,8.9,167,207
tt2229051,Binary Domain,7.7,459,208
tt15143316,The Artful Escape,7.7,459,208
tt0176457,Apocalypse,7.4,818,210
tt0498130,Warhammer 40，000: Dawn of War - Winter Assault,8.0,313,211
tt1907748,Rage,7.2,1707,212
tt1119134,Final Fantasy Tactics: The War of the Lions,8.5,203,213
tt0165275,Dune 2000,7.7,440,214
tt0246253,Star Wars: X-Wing Alliance,8.2,253,215
tt9734584,Batman: Arkham City - Harley Quinn's Revenge,7.7,431,216
tt0298313,Duke Nukem,7.3,1037,217
tt0285079,F-Zero X,7.8,375,218
tt1327585,DC Universe Online,7.4,762,219
tt0280041,Pokémon: Stadium,7.3,1018,220
tt3467114,Halo 5: Guardians,7.1,3368,221
tt0931112,Star Trek Online,7.7,421,222
tt7249606,Observer,7.5,580,223
tt0281223,Star Trek: Bridge Commander,8.3,218,224
tt1366331,Command & Conquer: Red Alert 3 - Uprising,7.7,404,225
tt0371051,Outcast,8.6,175,226
tt0245564,Wing Commander II: Vengeance of the Kilrathi,8.5,185,227
tt0304599,Quake 4,7.2,1405,228
tt0276104,Emperor: Battle for Dune,8.1,248,229
tt2252348,Thomas Was Alone,7.8,339,230
tt0314272,The King of Fighters '97,8.2,225,231
tt0185712,Super Star Wars: Return of the Jedi,7.6,449,232
tt3617464,FTL: Faster Than Light,7.9,298,233
tt0234524,Privateer,8.6,167,234
tt0379778,F-Zero,7.4,661,235
tt0281224,Star Wars: X-Wing vs. TIE Fighter,8.0,263,236
tt0353346,Demolition Man,7.3,855,237
tt0263231,Contra III: The Alien Wars,7.7,368,238
tt1925430,Fallout 3: Broken Steel,7.7,364,239
tt3519462,Gemini Rue,8.3,196,240
tt0947068,Rogue Galaxy,8.2,209,241
tt0246614,Fallout Tactics: Brotherhood of Steel,7.3,818,242
tt0169922,Descent: FreeSpace - The Great War,8.8,136,243
tt0301928,The Terminator,7.5,475,244
tt0462217,Cadillacs and Dinosaurs,8.1,215,245
tt0498128,Stubbs the Zombie in Rebel Without a Pulse,7.8,294,246
tt10186928,Vader Immortal: A Star Wars VR Series - Episode I,8.1,213,247
tt0879261,Star Wars: Empire at War: Forces of Corruption,7.7,329,248
tt3400498,Elite: Dangerous,8.3,177,249
tt6041280,Halo Wars 2,7.4,555,250
tt15339300,Mass Effect 2: Firewalker,6.2,54,1854
tt2287374,Iron Brigade,6.0,41,1856
