tconst,primaryTitle,averageRating,numVotes,ranking
tt21042248,A-Cinema,7.8,30,1
tt1661249,Motocross Madness,7.4,31,2
tt10876924,A Fisherman's Tale,7.4,11,3
tt0402072,Bouncers,7.3,10,4
tt14891658,Refunct,6.7,9,5
tt9548948,Duty Calls: The Calm Before the Storm,6.3,15,6
tt11345872,eFootball Pro Evolution Soccer 2020,6.2,311,7
tt8430656,Checkered Flag,5.0,9,8
tt3415252,Dr. Mario & Puzzle League,5.6,23,9
tt3485808,Donkey Kong Hockey,5.1,17,10
tt2880492,Scud: The Disposable Assassin,4.0,10,11
tt4516496,The Divergent Series: Insurgent - Shatter Reality,6.1,1032,12
