tconst,primaryTitle,averageRating,numVotes,ranking
tt0462448,Need for Speed: Most Wanted,8.7,7313,1
tt6608826,Mario Kart 8 Deluxe,8.6,3109,2
tt3124414,FIFA 14,8.0,2772,3
tt2080342,Mario Kart 7,8.1,2171,4
tt2493696,FIFA 13,8.1,2147,5
tt5002806,Rocket League,7.8,4375,6
tt0271233,Tony Hawk's Pro Skater 2,8.2,1528,7
tt0317600,Gran Turismo 4,8.5,1006,8
tt0966563,Burnout 3: Takedown,8.4,1016,9
tt1964674,FIFA Soccer 12,8.0,1845,10
tt0934616,Wii Sports,7.7,4212,11
tt0245138,Gran Turismo 2,8.5,833,12
tt0190428,Gran Turismo,8.2,1004,13
tt3104120,Forza Horizon,8.3,811,14
tt0274533,Gran Turismo 3: A-Spec,8.2,907,15
tt0376317,WWE SmackDown! Here Comes the Pain,8.5,667,16
tt1227830,Burnout Paradise,7.7,2143,17
tt1714033,FIFA Soccer 11,7.9,1358,18
tt1523579,Wii Sports Resort,7.8,1607,19
tt2794304,WWE 2k14,8.1,951,20
tt2877180,Skate 3,8.2,835,21
tt4247292,Forza Horizon 2,8.2,797,22
tt1737173,Gran Turismo 5,8.1,890,23
tt0442713,Worms,7.8,1383,24
tt9398646,Crash Team Racing: Nitro-Fueled,8.2,752,25
tt0186360,Mike Tyson's Punch-Out!!,8.2,745,26
tt0288264,Tony Hawk's Pro Skater 3,7.8,1268,27
tt0271232,Tony Hawk's Pro Skater,7.8,1122,28
tt0790814,Need for Speed: Carbon,7.4,3810,29
tt0940856,Burnout Revenge,8.1,730,30
tt12316448,Tony Hawk's Pro Skater 1 + 2,8.5,497,31
tt0385178,Tony Hawk's Underground,7.8,1035,32
tt2177250,WWE '13,8.0,773,33
tt0457413,Midnight Club 3: DUB Edition,8.5,470,34
tt2227512,Pro Evolution Soccer 6,8.2,604,35
tt0301792,SSX Tricky,8.3,536,36
tt2330869,Forza Motorsport 4,8.2,581,37
tt3232796,Pro Evolution Soccer 2013,7.8,833,38
tt1442497,FIFA 10,7.6,1175,39
tt0940509,FIFA 07,7.7,966,40
tt1770710,NBA 2K11,8.3,464,41
tt2077804,NBA 2K12,8.3,462,42
tt0340403,Tony Hawk's Pro Skater 4,7.7,940,43
