tconst,primaryTitle,averageRating,numVotes,ranking
tt1125798,Call of Duty 4: Modern Warfare,9.0,23560,1
tt0239023,Half-Life,9.2,10725,2
tt1450746,Call of Duty: Modern Warfare 2,8.8,24842,3
tt2742544,Until Dawn,8.7,15897,4
tt0205973,GoldenEye 007,9.1,5845,5
tt3390964,The Walking Dead: Season Two,8.7,7806,6
tt1632479,Call of Duty: Black Ops,8.3,20318,7
tt6304452,Uncharted: The Lost Legacy,8.5,8210,8
tt3391132,Alien: Isolation,8.6,5875,9
tt1937113,Call of Duty: Modern Warfare 3,8.1,18884,10
tt1323508,Call of Duty: World at War,8.2,12243,11
tt10417512,Call of Duty: Modern Warfare,8.4,6289,12
tt0427889,Splinter Cell: Chaos Theory,8.6,2923,13
tt0486048,The Warriors,8.9,1995,14
tt0126817,Blade Runner,8.9,1960,15
tt4785654,Firewatch,8.2,4208,16
tt0340374,Splinter Cell,8.3,3297,17
tt6203300,Call of Duty: Modern Warfare Remastered,8.4,2525,18
tt2190134,Splinter Cell: Blacklist,8.2,2873,19
tt1462766,Splinter Cell: Conviction,8.1,3185,20
tt2822126,Mob of the Dead,9.1,948,21
tt0368983,Splinter Cell: Pandora Tomorrow,8.1,2115,22
tt0363260,Half-Life: Opposing Force,8.1,2032,23
tt2452050,XCOM: Enemy Unknown,8.3,1534,24
tt5785978,The Walking Dead: A New Frontier,7.7,3932,25
tt0455566,From Russia with Love,7.7,3262,26
tt3618274,"Papers, Please",8.1,1521,27
tt0460949,Stranglehold,7.9,1953,28
tt12277458,Call of Duty: Modern Warfare 2 Campaign Remastered,8.5,963,29
tt0837133,Splinter Cell: Double Agent,7.8,2276,30
tt2778298,Black Mesa,8.6,841,31
tt0841037,Resistance: Fall of Man,7.9,1776,32
tt0426436,Def Jam: Fight for NY,8.4,972,33
tt6155214,Danganronpa 2: Goodbye Despair,8.5,793,34
tt1223886,Resistance 2,7.9,1332,35
tt4915522,XCOM 2,8.2,910,36
tt0382041,Freedom Fighters,8.4,722,37
tt1896726,Call of the Dead,8.3,777,38
tt1612786,The Saboteur,7.9,1190,39
tt1210832,Rainbow Six: Vegas 2,7.7,1544,40
tt0294984,X-COM: UFO Defense,9.1,401,41
tt3059776,The Walking Dead: 400 Days,7.4,3292,42
tt1692489,James Bond 007: Blood Stone,7.5,2203,43
tt3147122,Call of Duty: Origins,8.5,523,44
tt5358306,XCOM: Enemy Within,8.6,473,45
tt0363259,Half-Life: Blue Shift,7.5,1883,46
tt9057520,The Division 2,7.7,1069,47
tt7297456,XCOM 2: War of the Chosen,8.8,353,48
tt0257570,Driver,7.5,1278,49
tt4214834,Five Nights at Freddy's,7.3,2602,50
tt4334594,This War of Mine,7.7,797,51
tt1640562,Singularity,7.6,904,52
tt1531425,Prison Break: The Conspiracy,7.6,898,53
tt19798900,As Dusk Falls,8.0,493,54
tt3451374,The Division,7.3,2135,55
tt2136885,Driver: San Francisco,7.6,846,56
tt1456949,Dead Rising 2,7.3,2069,57
tt6528142,Sniper Elite 4,7.5,931,58
tt0888494,Dragon Ball Z: Sparking! NEO,8.0,415,59
tt11049554,Call of Duty: Mobile,7.6,712,60
tt4727692,Friday the 13th: The Game,7.3,1632,61
tt0142392,"I Have No Mouth, and I Must Scream",8.3,278,62
tt0457376,Haunting Ground,8.1,331,63
tt1679586,GoldenEye 007,7.3,1395,64
tt0257548,Die Hard Trilogy,7.7,488,65
tt2229051,Binary Domain,7.7,457,66
tt0390413,Rainbow Six 3: Raven Shield,7.9,347,67
tt3070002,Dead Rising 3,7.3,1168,68
tt0263287,Driver 2,7.4,812,69
tt0490901,Dragon Ball Z: Budokai Tenkaichi,7.7,427,70
tt0462199,The Black Mirror,7.9,319,71
tt3666394,Mark of the Ninja,7.8,360,72
tt7079558,Dead by Daylight,7.2,1572,73
tt0345334,Ghost Recon,7.6,417,74
tt1121103,Ghost Recon: Advanced Warfighter 2,7.4,641,75
tt0295621,Soldier of Fortune II: Double Helix,7.6,399,76
tt0304599,Quake 4,7.2,1405,77
tt0301928,The Terminator,7.5,475,78
tt0292211,Rainbow Six: Rogue Spear,8.0,221,79
tt0492457,Ghost Recon: Advanced Warfighter,7.3,805,80
tt0462495,The Punisher,8.2,178,81
tt0271747,Rainbow Six,7.5,435,82
tt2087729,Dead Rising 2: Off the Record,7.4,520,83
tt1824991,Heavy Rain: Chronicle One - The Taxidermist,7.8,226,84
tt0418705,The Getaway: Black Monday,7.6,302,85
tt1484983,Gray Matter,8.2,144,86
tt2216930,Sniper Elite V2,7.2,968,87
tt10889636,The Dark Pictures: Little Hope,7.1,2196,88
tt11735368,The Walking Dead: Saints & Sinners,8.0,152,89
tt0407798,Siren,7.6,255,90
tt0485044,Sniper Elite,7.4,385,91
tt4348232,Half-Life 2: Lost Coast,7.3,508,92
tt12587880,The Medium,7.2,756,93
tt0816163,Metal Gear Solid: Digital Graphic Novel,8.1,122,94
tt1978503,Overclocked: A History of Violence,8.6,82,95
tt0985023,Black Mirror II: Reigning Evil,7.7,190,96
tt0945399,Syndicate,8.0,123,97
tt0795374,Driver: Parallel Lines,7.3,427,98
tt0379907,Neuromancer,8.4,82,99
tt0432378,War of the Monsters,7.9,127,100
tt0379302,Ghost Recon: Island Thunder,8.0,113,101
tt3008612,State of Decay,7.2,601,102
tt8652072,Resident Evil 7 Teaser: Beginning Hour,7.7,158,103
tt1667856,Resistance: Retribution,7.9,106,104
tt0487963,S.W.A.T.3,7.7,133,105
tt1249406,Alpha Protocol,7.2,467,106
tt0446647,Act of War: Direct Action,8.3,68,107
tt0442656,Blackthorne,8.0,85,108
tt0478153,Forbidden Siren 2,7.6,139,109
tt4290956,Sniper Elite 3,7.1,860,110
tt1339405,428: Fûsa sareta Shibuya de,8.1,57,111
tt0808452,SWAT 4: The Stetchkov Syndicate,7.5,126,112
tt2304525,Black Mirror III: Final Fear,7.4,156,113
tt6935432,The Infectious Madness of Doctor Dekker,7.7,86,114
tt1744763,Dead Rising 2: Case Zero,7.2,298,115
tt0458430,The Moment of Silence,7.4,130,116
tt0238087,J.B. Harold: Blue Chicago Blues,8.2,43,117
tt0285803,Nuclear Strike,7.6,86,118
tt2711164,Sleeping Dogs: Year of the Snake,7.5,102,119
tt7681816,Darkwood,7.5,101,120
tt7831798,SCP: Containment Breach,7.4,125,121
tt5736944,Postal Redux,7.5,88,122
tt7251540,Fatal Frame. View in the Dark,8.2,36,123
tt3807214,Sonnyy ad,8.0,42,124
tt5202550,Party Hard,7.4,102,125
tt1661824,Dead to Rights: Retribution,7.4,97,126
tt6811554,The Sexy Brutale,7.5,74,127
tt14519110,Imscared - A Pixelated Nightmare,8.6,23,128
tt0289398,Police Quest III: The Kindred,7.5,73,129
tt15332516,Ready or Not,8.0,36,130
tt1293549,Disaster: Day of Crisis,7.8,44,131
tt1916659,Cryostasis: Sleep of Reason,7.4,83,132
tt7482394,Until Dawn: Rush of Blood,7.2,154,133
tt10587626,The Witch's House,7.9,34,134
tt10513638,LSD: Dream Emulator,8.1,27,135
tt0366351,Def Jam Vendetta,7.1,268,136
tt0299016,Majestic,8.2,21,137
tt9507328,Do you copy?,8.1,21,138
tt12969580,Agent A: A Puzzle in Disguise,8.3,17,139
tt4088724,D4: Dark Dreams Don't Die,7.2,104,140
tt4576534,Badland,7.2,100,141
tt10140656,Keep Talking and Nobody Explodes,7.3,63,142
tt0406804,Ghost Recon: Jungle Storm,7.3,63,142
tt12956092,Scrutinized,8.2,16,144
tt0457367,Ghost Recon 2,7.1,177,145
tt1957850,Bleach: Shattered Blade,7.6,31,146
tt5886090,Half-Life: Decay,7.2,85,147
tt8463422,Welcome to the Game II,7.5,33,148
tt0293052,Covert Action,7.6,26,149
tt0488299,T.R.A.G.: Tactical Rescue Assault Group,8.3,12,150
tt5493660,The Walking Dead: Michonne,7.0,2030,151
tt8401636,Simulacra,7.2,74,152
tt1303901,Silent Hill: Homecoming,7.0,1823,153
tt0488766,Narc,7.1,123,154
tt0426430,Codename: Iceman,7.4,30,155
tt0436218,Dead to Rights II,7.1,107,156
tt23185662,The Dark Pictures: Switchback VR,7.6,19,157
tt0391436,SWAT: Global Strike Team,7.2,54,158
tt12560012,The Lighthouse Map,8.0,11,159
tt2441256,Smash TV,7.1,102,160
tt5680036,The 13th Doll,8.2,9,161
tt14615582,Rides with Strangers,8.8,6,162
tt0483041,Live and Let Die: The Computer Game,7.2,50,163
tt0475749,Syndicate Plus,7.7,14,164
