tconst,primaryTitle,averageRating,numVotes,ranking
tt1288501,Gears of War 2,8.7,5700,1
tt0382590,Call of Duty,8.6,7177,2
tt0823463,Gears of War,8.5,8977,3
tt0469287,Call of Duty 2,8.5,7094,4
tt1638317,Gears of War 3,8.5,4881,5
tt0252338,Command & Conquer: Red Alert 2,8.6,3058,6
tt1954263,Battlefield 3,8.1,9243,7
tt5702630,Battlefield 1,8.1,7311,8
tt0115141,Command & Conquer: Red Alert,8.5,2418,9
tt0373274,Rome: Total War,8.7,1719,10
tt0275511,Medal of Honor: Allied Assault,8.4,2271,11
tt1072440,Medieval II: Total War,8.8,1233,12
tt0252337,Command & Conquer,8.3,1921,13
tt0214938,Medal of Honor,8.3,1883,14
tt0295203,Command & Conquer: Yuri's Revenge,8.3,1495,15
tt0848263,Command & Conquer 3: Tiberium Wars,8.1,2103,16
tt2853116,Battlefield 4,7.7,7565,17
tt0289330,Medal of Honor: Frontline,8.1,1712,18
tt1084702,Killzone 2,8.0,2019,19
tt2112098,Age of Empires: The Age of Kings,8.5,949,20
tt0791102,Battlefield 2,8.1,1591,21
tt0884044,Company of Heroes,8.5,841,22
tt0314899,Worms Armageddon,8.1,1373,23
tt0488937,Age of Empires III,7.8,2670,24
tt0313918,Command & Conquer: Generals,8.1,1337,25
tt1789849,Mount & Blade: Warband,8.4,855,26
tt4776740,Gears of War: Ultimate Edition,8.4,845,27
tt0412486,Battlefield 1942,8.0,1422,28
tt4795232,Gears of War 4,7.8,2012,29
tt0426423,Call of Duty: United Offensive,8.1,1071,30
tt0386384,Command & Conquer: Generals - Zero Hour,8.2,911,31
tt0382041,Freedom Fighters,8.4,722,32
tt1815777,Killzone 3,7.8,1716,33
tt0165985,Command & Conquer: Tiberian Sun,7.8,1694,34
tt0250583,Medal of Honor: Underground,8.1,749,35
tt0354469,Commandos 2: Men of Courage,8.4,499,36
tt1972814,Total War: Shogun 2,8.1,679,37
tt0373134,Medieval: Total War,8.3,490,38
tt4374652,Stronghold: Crusader,8.6,375,39
tt1198194,Command & Conquer: Red Alert 3,7.5,2143,40
tt0320772,Worms 2,7.8,911,41
tt1226221,Commandos: Behind Enemy Lines,8.3,464,42
tt0389538,Wolfenstein: Enemy Territory,8.6,347,43
tt0358585,Medal of Honor: Allied Assault - Spearhead,7.8,788,44
tt0462418,Medal of Honor: European Assault,7.8,730,45
tt0276534,Stronghold,8.2,397,46
tt4334594,This War of Mine,7.7,797,47
tt0397074,Killzone,7.5,1337,48
tt0815120,Brothers in Arms: Hell's Highway,7.7,788,49
tt2849138,Total War: Rome II,7.7,784,50
tt3304506,Titanfall,7.4,1935,51
tt0363859,Operation Flashpoint: Cold War Crisis,8.3,311,52
