tconst,primaryTitle,averageRating,numVotes,ranking
tt0482518,Gun,8.3,2445,1
tt2885788,Call of Juarez: Gunslinger,7.8,1040,2
tt0407724,Desperados: Wanted Dead or Alive,8.6,247,3
tt12205748,Desperados III,8.2,194,4
tt0164127,Outlaws,8.1,179,5
tt0221977,"Freddy Pharkas, Frontier Pharmacist",7.8,58,6
tt0479652,Dead Man's Hand,7.8,57,7
tt0978763,Red Steel 2,7.3,91,8
tt0239576,Mad Dog McCree,7.3,87,9
tt0280718,Gunman Chronicles,7.2,73,10
tt0838163,Desperados 2: Cooper's Revenge,7.1,84,11
tt0359597,Lethal Enforcers II: Gunfighters,7.4,41,12
tt0863142,Wild Arms Alter Code: F,7.8,26,13
tt2555838,Wild Guns,7.2,45,14
tt0275467,The Last Bounty Hunter,7.7,23,15
tt3059488,Wild West C.O.W: Boys of Moo Mesa,7.6,21,16
tt21214208,Gas Station Simulator,8.2,9,17
tt0295726,Tin Star,7.5,15,18
tt16899100,West of Loathing,7.6,12,19
tt6700514,Fistful of Frags,7.2,19,20
tt4584520,Los justicieros,7.6,8,21
tt0454770,Al Emmo and the Lost Dutchman's Mine,7.2,13,22
tt1255973,Law of the West,7.0,17,23
tt10814588,Spirit: Stallion of the Cimarron - Forever Free,7.3,9,24
tt0206790,Gun.Smoke,6.7,89,25
tt2358426,Blood Bros.,6.9,20,26
tt0278470,Ground Zero Texas,6.7,83,27
tt1390961,Lucky Luke: On the Dalton's Trail,7.2,8,28
tt5433564,Fast Draw Showdown,7.0,9,29
tt14189202,Bud Spencer & Terence Hill: Slaps and Beans,6.7,24,30
tt2271255,Cheyenne,6.7,11,31
tt16386500,12 is Better Than 6,6.4,9,32
tt3571950,Dillon's Rolling Western,6.0,7,33
tt2367986,Gun & Frontier,6.0,9,34
tt8685072,Helldorado,6.4,31,35
tt1341215,Lucky Luke: Western Fever,6.1,17,36
tt1852825,Lead and Gold: Gangs of the Wild West,5.5,9,37
tt2105024,The Gunstringer: The Wavy Tube Man Chronicles,5.5,9,37
tt5690064,The Town with No Name,6.5,102,39
tt0974558,Express Raider,5.4,10,40
tt3444300,Wild Gunman,5.6,12,41
tt2976558,Secret Ponchos,4.2,6,42
tt0272180,Mad Dog II: The Lost Gold,6.1,29,43
tt2040502,Bandido,5.0,15,44
tt1999107,Boot Hill,5.5,24,45
tt0186693,Wild Gunman,6.2,83,46
tt1986019,Gun Fight,5.4,26,47
tt0400722,Outlaw,4.5,15,48
tt2265167,Bank Panic,5.2,23,49
tt1982702,Highnoon,4.8,18,50
tt0465433,Custer's Revenge,3.1,32,51
tt1489161,Damnation,4.5,61,52
